,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2021-06-30,60.88,62.9,62.95,60.33,442455,2817703328.0,4.3,3.33,2.03,0.54,002415
1,2021-07-01,63.29,63.54,63.6,61.88,384726,2476286848.0,2.73,1.02,0.64,0.47,002415
2,2021-07-02,62.4,60.62,62.5,60.61,409530,2568224336.0,2.97,-4.6,-2.92,0.5,002415
3,2021-07-05,60.5,59.57,61.01,58.5,339355,2073529168.0,4.14,-1.73,-1.05,0.42,002415
4,2021-07-06,59.4,59.02,60.12,58.14,359483,2173893984.0,3.32,-0.92,-0.55,0.44,002415
5,2021-07-07,58.89,60.17,60.62,58.55,260907,1604016592.0,3.51,1.95,1.15,0.32,002415
6,2021-07-08,59.41,59.46,60.4,58.73,333810,2033880544.0,2.78,-1.18,-0.71,0.41,002415
7,2021-07-09,59.4,58.76,59.81,57.7,372911,2239805552.0,3.55,-1.18,-0.7,0.46,002415
8,2021-07-12,58.76,61.0,61.28,57.27,524351,3195063120.0,6.82,3.81,2.24,0.64,002415
9,2021-07-13,60.95,61.03,61.7,60.28,255159,1599603648.0,2.33,0.05,0.03,0.31,002415
10,2021-07-14,61.0,60.59,61.64,59.28,269654,1675177184.0,3.87,-0.72,-0.44,0.33,002415
11,2021-07-15,60.21,61.74,62.2,59.43,357183,2245214928.0,4.57,1.9,1.15,0.44,002415
12,2021-07-16,62.1,61.4,62.15,60.8,264326,1664213632.0,2.19,-0.55,-0.34,0.32,002415
13,2021-07-19,60.75,61.78,62.2,59.63,307934,1925770880.0,4.19,0.62,0.38,0.38,002415
14,2021-07-20,61.03,62.33,63.54,60.72,302141,1938045536.0,4.56,0.89,0.55,0.37,002415
15,2021-07-21,63.27,65.88,67.44,62.65,819199,5486843904.0,7.68,5.7,3.55,1.01,002415
16,2021-07-22,66.6,65.93,68.08,65.33,487051,3312348128.0,4.17,0.08,0.05,0.6,002415
17,2021-07-23,66.2,65.8,67.05,64.43,432572,2910912416.0,3.97,-0.2,-0.13,0.53,002415
18,2021-07-26,68.4,63.5,68.84,61.89,859928,5623993344.0,10.56,-3.5,-2.3,1.06,002415
19,2021-07-27,63.23,59.11,63.28,59.0,907078,5637093888.0,6.74,-6.91,-4.39,1.11,002415
20,2021-07-28,58.4,59.4,60.56,57.09,465785,2817447344.0,5.87,0.49,0.29,0.57,002415
21,2021-07-29,60.86,61.29,62.05,60.35,421493,2650412992.0,2.86,3.18,1.89,0.52,002415
22,2021-07-30,60.82,59.4,60.87,58.34,500368,3039012112.0,4.13,-3.08,-1.89,0.61,002415
23,2021-08-02,58.26,59.63,60.29,57.9,370528,2255831152.0,4.02,0.39,0.23,0.46,002415
24,2021-08-03,59.08,58.84,59.76,58.4,374013,2261999504.0,2.28,-1.32,-0.79,0.46,002415
25,2021-08-04,58.77,60.02,60.37,57.92,414709,2513637616.0,4.16,2.01,1.18,0.51,002415
26,2021-08-05,59.41,58.84,59.58,58.28,289641,1751710080.0,2.17,-1.97,-1.18,0.36,002415
27,2021-08-06,58.41,57.53,58.78,56.96,439969,2608085600.0,3.09,-2.23,-1.31,0.54,002415
28,2021-08-09,57.55,57.92,58.28,56.61,367181,2170425136.0,2.9,0.68,0.39,0.45,002415
29,2021-08-10,57.57,58.2,58.28,56.9,343858,2031738208.0,2.38,0.48,0.28,0.42,002415
