stockCode,stockName,sector,sectorCount,date
3040,楚天龙,ETC,41,2023-04-23
2401,中远海科,ETC,41,2023-04-23
300541,先进数通,ETC,41,2023-04-23
300184,力源信息,ETC,41,2023-04-23
600035,楚天高速,ETC,41,2023-04-23
603869,新智认知,ETC,41,2023-04-23
300075,数字政通,ETC,41,2023-04-23
2484,江海股份,ETC,41,2023-04-23
2860,星帅尔,ETC,41,2023-04-23
909,数源科技,ETC,41,2023-04-23
2654,万润科技,ETC,41,2023-04-23
2104,恒宝股份,ETC,41,2023-04-23
300079,数码视讯,ETC,41,2023-04-23
300098,高新兴,ETC,41,2023-04-23
601801,皖新传媒,ETC,41,2023-04-23
600106,重庆路桥,ETC,41,2023-04-23
300603,立昂技术,ETC,41,2023-04-23
2869,金溢科技,ETC,41,2023-04-23
997,新大陆,ETC,41,2023-04-23
948,南天信息,ETC,41,2023-04-23
2941,新疆交建,ETC,41,2023-04-23
301339,通行宝,ETC,41,2023-04-23
2331,皖通科技,ETC,41,2023-04-23
300552,万集科技,ETC,41,2023-04-23
600271,航天信息,ETC,41,2023-04-23
2316,亚联发展,ETC,41,2023-04-23
300205,天喻信息,ETC,41,2023-04-23
300790,宇瞳光学,ETC,41,2023-04-23
300379,东方通,ETC,41,2023-04-23
300717,华信新材,ETC,41,2023-04-23
300376,易事特,ETC,41,2023-04-23
603933,睿能科技,ETC,41,2023-04-23
2217,合力泰,ETC,41,2023-04-23
603458,勘设股份,ETC,41,2023-04-23
300448,浩云科技,ETC,41,2023-04-23
2373,千方科技,ETC,41,2023-04-23
300020,银江技术,ETC,41,2023-04-23
300462,华铭智能,ETC,41,2023-04-23
2049,紫光国微,ETC,41,2023-04-23
2682,龙洲股份,ETC,41,2023-04-23
603068,博通集成,ETC,41,2023-04-23
