stockCode,stockName,sector,sectorCount,date
688566,吉贝尔,免疫治疗,39,2023-04-23
300016,北陆药业,免疫治疗,39,2023-04-23
300485,赛升药业,免疫治疗,39,2023-04-23
2030,达安基因,免疫治疗,39,2023-04-23
2605,姚记科技,免疫治疗,39,2023-04-23
300181,佐力药业,免疫治疗,39,2023-04-23
688278,特宝生物,免疫治疗,39,2023-04-23
600196,复星医药,免疫治疗,39,2023-04-23
2592,ST八菱,免疫治疗,39,2023-04-23
2038,双鹭药业,免疫治疗,39,2023-04-23
2675,东诚药业,免疫治疗,39,2023-04-23
300247,融捷健康,免疫治疗,39,2023-04-23
300601,康泰生物,免疫治疗,39,2023-04-23
300147,香雪制药,免疫治疗,39,2023-04-23
2019,亿帆医药,免疫治疗,39,2023-04-23
806,*ST银河,免疫治疗,39,2023-04-23
688468,科美诊断,免疫治疗,39,2023-04-23
504,南华生物,免疫治疗,39,2023-04-23
300318,博晖创新,免疫治疗,39,2023-04-23
600682,南京新百,免疫治疗,39,2023-04-23
2252,上海莱士,免疫治疗,39,2023-04-23
300630,普利制药,免疫治疗,39,2023-04-23
300273,*ST和佳,免疫治疗,39,2023-04-23
300272,开能健康,免疫治疗,39,2023-04-23
688068,热景生物,免疫治疗,39,2023-04-23
300009,安科生物,免疫治疗,39,2023-04-23
300558,贝达药业,免疫治疗,39,2023-04-23
688062,迈威生物,免疫治疗,39,2023-04-23
600568,ST中珠,免疫治疗,39,2023-04-23
688266,泽,免疫治疗,39,2023-04-23
