stockCode,stockName,sector,sectorCount,date
2916,深南电路,国产芯片,336,2023-04-23
300660,江苏雷利,国产芯片,336,2023-04-23
300661,圣邦股份,国产芯片,336,2023-04-23
688037,芯源微,国产芯片,336,2023-04-23
2725,跃岭股份,国产芯片,336,2023-04-23
300666,江丰电子,国产芯片,336,2023-04-23
300667,必创科技,国产芯片,336,2023-04-23
2465,海格通信,国产芯片,336,2023-04-23
301269,华大九天,国产芯片,336,2023-04-23
2328,新朋股份,国产芯片,336,2023-04-23
688173,希荻微,国产芯片,336,2023-04-23
601360,三六零,国产芯片,336,2023-04-23
2463,沪电股份,国产芯片,336,2023-04-23
2079,苏州固锝,国产芯片,336,2023-04-23
603212,赛伍技术,国产芯片,336,2023-04-23
2077,大港股份,国产芯片,336,2023-04-23
688027,国盾量子,国产芯片,336,2023-04-23
688025,杰普特,国产芯片,336,2023-04-23
300655,晶瑞电材,国产芯片,336,2023-04-23
300513,恒实科技,国产芯片,336,2023-04-23
300514,友讯达,国产芯片,336,2023-04-23
2338,奥普光电,国产芯片,336,2023-04-23
300659,中孚信息,国产芯片,336,2023-04-23
688352,颀中科技,国产芯片,336,2023-04-23
300656,民德电子,国产芯片,336,2023-04-23
600498,烽火通信,国产芯片,336,2023-04-23
300236,上海新阳,国产芯片,336,2023-04-23
300139,晓程科技,国产芯片,336,2023-04-23
581,威孚高科,国产芯片,336,2023-04-23
2935,天奥电子,国产芯片,336,2023-04-23
300131,英唐智控,国产芯片,336,2023-04-23
300799,左江科技,国产芯片,336,2023-04-23
688018,乐鑫科技,国产芯片,336,2023-04-23
2446,盛路通信,国产芯片,336,2023-04-23
2344,海宁皮城,国产芯片,336,2023-04-23
300548,博创科技,国产芯片,336,2023-04-23
688019,安集科技,国产芯片,336,2023-04-23
2449,国星光电,国产芯片,336,2023-04-23
688521,芯原股份,国产芯片,336,2023-04-23
688320,禾川科技,国产芯片,336,2023-04-23
688728,格科微,国产芯片,336,2023-04-23
300545,联得装备,国产芯片,336,2023-04-23
605365,立达信,国产芯片,336,2023-04-23
688325,赛微微电,国产芯片,336,2023-04-23
688661,和林微纳,国产芯片,336,2023-04-23
300121,阳谷华泰,国产芯片,336,2023-04-23
300120,经纬辉开,国产芯片,336,2023-04-23
300123,亚光科技,国产芯片,336,2023-04-23
688012,中微公司,国产芯片,336,2023-04-23
603501,韦尔股份,国产芯片,336,2023-04-23
300397,天和防务,国产芯片,336,2023-04-23
688286,敏芯股份,国产芯片,336,2023-04-23
688008,澜起科技,国产芯片,336,2023-04-23
300398,飞凯材料,国产芯片,336,2023-04-23
300538,同益股份,国产芯片,336,2023-04-23
300536,农尚环境,国产芯片,336,2023-04-23
603078,江化微,国产芯片,336,2023-04-23
688002,睿创微纳,国产芯片,336,2023-04-23
688533,上声电子,国产芯片,336,2023-04-23
688536,思瑞浦,国产芯片,336,2023-04-23
300531,优博讯,国产芯片,336,2023-04-23
688332,中科蓝讯,国产芯片,336,2023-04-23
605358,立昂微,国产芯片,336,2023-04-23
300252,金信诺,国产芯片,336,2023-04-23
688001,华兴源创,国产芯片,336,2023-04-23
2957,科瑞技术,国产芯片,336,2023-04-23
301117,佳缘科技,国产芯片,336,2023-04-23
2049,紫光国微,国产芯片,336,2023-04-23
300115,长盈精密,国产芯片,336,2023-04-23
300392,*ST腾信,国产芯片,336,2023-04-23
