stockCode,stockName,sector,sectorCount,date
2799,环球印务,字节概念,70,2023-04-23
300280,紫天科技,字节概念,70,2023-04-23
603825,华扬联众,字节概念,70,2023-04-23
600242,*ST中昌,字节概念,70,2023-04-23
2168,惠程科技,字节概念,70,2023-04-23
300182,捷成股份,字节概念,70,2023-04-23
913,钱江摩托,字节概念,70,2023-04-23
2425,凯撒文化,字节概念,70,2023-04-23
2818,富森美,字节概念,70,2023-04-23
2591,恒大高新,字节概念,70,2023-04-23
300242,佳云科技,字节概念,70,2023-04-23
600070,浙江富润,字节概念,70,2023-04-23
2654,万润科技,字节概念,70,2023-04-23
300383,光环新网,字节概念,70,2023-04-23
300766,每日互动,字节概念,70,2023-04-23
2699,ST美盛,字节概念,70,2023-04-23
300959,线上线下,字节概念,70,2023-04-23
2174,游族网络,字节概念,70,2023-04-23
2279,久其软件,字节概念,70,2023-04-23
603533,掌阅科技,字节概念,70,2023-04-23
2131,利欧股份,字节概念,70,2023-04-23
300044,赛为智能,字节概念,70,2023-04-23
300043,星辉娱乐,字节概念,70,2023-04-23
603123,翠微股份,字节概念,70,2023-04-23
676,智度股份,字节概念,70,2023-04-23
2137,实益达,字节概念,70,2023-04-23
300892,品渥食品,字节概念,70,2023-04-23
300612,宣亚国际,字节概念,70,2023-04-23
300925,法本信息,字节概念,70,2023-04-23
600398,海澜之家,字节概念,70,2023-04-23
2649,博彦科技,字节概念,70,2023-04-23
2344,海宁皮城,字节概念,70,2023-04-23
600986,浙文互联,字节概念,70,2023-04-23
977,浪潮信息,字节概念,70,2023-04-23
2400,省广集团,字节概念,70,2023-04-23
2148,北纬科技,字节概念,70,2023-04-23
300541,先进数通,字节概念,70,2023-04-23
300058,蓝色光标,字节概念,70,2023-04-23
300364,中文在线,字节概念,70,2023-04-23
2605,姚记科技,字节概念,70,2023-04-23
300459,汤姆猫,字节概念,70,2023-04-23
2103,广博股份,字节概念,70,2023-04-23
301085,亚康股份,字节概念,70,2023-04-23
2803,吉宏股份,字节概念,70,2023-04-23
829,天音控股,字节概念,70,2023-04-23
300781,因赛集团,字节概念,70,2023-04-23
300419,浩丰科技,字节概念,70,2023-04-23
300315,掌趣科技,字节概念,70,2023-04-23
300418,昆仑万维,字节概念,70,2023-04-23
2354,天娱数科,字节概念,70,2023-04-23
38,*ST大通,字节概念,70,2023-04-23
607,华媒控股,字节概念,70,2023-04-23
300292,吴通控股,字节概念,70,2023-04-23
793,华闻集团,字节概念,70,2023-04-23
2717,岭南股份,字节概念,70,2023-04-23
2752,,字节概念,70,2023-04-23
