stockCode,stockName,sector,sectorCount,date
688035,德邦科技,山东板块,300,2023-04-23
603217,元利科技,山东板块,300,2023-04-23
2073,软控股份,山东板块,300,2023-04-23
2726,龙大美食,山东板块,300,2023-04-23
2469,三维化学,山东板块,300,2023-04-23
2323,雅博股份,山东板块,300,2023-04-23
1260,坤泰股份,山东板块,300,2023-04-23
601058,赛轮轮胎,山东板块,300,2023-04-23
599,青岛双星,山东板块,300,2023-04-23
300243,瑞丰高材,山东板块,300,2023-04-23
601366,利群股份,山东板块,300,2023-04-23
601163,三角轮胎,山东板块,300,2023-04-23
2921,联诚精密,山东板块,300,2023-04-23
832419,路斯股份,山东板块,300,2023-04-23
300143,盈康生命,山东板块,300,2023-04-23
601665,齐鲁银行,山东板块,300,2023-04-23
2078,太阳纸业,山东板块,300,2023-04-23
2330,得利斯,山东板块,300,2023-04-23
300654,世纪天鸿,山东板块,300,2023-04-23
834261,一诺威,山东板块,300,2023-04-23
300653,正海生物,山东板块,300,2023-04-23
688556,高测股份,山东板块,300,2023-04-23
688557,兰剑智能,山东板块,300,2023-04-23
2339,积成电子,山东板块,300,2023-04-23
300659,中孚信息,山东板块,300,2023-04-23
2476,宝莫股份,山东板块,300,2023-04-23
688161,威高骨科,山东板块,300,2023-04-23
300918,南山智尚,山东板块,300,2023-04-23
2470,ST金正,山东板块,300,2023-04-23
300233,金城医药,山东板块,300,2023-04-23
2838,道恩股份,山东板块,300,2023-04-23
300237,美晨生态,山东板块,300,2023-04-23
688455,科捷智能,山东板块,300,2023-04-23
688021,奥福环保,山东板块,300,2023-04-23
603223,恒通股份,山东板块,300,2023-04-23
603086,先达股份,山东板块,300,2023-04-23
200726,鲁泰Ｂ,山东板块,300,2023-04-23
872190,雷神科技,山东板块,300,2023-04-23
688191,智洋创新,山东板块,300,2023-04-23
2746,仙坛股份,山东板块,300,2023-04-23
688663,新风光,山东板块,300,2023-04-23
688190,云路股份,山东板块,300,2023-04-23
200869,张裕Ｂ,山东板块,300,2023-04-23
2805,丰元股份,山东板块,300,2023-04-23
300121,阳谷华泰,山东板块,300,2023-04-23
603798,康普顿,山东板块,300,2023-04-23
2948,青岛银行,山东板块,300,2023-04-23
688677,海泰新光,山东板块,300,2023-04-23
2458,益生股份,山东板块,300,2023-04-23
2355,兴民智通,山东板块,300,2023-04-23
2353,杰瑞股份,山东板块,300,2023-04-23
2041,登海种业,山东板块,300,2023-04-23
688002,睿创微纳,山东板块,300,2023-04-23
688331,荣昌生物,山东板块,300,2023-04-23
603708,家家悦,山东板块,300,2023-04-23
2810,山东赫达,山东板块,300,2023-04-23
300948,冠中生态,山东板块,300,2023-04-23
603102,百合股份,山东板块,300,2023-04-23
2958,青农商行,山东板块,300,2023-04-23
300110,华仁药业,山东板块,300,2023-04-23
601678,滨化股份,山东板块,300,2023-04-23
300391,长药控股,山东板块,300,2023-04-23
301020,密封科技,山东板块,300,2023-04-23
498,山东路桥,山东板块,300,2023-04-23
338,潍柴动力,山东板块,300,2023-04-23
605100,华丰股份,山东板块,300,2023-04-23
