stockCode,stockName,sector,sectorCount,date
2421,达实智能,智慧政务,74,2023-04-23
2268,电科网安,智慧政务,74,2023-04-23
688489,三未信安,智慧政务,74,2023-04-23
300525,博思软件,智慧政务,74,2023-04-23
301169,零点有数,智慧政务,74,2023-04-23
300075,数字政通,智慧政务,74,2023-04-23
300074,华平股份,智慧政务,74,2023-04-23
688232,新点软件,智慧政务,74,2023-04-23
300188,美亚柏科,智慧政务,74,2023-04-23
2261,拓维信息,智慧政务,74,2023-04-23
300287,飞利信,智慧政务,74,2023-04-23
300339,润和软件,智慧政务,74,2023-04-23
948,南天信息,智慧政务,74,2023-04-23
2368,太极股份,智慧政务,74,2023-04-23
2657,中科金财,智慧政务,74,2023-04-23
2279,久其软件,智慧政务,74,2023-04-23
835207,众诚科技,智慧政务,74,2023-04-23
603918,金桥信息,智慧政务,74,2023-04-23
301378,通达海,智慧政务,74,2023-04-23
300271,华宇软件,智慧政务,74,2023-04-23
301178,天亿马,智慧政务,74,2023-04-23
300379,东方通,智慧政务,74,2023-04-23
603636,南威软件,智慧政务,74,2023-04-23
300047,天源迪科,智慧政务,74,2023-04-23
2474,榕基软件,智慧政务,74,2023-04-23
688228,开普云,智慧政务,74,2023-04-23
688555,*ST泽达,智慧政务,74,2023-04-23
600662,外服控股,智慧政务,74,2023-04-23
888,峨眉山Ａ,智慧政务,74,2023-04-23
2065,东华软件,智慧政务,74,2023-04-23
603232,格尔软件,智慧政务,74,2023-04-23
3040,楚天龙,智慧政务,74,2023-04-23
300546,雄帝科技,智慧政务,74,2023-04-23
600410,华胜天成,智慧政务,74,2023-04-23
300010,豆神教育,智慧政务,74,2023-04-23
300096,易联众,智慧政务,74,2023-04-23
2301,齐心集团,智慧政务,74,2023-04-23
688369,致远互联,智慧政务,74,2023-04-23
300369,绿盟科技,智慧政务,74,2023-04-23
971,ST高升,智慧政务,74,2023-04-23
300605,恒锋信息,智慧政务,74,2023-04-23
300168,万达信息,智慧政务,74,2023-04-23
832171,志晟信息,智慧政务,74,2023-04-23
3007,直真科技,智慧政务,74,2023-04-23
688579,山大地纬,智慧政务,74,2023-04-23
300578,会畅通讯,智慧政务,74,2023-04-23
300730,科创信息,智慧政务,74,2023-04-23
301396,宏景科技,智慧政务,74,2023-04-23
2316,亚联发展,智慧政务,74,2023-04-23
603189,网达软件,智慧政务,74,2023-04-23
603206,嘉环科技,智慧政务,74,2023-04-23
300678,中科信息,智慧政务,74,2023-04-23
301218,华是科技,智慧政务,74,2023-04-23
600797,浙大网新,智慧政务,74,2023-04-23
300352,北信源,智慧政务,74,2023-04-23
688207,格灵深瞳,智慧政务,74,2023-04-23
600602,云赛智联,智慧政务,74,2023-04-23
2298,中电兴发,智慧政务,74,2023-04-23
300579,数字认证,智慧政务,74,2023-04-23
300634,彩讯股份,智慧政务,74,2023-04-23
300061,旗天科技,智慧政务,74,2023-04-23
300469,信息发展,智慧政务,74,2023-04-23
300872,天阳科技,智慧政务,74,2023-04-23
301091,深城交,智慧政务,74,2023-04-23
2528,英飞拓,智慧政务,74,2023-04-23
600756,浪潮软件,智慧政务,74,2023-04-23
603000,人民网,智慧政务,74,2023-04-23
300423,昇辉科技,智慧政务,74,2023-04-23
837092,汉鑫科技,智慧政务,74,2023-04-23
600718,东软集团,智慧政务,74,2023-04-23
300020,银江技术,智慧政务,74,2023-04-23
300987,川网传媒,智慧政务,74,2023-04-23
301117,佳缘科技,智慧政务,74,2023-04-23
2090,金智科技,智慧政务,74,2023-04-23
