stockCode,stockName,sector,sectorCount,date
2722,物产金轮,智能机器,180,2023-04-23
2917,金奥博,智能机器,180,2023-04-23
2073,软控股份,智能机器,180,2023-04-23
300865,大宏立,智能机器,180,2023-04-23
2690,美亚光电,智能机器,180,2023-04-23
300663,科蓝软件,智能机器,180,2023-04-23
850,华茂股份,智能机器,180,2023-04-23
2892,科力尔,智能机器,180,2023-04-23
600282,南钢股份,智能机器,180,2023-04-23
2625,光启技术,智能机器,180,2023-04-23
600288,大恒科技,智能机器,180,2023-04-23
603011,合锻智能,智能机器,180,2023-04-23
2599,盛通股份,智能机器,180,2023-04-23
603015,弘讯科技,智能机器,180,2023-04-23
300433,蓝思科技,智能机器,180,2023-04-23
300249,依米康,智能机器,180,2023-04-23
2698,博实股份,智能机器,180,2023-04-23
603960,克来机电,智能机器,180,2023-04-23
600728,佳都科技,智能机器,180,2023-04-23
2139,拓邦股份,智能机器,180,2023-04-23
2063,远光软件,智能机器,180,2023-04-23
688025,杰普特,智能机器,180,2023-04-23
2334,英威腾,智能机器,180,2023-04-23
2131,利欧股份,智能机器,180,2023-04-23
300044,赛为智能,智能机器,180,2023-04-23
688165,埃夫特,智能机器,180,2023-04-23
688558,国盛智科,智能机器,180,2023-04-23
605056,咸亨国际,智能机器,180,2023-04-23
2337,赛象科技,智能机器,180,2023-04-23
300853,申昊科技,智能机器,180,2023-04-23
2472,双环传动,智能机器,180,2023-04-23
300342,天银机电,智能机器,180,2023-04-23
2583,海能达,智能机器,180,2023-04-23
837,秦川机床,智能机器,180,2023-04-23
603025,大豪科技,智能机器,180,2023-04-23
2689,远大智能,智能机器,180,2023-04-23
688455,科捷智能,智能机器,180,2023-04-23
688022,瀚川智能,智能机器,180,2023-04-23
2067,景兴纸业,智能机器,180,2023-04-23
300134,大富科技,智能机器,180,2023-04-23
600522,中天科技,智能机器,180,2023-04-23
938,紫光股份,智能机器,180,2023-04-23
584,哈工智能,智能机器,180,2023-04-23
600520,文一科技,智能机器,180,2023-04-23
300131,英唐智控,智能机器,180,2023-04-23
601608,中信重工,智能机器,180,2023-04-23
2747,埃斯顿,智能机器,180,2023-04-23
688218,江苏北人,智能机器,180,2023-04-23
2600,领益智造,智能机器,180,2023-04-23
688290,景业智能,智能机器,180,2023-04-23
2441,众业达,智能机器,180,2023-04-23
2347,泰尔股份,智能机器,180,2023-04-23
300543,朗科智能,智能机器,180,2023-04-23
2348,高乐股份,智能机器,180,2023-04-23
2444,巨星科技,智能机器,180,2023-04-23
301311,昆船智能,智能机器,180,2023-04-23
2577,雷柏科技,智能机器,180,2023-04-23
603901,永创智能,智能机器,180,2023-04-23
600843,上工申贝,智能机器,180,2023-04-23
300124,汇川技术,智能机器,180,2023-04-23
300126,锐奇股份,智能机器,180,2023-04-23
600346,恒力石化,智能机器,180,2023-04-23
961,中南建设,智能机器,180,2023-04-23
603203,快克智能,智能机器,180,2023-04-23
688003,天准科技,智能机器,180,2023-04-23
601138,工业富联,智能机器,180,2023-04-23
