stockCode,stockName,sector,sectorCount,date
2722,物产金轮,氢能源,183,2023-04-23
300867,圣元环保,氢能源,183,2023-04-23
603158,腾龙股份,氢能源,183,2023-04-23
601868,中国能建,氢能源,183,2023-04-23
625,长安汽车,氢能源,183,2023-04-23
2469,三维化学,氢能源,183,2023-04-23
951,中国重汽,氢能源,183,2023-04-23
2725,跃岭股份,氢能源,183,2023-04-23
2325,洪涛股份,氢能源,183,2023-04-23
600475,华光环能,氢能源,183,2023-04-23
852,石化机械,氢能源,183,2023-04-23
601727,上海电气,氢能源,183,2023-04-23
300990,同飞股份,氢能源,183,2023-04-23
2591,恒大高新,氢能源,183,2023-04-23
600032,浙江新能,氢能源,183,2023-04-23
2825,纳尔股份,氢能源,183,2023-04-23
600481,双良节能,氢能源,183,2023-04-23
565,渝三峡Ａ,氢能源,183,2023-04-23
603013,亚普股份,氢能源,183,2023-04-23
600678,四川金顶,氢能源,183,2023-04-23
600482,中国动力,氢能源,183,2023-04-23
601369,陕鼓动力,氢能源,183,2023-04-23
600860,京城股份,氢能源,183,2023-04-23
300435,中泰股份,氢能源,183,2023-04-23
603213,镇洋发展,氢能源,183,2023-04-23
300145,中金环境,氢能源,183,2023-04-23
603169,兰石重装,氢能源,183,2023-04-23
635,英力特,氢能源,183,2023-04-23
2060,粤水电,氢能源,183,2023-04-23
637,茂化实华,氢能源,183,2023-04-23
2733,雄韬股份,氢能源,183,2023-04-23
2334,英威腾,氢能源,183,2023-04-23
2274,华昌化工,氢能源,183,2023-04-23
600935,华塑股份,氢能源,183,2023-04-23
688350,富淼科技,氢能源,183,2023-04-23
2639,雪人股份,氢能源,183,2023-04-23
600028,中国石化,氢能源,183,2023-04-23
603637,镇海股份,氢能源,183,2023-04-23
2635,安洁科技,氢能源,183,2023-04-23
2783,凯龙股份,氢能源,183,2023-04-23
601798,蓝科高新,氢能源,183,2023-04-23
600021,上海电力,氢能源,183,2023-04-23
300234,开尔新材,氢能源,183,2023-04-23
600871,石化油服,氢能源,183,2023-04-23
581,威孚高科,氢能源,183,2023-04-23
572,海马汽车,氢能源,183,2023-04-23
600875,东方电气,氢能源,183,2023-04-23
688529,豪森股份,氢能源,183,2023-04-23
2448,中原内配,氢能源,183,2023-04-23
2340,格林美,氢能源,183,2023-04-23
2601,龙佰集团,氢能源,183,2023-04-23
2249,大洋电机,氢能源,183,2023-04-23
300540,蜀道装备,氢能源,183,2023-04-23
601311,骆驼股份,氢能源,183,2023-04-23
2140,东华科技,氢能源,183,2023-04-23
603906,龙蟠科技,氢能源,183,2023-04-23
300450,先导智能,氢能源,183,2023-04-23
603798,康普顿,氢能源,183,2023-04-23
969,安泰科技,氢能源,183,2023-04-23
2056,横店东磁,氢能源,183,2023-04-23
600841,动力新科,氢能源,183,2023-04-23
39,中集集团,氢能源,183,2023-04-23
300839,博汇股份,氢能源,183,2023-04-23
600956,新天绿能,氢能源,183,2023-04-23
688106,金宏气体,氢能源,183,2023-04-23
2255,海陆重工,氢能源,183,2023-04-23
2350,北京科锐,氢能源,183,2023-04-23
2158,汉钟精机,氢能源,183,2023-04-23
600444,国机通用,氢能源,183,2023-04-23
838402,硅烷科技,氢能源,183,2023-04-23
300068,南都电源,氢能源,183,2023-04-23
688737,中自科技,氢能源,183,2023-04-23
601777,力帆科技,氢能源,183,2023-04-23
