stockCode,stockName,sector,sectorCount,date
300866,安克创新,氮化镓,46,2023-04-23
2449,国星光电,氮化镓,46,2023-04-23
301067,显盈科技,氮化镓,46,2023-04-23
300013,新宁物流,氮化镓,46,2023-04-23
2245,蔚蓝锂芯,氮化镓,46,2023-04-23
2185,华天科技,氮化镓,46,2023-04-23
2429,兆驰股份,氮化镓,46,2023-04-23
2402,和而泰,氮化镓,46,2023-04-23
688216,气派科技,氮化镓,46,2023-04-23
600703,三安光电,氮化镓,46,2023-04-23
300623,捷捷微电,氮化镓,46,2023-04-23
547,航天发展,氮化镓,46,2023-04-23
688230,芯导科技,氮化镓,46,2023-04-23
600745,闻泰科技,氮化镓,46,2023-04-23
2364,中恒电气,氮化镓,46,2023-04-23
2869,金溢科技,氮化镓,46,2023-04-23
300123,亚光科技,氮化镓,46,2023-04-23
300456,赛微电子,氮化镓,46,2023-04-23
300787,海能实业,氮化镓,46,2023-04-23
2885,京泉华,氮化镓,46,2023-04-23
2255,海陆重工,氮化镓,46,2023-04-23
300102,乾照光电,氮化镓,46,2023-04-23
2371,北方华创,氮化镓,46,2023-04-23
2782,可立克,氮化镓,46,2023-04-23
300656,民德电子,氮化镓,46,2023-04-23
300046,台基股份,氮化镓,46,2023-04-23
688200,华峰测控,氮化镓,46,2023-04-23
300376,易事特,氮化镓,46,2023-04-23
300671,富满微,氮化镓,46,2023-04-23
16,深康佳Ａ,氮化镓,46,2023-04-23
603005,晶方科技,氮化镓,46,2023-04-23
300373,扬杰科技,氮化镓,46,2023-04-23
2660,茂硕电源,氮化镓,46,2023-04-23
2977,天箭科技,氮化镓,46,2023-04-23
688396,华润微,氮化镓,46,2023-04-23
300323,华灿光电,氮化镓,46,2023-04-23
300870,欧陆通,氮化镓,46,2023-04-23
300708,聚灿光电,氮化镓,46,2023-04-23
300346,南大光电,氮化镓,46,2023-04-23
2023,海特高新,氮化镓,46,2023-04-23
605358,立昂微,氮化镓,46,2023-04-23
600460,士兰微,氮化镓,46,2023-04-23
300464,星徽股份,氮化镓,46,2023-04-23
2993,奥海科技,氮化镓,46,2023-04-23
1270,铖昌科技,氮化镓,46,2023-04-23
300296,利亚德,氮化镓,46,2023-04-23
