stockCode,stockName,sector,sectorCount,date
603158,腾龙股份,特斯拉,174,2023-04-23
600335,国机汽车,特斯拉,174,2023-04-23
300998,宁波方正,特斯拉,174,2023-04-23
2121,科陆电子,特斯拉,174,2023-04-23
2466,天齐锂业,特斯拉,174,2023-04-23
301268,铭利达,特斯拉,174,2023-04-23
2328,新朋股份,特斯拉,174,2023-04-23
2623,亚玛顿,特斯拉,174,2023-04-23
2460,赣锋锂业,特斯拉,174,2023-04-23
2126,银轮股份,特斯拉,174,2023-04-23
300863,卡倍亿,特斯拉,174,2023-04-23
300037,新宙邦,特斯拉,174,2023-04-23
600480,凌云股份,特斯拉,174,2023-04-23
2823,凯中精密,特斯拉,174,2023-04-23
300337,银邦股份,特斯拉,174,2023-04-23
300433,蓝思科技,特斯拉,174,2023-04-23
600330,天通股份,特斯拉,174,2023-04-23
603159,上海亚虹,特斯拉,174,2023-04-23
603348,文灿股份,特斯拉,174,2023-04-23
603212,赛伍技术,特斯拉,174,2023-04-23
2510,天汽模,特斯拉,174,2023-04-23
2738,中矿资源,特斯拉,174,2023-04-23
300718,长盛轴承,特斯拉,174,2023-04-23
688559,海目星,特斯拉,174,2023-04-23
688162,巨一科技,特斯拉,174,2023-04-23
300919,中伟股份,特斯拉,174,2023-04-23
600660,福耀玻璃,特斯拉,174,2023-04-23
2635,安洁科技,特斯拉,174,2023-04-23
2889,东方嘉盛,特斯拉,174,2023-04-23
2886,沃特股份,特斯拉,174,2023-04-23
2472,双环传动,特斯拉,174,2023-04-23
300926,博俊科技,特斯拉,174,2023-04-23
2838,道恩股份,特斯拉,174,2023-04-23
300230,永利股份,特斯拉,174,2023-04-23
603026,胜华新材,特斯拉,174,2023-04-23
300709,精研科技,特斯拉,174,2023-04-23
300445,康斯特,特斯拉,174,2023-04-23
688022,瀚川智能,特斯拉,174,2023-04-23
300134,大富科技,特斯拉,174,2023-04-23
584,哈工智能,特斯拉,174,2023-04-23
2937,兴瑞科技,特斯拉,174,2023-04-23
688529,豪森股份,特斯拉,174,2023-04-23
601702,华峰铝业,特斯拉,174,2023-04-23
603997,继峰股份,特斯拉,174,2023-04-23
300644,南京聚隆,特斯拉,174,2023-04-23
2050,三花智控,特斯拉,174,2023-04-23
601609,金田股份,特斯拉,174,2023-04-23
603179,新泉股份,特斯拉,174,2023-04-23
600458,时代新材,特斯拉,174,2023-04-23
688218,江苏北人,特斯拉,174,2023-04-23
603667,五洲新春,特斯拉,174,2023-04-23
970,中科三环,特斯拉,174,2023-04-23
600019,宝钢股份,特斯拉,174,2023-04-23
300748,金力永磁,特斯拉,174,2023-04-23
300128,锦富技术,特斯拉,174,2023-04-23
600741,华域汽车,特斯拉,174,2023-04-23
301186,超达装备,特斯拉,174,2023-04-23
300450,先导智能,特斯拉,174,2023-04-23
2056,横店东磁,特斯拉,174,2023-04-23
2055,得润电子,特斯拉,174,2023-04-23
601689,拓普集团,特斯拉,174,2023-04-23
2058,威尔泰,特斯拉,174,2023-04-23
300127,银河磁体,特斯拉,174,2023-04-23
300457,赢合科技,特斯拉,174,2023-04-23
601877,正泰电器,特斯拉,174,2023-04-23
603659,璞泰来,特斯拉,174,2023-04-23
2452,长高电新,特斯拉,174,2023-04-23
2156,通富微电,特斯拉,174,2023-04-23
688533,上声电子,特斯拉,174,2023-04-23
821,京山轻机,特斯拉,174,2023-04-23
603006,联明股份,特斯拉,174,2023-04-23
301198,喜悦智行,特斯拉,174,2023-04-23
651,格力电器,特斯拉,174,2023-04-23
300068,南都电源,特斯拉,174,2023-04-23
603283,赛腾股份,特斯拉,174,2023-04-23
300322,硕贝德,特斯拉,174,2023-04-23
300256,ST星星,特斯拉,174,2023-04-23
2815,崇达技术,特斯拉,174,2023-04-23
600143,金发科技,特斯拉,174,2023-04-23
551,创元科技,特斯拉,174,2023-04-23
688001,华兴源创,特斯拉,174,2023-04-23
300328,宜安科技,特斯拉,174,2023-04-23
2048,宁波华翔,特斯拉,174,2023-04-23
300115,长盈精密,特斯拉,174,2023-04-23
300184,力源信息,特斯拉,174,2023-04-23
300073,当升科技,特斯拉,174,2023-04-23
601012,隆基绿能,特斯拉,174,2023-04-23
603920,世运电路,特斯拉,174,2023-04-23
2426,胜利精密,特斯拉,174,2023-04-23
300180,华峰超纤,特斯拉,174,2023-04-23
300626,华瑞股份,特斯拉,174,2023-04-23
2036,联创电子,特斯拉,174,2023-04-23
2965,祥鑫科技,特斯拉,174,2023-04-23
603305,旭升集团,特斯拉,174,2023-04-23
603050,科林电气,特斯拉,174,2023-04-23
601965,中国汽研,特斯拉,174,2023-04-23
2363,隆基机械,特斯拉,174,2023-04-23
2160,常铝股份,特斯拉,174,2023-04-23
300956,英力股份,特斯拉,174,2023-04-23
300100,双林股份,特斯拉,174,2023-04-23
301339,通行宝,特斯拉,174,2023-04-23
301031,中熔电气,特斯拉,174,2023-04-23
12,南玻Ａ,特斯拉,174,2023-04-23
300207,欣旺达,特斯拉,174,2023-04-23
600973,宝胜股份,特斯拉,174,2023-04-23
2179,中航光电,特斯拉,174,2023-04-23
603266,天龙股份,特斯拉,174,2023-04-23
300476,胜宏科技,特斯拉,174,2023-04-23
300376,易事特,特斯拉,174,2023-04-23
600110,诺德股份,特斯拉,174,2023-04-23
300817,双飞股份,特斯拉,174,2023-04-23
600114,东睦股份,特斯拉,174,2023-04-23
301133,金钟股份,特斯拉,174,2023-04-23
2547,春兴精工,特斯拉,174,2023-04-23
2026,山东威达,特斯拉,174,2023-04-23
300890,翔丰华,特斯拉,174,2023-04-23
887,中鼎股份,特斯拉,174,2023-04-23
2975,博杰股份,特斯拉,174,2023-04-23
300400,劲拓股份,特斯拉,174,2023-04-23
300088,长信科技,特斯拉,174,2023-04-23
2239,奥特佳,特斯拉,174,2023-04-23
2870,香山股份,特斯拉,174,2023-04-23
603788,宁波高发,特斯拉,174,2023-04-23
600563,法拉电子,特斯拉,174,2023-04-23
300176,派生科技,特斯拉,174,2023-04-23
603197,保隆科技,特斯拉,174,2023-04-23
603066,音飞储存,特斯拉,174,2023-04-23
1311,多利科技,特斯拉,174,2023-04-23
988,华工科技,特斯拉,174,2023-04-23
300276,三丰智能,特斯拉,174,2023-04-23
600215,派斯林,特斯拉,174,2023-04-23
300750,宁德时代,特斯拉,174,2023-04-23
300278,华昌达,特斯拉,174,2023-04-23
300279,和晶科技,特斯拉,174,2023-04-23
2382,蓝帆医疗,特斯拉,174,2023-04-23
600885,宏发股份,特斯拉,174,2023-04-23
300707,威唐工业,特斯拉,174,2023-04-23
300806,斯迪克,特斯拉,174,2023-04-23
2405,四维图新,特斯拉,174,2023-04-23
605222,起帆电缆,特斯拉,174,2023-04-23
2407,多氟多,特斯拉,174,2023-04-23
603730,岱美股份,特斯拉,174,2023-04-23
300160,秀强股份,特斯拉,174,2023-04-23
2101,广东鸿图,特斯拉,174,2023-04-23
700,模塑科技,特斯拉,174,2023-04-23
2537,海联金汇,特斯拉,174,2023-04-23
688157,松井股份,特斯拉,174,2023-04-23
603035,常熟汽饰,特斯拉,174,2023-04-23
600699,均胜电子,特斯拉,174,2023-04-23
300976,达瑞电子,特斯拉,174,2023-04-23
2182,云海金属,特斯拉,174,2023-04-23
2085,万丰奥威,特斯拉,174,2023-04-23
2533,金杯电工,特斯拉,174,2023-04-23
301007,德迈仕,特斯拉,174,2023-04-23
300887,谱尼测试,特斯拉,174,2023-04-23
2384,东山精密,特斯拉,174,2023-04-23
300580,贝斯特,特斯拉,174,2023-04-23
300293,蓝英装备,特斯拉,174,2023-04-23
603358,华达科技,特斯拉,174,2023-04-23
2196,方正电机,特斯拉,174,2023-04-23
605319,无锡振华,特斯拉,174,2023-04-23
300024,机器人,特斯拉,174,2023-04-23
600580,卧龙电驱,特斯拉,174,2023-04-23
300222,科大智能,特斯拉,174,2023-04-23
300420,五洋停车,特斯拉,174,2023-04-23
600586,金晶科技,特斯拉,174,2023-04-23
2709,天赐材料,特斯拉,174,2023-04-23
2497,雅化集团,特斯拉,174,2023-04-23
2662,京威股份,特斯拉,174,2023-04-23
2850,科达利,特斯拉,174,2023-04-23
2009,天奇股份,特斯拉,174,2023-04-23
836720,吉冈精密,特斯拉,174,2023-04-23
2666,德联集团,特斯拉,174,2023-04-23
301018,申菱环境,特斯拉,174,2023-04-23
