stockCode,stockName,sector,sectorCount,date
2893,京能热力,碳交易,126,2023-04-23
600039,四川路桥,碳交易,126,2023-04-23
600475,华光环能,碳交易,126,2023-04-23
600478,科力远,碳交易,126,2023-04-23
300864,南大环境,碳交易,126,2023-04-23
767,晋控电力,碳交易,126,2023-04-23
300862,蓝盾光电,碳交易,126,2023-04-23
2514,宝馨科技,碳交易,126,2023-04-23
600481,双良节能,碳交易,126,2023-04-23
601369,陕鼓动力,碳交易,126,2023-04-23
300249,依米康,碳交易,126,2023-04-23
601669,中国电建,碳交易,126,2023-04-23
591,太阳能,碳交易,126,2023-04-23
948,南天信息,碳交易,126,2023-04-23
2062,宏润建设,碳交易,126,2023-04-23
2063,远光软件,碳交易,126,2023-04-23
600125,铁龙物流,碳交易,126,2023-04-23
2630,华西能源,碳交易,126,2023-04-23
2060,粤水电,碳交易,126,2023-04-23
2334,英威腾,碳交易,126,2023-04-23
601200,上海环境,碳交易,126,2023-04-23
2639,雪人股份,碳交易,126,2023-04-23
600028,中国石化,碳交易,126,2023-04-23
600292,远达环保,碳交易,126,2023-04-23
2887,绿茵生态,碳交易,126,2023-04-23
601798,蓝科高新,碳交易,126,2023-04-23
600021,上海电力,碳交易,126,2023-04-23
300040,九洲集团,碳交易,126,2023-04-23
300234,开尔新材,碳交易,126,2023-04-23
600526,菲达环保,碳交易,126,2023-04-23
300137,先河环保,碳交易,126,2023-04-23
600871,石化油服,碳交易,126,2023-04-23
27,深圳能源,碳交易,126,2023-04-23
600096,云天化,碳交易,126,2023-04-23
688665,四方光电,碳交易,126,2023-04-23
603177,德创环保,碳交易,126,2023-04-23
2341,新纶新材,碳交易,126,2023-04-23
601908,京运通,碳交易,126,2023-04-23
600744,华银电力,碳交易,126,2023-04-23
826,启迪环境,碳交易,126,2023-04-23
2573,清新环境,碳交易,126,2023-04-23
300266,兴源环境,碳交易,126,2023-04-23
543,皖能电力,碳交易,126,2023-04-23
540,中天金融,碳交易,126,2023-04-23
600956,新天绿能,碳交易,126,2023-04-23
2610,爱康科技,碳交易,126,2023-04-23
300732,设研院,碳交易,126,2023-04-23
966,长源电力,碳交易,126,2023-04-23
1896,豫能控股,碳交易,126,2023-04-23
300190,维尔利,碳交易,126,2023-04-23
2564,天沃科技,碳交易,126,2023-04-23
603100,川仪股份,碳交易,126,2023-04-23
300948,冠中生态,碳交易,126,2023-04-23
600758,辽宁能源,碳交易,126,2023-04-23
600963,岳阳林纸,碳交易,126,2023-04-23
2421,达实智能,碳交易,126,2023-04-23
600433,冠豪高新,碳交易,126,2023-04-23
811,冰轮环境,碳交易,126,2023-04-23
300487,蓝晓科技,碳交易,126,2023-04-23
600570,恒生电子,碳交易,126,2023-04-23
300070,碧水源,碳交易,126,2023-04-23
600968,海油发展,碳交易,126,2023-04-23
300826,测绘股份,碳交易,126,2023-04-23
993,闽东电力,碳交易,126,2023-04-23
300950,德固特,碳交易,126,2023-04-23
990,诚志股份,碳交易,126,2023-04-23
723,美锦能源,碳交易,126,2023-04-23
300187,永清环保,碳交易,126,2023-04-23
603778,乾景园林,碳交易,126,2023-04-23
600076,康欣新材,碳交易,126,2023-04-23
2225,濮耐股份,碳交易,126,2023-04-23
600248,陕西建工,碳交易,126,2023-04-23
2554,惠博普,碳交易,126,2023-04-23
2658,雪迪龙,碳交易,126,2023-04-23
2178,延华智能,碳交易,126,2023-04-23
300105,龙源技术,碳交易,126,2023-04-23
300007,汉威科技,碳交易,126,2023-04-23
300203,聚光科技,碳交易,126,2023-04-23
488,晨鸣纸业,碳交易,126,2023-04-23
300085,银之杰,碳交易,126,2023-04-23
2642,荣联科技,碳交易,126,2023-04-23
885,城发环境,碳交易,126,2023-04-23
600160,巨化股份,碳交易,126,2023-04-23
300614,百川畅银,碳交易,126,2023-04-23
688066,航天宏图,碳交易,126,2023-04-23
688065,凯赛生物,碳交易,126,2023-04-23
603060,国检集团,碳交易,126,2023-04-23
2549,凯美特气,碳交易,126,2023-04-23
530,冰山冷热,碳交易,126,2023-04-23
603126,中材节能,碳交易,126,2023-04-23
531,穗恒运Ａ,碳交易,126,2023-04-23
688600,皖仪科技,碳交易,126,2023-04-23
600256,广汇能源,碳交易,126,2023-04-23
300012,华测检测,碳交易,126,2023-04-23
600517,国网英大,碳交易,126,2023-04-23
300365,恒华科技,碳交易,126,2023-04-23
300800,力合科技,碳交易,126,2023-04-23
402,金融街,碳交易,126,2023-04-23
300166,东方国信,碳交易,126,2023-04-23
2672,东江环保,碳交易,126,2023-04-23
928,中钢国际,碳交易,126,2023-04-23
2015,协鑫能科,碳交易,126,2023-04-23
2679,福建金森,碳交易,126,2023-04-23
300417,南华仪器,碳交易,126,2023-04-23
600,建投能源,碳交易,126,2023-04-23
300887,谱尼测试,碳交易,126,2023-04-23
2980,华盛昌,碳交易,126,2023-04-23
603359,东珠生态,碳交易,126,2023-04-23
603698,航天工程,碳交易,126,2023-04-23
300675,建科院,碳交易,126,2023-04-23
2298,中电兴发,碳交易,126,2023-04-23
300152,新动力,碳交易,126,2023-04-23
600189,泉阳泉,碳交易,126,2023-04-23
300355,蒙草生态,碳交易,126,2023-04-23
600378,昊华科技,碳交易,126,2023-04-23
688628,优利德,碳交易,126,2023-04-23
2665,首航高科,碳交易,126,2023-04-23
300422,博世科,碳交易,126,2023-04-23
2398,垒知集团,碳交易,126,2023-04-23
600905,三峡能源,碳交易,126,2023-04-23
300490,华自科技,碳交易,126,2023-04-23
601377,兴业证券,碳交易,126,2023-04-23
600688,上海石化,碳交易,126,2023-04-23
2118,紫鑫药业,碳交易,126,2023-04-23
2092,中泰化学,碳交易,126,2023-04-23
3035,南网能源,碳交易,126,2023-04-23
