stockCode,stockName,sector,sectorCount,date
688036,传音控股,HS300_,300,2023-05-09
601865,福莱特,HS300_,300,2023-05-09
2916,深南电路,HS300_,300,2023-05-09
300529,健帆生物,HS300_,300,2023-05-09
601868,中国能建,HS300_,300,2023-05-09
300661,圣邦股份,HS300_,300,2023-05-09
2074,国轩高科,HS300_,300,2023-05-09
2466,天齐锂业,HS300_,300,2023-05-09
601169,北京银行,HS300_,300,2023-05-09
2460,赣锋锂业,HS300_,300,2023-05-09
601360,三六零,HS300_,300,2023-05-09
601166,兴业银行,HS300_,300,2023-05-09
2821,凯莱英,HS300_,300,2023-05-09
601668,中国建筑,HS300_,300,2023-05-09
2920,德赛西威,HS300_,300,2023-05-09
601669,中国电建,HS300_,300,2023-05-09
596,古井贡酒,HS300_,300,2023-05-09
300142,沃森生物,HS300_,300,2023-05-09
601857,中国石油,HS300_,300,2023-05-09
2736,国信证券,HS300_,300,2023-05-09
601995,中金公司,HS300_,300,2023-05-09
2475,立讯精密,HS300_,300,2023-05-09
300919,中伟股份,HS300_,300,2023-05-09
601998,中信银行,HS300_,300,2023-05-09
601155,新城控股,HS300_,300,2023-05-09
688169,石头科技,HS300_,300,2023-05-09
601799,星宇股份,HS300_,300,2023-05-09
601066,中信建投,HS300_,300,2023-05-09
601658,邮储银行,HS300_,300,2023-05-09
1979,招商蛇口,HS300_,300,2023-05-09
2064,华峰化学,HS300_,300,2023-05-09
601888,中国中免,HS300_,300,2023-05-09
2938,鹏鼎控股,HS300_,300,2023-05-09
2050,三花智控,HS300_,300,2023-05-09
2601,龙佰集团,HS300_,300,2023-05-09
2600,领益智造,HS300_,300,2023-05-09
601989,中国重工,HS300_,300,2023-05-09
601988,中国银行,HS300_,300,2023-05-09
2602,世纪华通,HS300_,300,2023-05-09
601985,中国核电,HS300_,300,2023-05-09
601788,光大证券,HS300_,300,2023-05-09
603799,华友钴业,HS300_,300,2023-05-09
688012,中微公司,HS300_,300,2023-05-09
601688,华泰证券,HS300_,300,2023-05-09
601288,农业银行,HS300_,300,2023-05-09
300122,智飞生物,HS300_,300,2023-05-09
601689,拓普集团,HS300_,300,2023-05-09
300124,汇川技术,HS300_,300,2023-05-09
603993,洛阳钼业,HS300_,300,2023-05-09
601881,中国银河,HS300_,300,2023-05-09
603501,韦尔股份,HS300_,300,2023-05-09
2459,晶澳科技,HS300_,300,2023-05-09
688008,澜起科技,HS300_,300,2023-05-09
600085,同仁堂,HS300_,300,2023-05-09
688005,容百科技,HS300_,300,2023-05-09
2352,顺丰控股,HS300_,300,2023-05-09
601878,浙商证券,HS300_,300,2023-05-09
2756,永兴材料,HS300_,300,2023-05-09
601877,正泰电器,HS300_,300,2023-05-09
600089,特变电工,HS300_,300,2023-05-09
601138,工业富联,HS300_,300,2023-05-09
3816,中国广核,HS300_,300,2023-05-09
688187,时代电气,HS300_,300,2023-05-09
601336,新华保险,HS300_,300,2023-05-09
2812,恩捷股份,HS300_,300,2023-05-09
601088,中国神华,HS300_,300,2023-05-09
2049,紫光国微,HS300_,300,2023-05-09
603392,万泰生物,HS300_,300,2023-05-09
338,潍柴动力,HS300_,300,2023-05-09
600383,金地集团,HS300_,300,2023-05-09
601225,陕西煤业,HS300_,300,2023-05-09
600763,通策医疗,HS300_,300,2023-05-09
601229,上海银行,HS300_,300,2023-05-09
333,美的集团,HS300_,300,2023-05-09
688981,中芯国际,HS300_,300,2023-05-09
600760,中航沈飞,HS300_,300,2023-05-09
895,双汇发展,HS300_,300,2023-05-09
600104,上汽集团,HS300_,300,2023-05-09
603486,科沃斯,HS300_,300,2023-05-09
723,美锦能源,HS300_,300,2023-05-09
2032,苏泊尔,HS300_,300,2023-05-09
725,京东方Ａ,HS300_,300,2023-05-09
300769,德方纳米,HS300_,300,2023-05-09
300957,贝泰妮,HS300_,300,2023-05-09
300763,锦浪科技,HS300_,300,2023-05-09
688303,大全能源,HS300_,300,2023-05-09
601628,中国人寿,HS300_,300,2023-05-09
601766,中国中车,HS300_,300,2023-05-09
300760,迈瑞医疗,HS300_,300,2023-05-09
601398,工商银行,HS300_,300,2023-05-09
601117,中国化学,HS300_,300,2023-05-09
688599,天合光能,HS300_,300,2023-05-09
603882,金域医学,HS300_,300,2023-05-09
601390,中国中铁,HS300_,300,2023-05-09
601898,中煤能源,HS300_,300,2023-05-09
601899,紫金矿业,HS300_,300,2023-05-09
600111,北方稀土,HS300_,300,2023-05-09
601216,君正集团,HS300_,300,2023-05-09
601615,明阳智能,HS300_,300,2023-05-09
733,振华科技,HS300_,300,2023-05-09
2027,分众传媒,HS300_,300,2023-05-09
600115,中国东航,HS300_,300,2023-05-09
300759,康龙化成,HS300_,300,2023-05-09
601211,国泰君安,HS300_,300,2023-05-09
300896,爱美客,HS300_,300,2023-05-09
688065,凯赛生物,HS300_,300,2023-05-09
600219,南山铝业,HS300_,300,2023-05-09
601111,中国国航,HS300_,300,2023-05-09
2236,大华股份,HS300_,300,2023-05-09
603195,公牛集团,HS300_,300,2023-05-09
300274,阳光电源,HS300_,300,2023-05-09
300751,迈为股份,HS300_,300,2023-05-09
688126,沪硅产业,HS300_,300,2023-05-09
601618,中国中冶,HS300_,300,2023-05-09
300750,宁德时代,HS300_,300,2023-05-09
2230,科大讯飞,HS300_,300,2023-05-09
603369,今世缘,HS300_,300,2023-05-09
600887,伊利股份,HS300_,300,2023-05-09
600886,国投电力,HS300_,300,2023-05-09
2304,洋河股份,HS300_,300,2023-05-09
600884,杉杉股份,HS300_,300,2023-05-09
600519,贵州茅台,HS300_,300,2023-05-09
600362,江西铜业,HS300_,300,2023-05-09
63,中兴通讯,HS300_,300,2023-05-09
877,天山股份,HS300_,300,2023-05-09
69,华侨城Ａ,HS300_,300,2023-05-09
