stockCode,stockName,sector,sectorCount,date
688036,传音控股,MSCI中国,637,2023-05-09
300529,健帆生物,MSCI中国,637,2023-05-09
300661,圣邦股份,MSCI中国,637,2023-05-09
688037,芯源微,MSCI中国,637,2023-05-09
300666,江丰电子,MSCI中国,637,2023-05-09
300244,迪安诊断,MSCI中国,637,2023-05-09
300146,汤臣倍健,MSCI中国,637,2023-05-09
688032,禾迈股份,MSCI中国,637,2023-05-09
300142,沃森生物,MSCI中国,637,2023-05-09
300144,宋城演艺,MSCI中国,637,2023-05-09
688029,南微医学,MSCI中国,637,2023-05-09
688169,石头科技,MSCI中国,637,2023-05-09
300136,信维通信,MSCI中国,637,2023-05-09
600096,云天化,MSCI中国,637,2023-05-09
688298,东方生物,MSCI中国,637,2023-05-09
300260,新莱应材,MSCI中国,637,2023-05-09
603799,华友钴业,MSCI中国,637,2023-05-09
688012,中微公司,MSCI中国,637,2023-05-09
300122,智飞生物,MSCI中国,637,2023-05-09
300124,汇川技术,MSCI中国,637,2023-05-09
603993,洛阳钼业,MSCI中国,637,2023-05-09
688009,中国通号,MSCI中国,637,2023-05-09
688008,澜起科技,MSCI中国,637,2023-05-09
603077,和邦生物,MSCI中国,637,2023-05-09
300633,开立医疗,MSCI中国,637,2023-05-09
300395,菲利华,MSCI中国,637,2023-05-09
300630,普利制药,MSCI中国,637,2023-05-09
688006,杭可科技,MSCI中国,637,2023-05-09
600085,同仁堂,MSCI中国,637,2023-05-09
688180,君实生物,MSCI中国,637,2023-05-09
688005,容百科技,MSCI中国,637,2023-05-09
688002,睿创微纳,MSCI中国,637,2023-05-09
600089,特变电工,MSCI中国,637,2023-05-09
300251,光线传媒,MSCI中国,637,2023-05-09
688188,柏楚电子,MSCI中国,637,2023-05-09
688187,时代电气,MSCI中国,637,2023-05-09
603596,伯特利,MSCI中国,637,2023-05-09
688185,康希诺,MSCI中国,637,2023-05-09
603599,广信股份,MSCI中国,637,2023-05-09
300118,东方日升,MSCI中国,637,2023-05-09
605358,立昂微,MSCI中国,637,2023-05-09
300253,卫宁健康,MSCI中国,637,2023-05-09
300390,天华新能,MSCI中国,637,2023-05-09
603392,万泰生物,MSCI中国,637,2023-05-09
600637,东方明珠,MSCI中国,637,2023-05-09
338,潍柴动力,MSCI中国,637,2023-05-09
688707,振华新材,MSCI中国,637,2023-05-09
300487,蓝晓科技,MSCI中国,637,2023-05-09
600765,中航重机,MSCI中国,637,2023-05-09
300070,碧水源,MSCI中国,637,2023-05-09
688700,东威科技,MSCI中国,637,2023-05-09
300073,当升科技,MSCI中国,637,2023-05-09
300072,海新能科,MSCI中国,637,2023-05-09
300568,星源材质,MSCI中国,637,2023-05-09
333,美的集团,MSCI中国,637,2023-05-09
688981,中芯国际,MSCI中国,637,2023-05-09
688072,拓荆科技,MSCI中国,637,2023-05-09
600760,中航沈飞,MSCI中国,637,2023-05-09
300383,光环新网,MSCI中国,637,2023-05-09
603486,科沃斯,MSCI中国,637,2023-05-09
723,美锦能源,MSCI中国,637,2023-05-09
725,京东方Ａ,MSCI中国,637,2023-05-09
300769,德方纳米,MSCI中国,637,2023-05-09
688139,海尔生物,MSCI中国,637,2023-05-09
300285,国瓷材料,MSCI中国,637,2023-05-09
300957,贝泰妮,MSCI中国,637,2023-05-09
300763,锦浪科技,MSCI中国,637,2023-05-09
603876,鼎胜新材,MSCI中国,637,2023-05-09
300760,迈瑞医疗,MSCI中国,637,2023-05-09
688122,西部超导,MSCI中国,637,2023-05-09
300474,景嘉微,MSCI中国,637,2023-05-09
603882,金域医学,MSCI中国,637,2023-05-09
600621,华鑫股份,MSCI中国,637,2023-05-09
728,国元证券,MSCI中国,637,2023-05-09
300376,易事特,MSCI中国,637,2023-05-09
300699,光威复材,MSCI中国,637,2023-05-09
300558,贝达药业,MSCI中国,637,2023-05-09
300373,扬杰科技,MSCI中国,637,2023-05-09
688063,派能科技,MSCI中国,637,2023-05-09
733,振华科技,MSCI中国,637,2023-05-09
300759,康龙化成,MSCI中国,637,2023-05-09
300088,长信科技,MSCI中国,637,2023-05-09
300896,爱美客,MSCI中国,637,2023-05-09
688065,凯赛生物,MSCI中国,637,2023-05-09
603198,迎驾贡酒,MSCI中国,637,2023-05-09
300274,阳光电源,MSCI中国,637,2023-05-09
300751,迈为股份,MSCI中国,637,2023-05-09
603885,吉祥航空,MSCI中国,637,2023-05-09
688126,沪硅产业,MSCI中国,637,2023-05-09
300750,宁德时代,MSCI中国,637,2023-05-09
301035,润丰股份,MSCI中国,637,2023-05-09
600887,伊利股份,MSCI中国,637,2023-05-09
600886,国投电力,MSCI中国,637,2023-05-09
600515,海南机场,MSCI中国,637,2023-05-09
600882,妙可蓝多,MSCI中国,637,2023-05-09
300363,博腾股份,MSCI中国,637,2023-05-09
600519,贵州茅台,MSCI中国,637,2023-05-09
600517,国网英大,MSCI中国,637,2023-05-09
600516,方大炭素,MSCI中国,637,2023-05-09
300682,朗新科技,MSCI中国,637,2023-05-09
703,恒逸石化,MSCI中国,637,2023-05-09
688256,寒武纪,MSCI中国,637,2023-05-09
688050,爱博医疗,MSCI中国,637,2023-05-09
688052,纳芯微,MSCI中国,637,2023-05-09
300782,卓胜微,MSCI中国,637,2023-05-09
605111,新洁能,MSCI中国,637,2023-05-09
300498,温氏股份,MSCI中国,637,2023-05-09
600893,航发动力,MSCI中国,637,2023-05-09
300496,中科创达,MSCI中国,637,2023-05-09
301,东方盛虹,MSCI中国,637,2023-05-09
600895,张江高科,MSCI中国,637,2023-05-09
600606,绿地控股,MSCI中国,637,2023-05-09
600795,国电电力,MSCI中国,637,2023-05-09
300677,英科医疗,MSCI中国,637,2023-05-09
300676,华大基因,MSCI中国,637,2023-05-09
600600,青岛啤酒,MSCI中国,637,2023-05-09
709,河钢股份,MSCI中国,637,2023-05-09
300357,我武生物,MSCI中国,637,2023-05-09
300777,中简科技,MSCI中国,637,2023-05-09
605117,德业股份,MSCI中国,637,2023-05-09
300298,三诺生物,MSCI中国,637,2023-05-09
300775,三角防务,MSCI中国,637,2023-05-09
300776,帝尔激光,MSCI中国,637,2023-05-09
300296,利亚德,MSCI中国,637,2023-05-09
300773,拉卡拉,MSCI中国,637,2023-05-09
603345,安井食品,MSCI中国,637,2023-05-09
625,长安汽车,MSCI中国,637,2023-05-09
600338,西藏珠峰,MSCI中国,637,2023-05-09
762,西藏矿业,MSCI中国,637,2023-05-09
300999,金龙鱼,MSCI中国,637,2023-05-09
600332,白云山,MSCI中国,637,2023-05-09
600926,杭州银行,MSCI中国,637,2023-05-09
688235,百济神州,MSCI中国,637,2023-05-09
300034,钢研高纳,MSCI中国,637,2023-05-09
2791,坚朗五金,MSCI中国,637,2023-05-09
300033,同花顺,MSCI中国,637,2023-05-09
300726,宏达电子,MSCI中国,637,2023-05-09
300725,药石科技,MSCI中国,637,2023-05-09
600036,招商银行,MSCI中国,637,2023-05-09
603444,吉比特,MSCI中国,637,2023-05-09
300724,捷佳伟创,MSCI中国,637,2023-05-09
300037,新宙邦,MSCI中国,637,2023-05-09
600038,中直股份,MSCI中国,637,2023-05-09
2797,第一创业,MSCI中国,637,2023-05-09
768,中航西飞,MSCI中国,637,2023-05-09
568,泸州老窖,MSCI中国,637,2023-05-09
600031,三一重工,MSCI中国,637,2023-05-09
600673,东阳光,MSCI中国,637,2023-05-09
600674,川投能源,MSCI中国,637,2023-05-09
2594,比亚迪,MSCI中国,637,2023-05-09
2597,金禾实业,MSCI中国,637,2023-05-09
2518,科士达,MSCI中国,637,2023-05-09
600030,中信证券,MSCI中国,637,2023-05-09
600535,天士力,MSCI中国,637,2023-05-09
600862,中航高科,MSCI中国,637,2023-05-09
425,徐工机械,MSCI中国,637,2023-05-09
603348,文灿股份,MSCI中国,637,2023-05-09
423,东阿阿胶,MSCI中国,637,2023-05-09
600132,重庆啤酒,MSCI中国,637,2023-05-09
600867,通化东宝,MSCI中国,637,2023-05-09
2511,中顺洁柔,MSCI中国,637,2023-05-09
