stockCode,stockName,sector,sectorCount,date
688018,乐鑫科技,WiFi,24,2023-05-09
300571,平治信息,WiFi,24,2023-05-09
688153,唯捷创芯,WiFi,24,2023-05-09
300563,神宇股份,WiFi,24,2023-05-09
2296,辉煌科技,WiFi,24,2023-05-09
603083,剑桥科技,WiFi,24,2023-05-09
831961,创远信科,WiFi,24,2023-05-09
300458,全志科技,WiFi,24,2023-05-09
601231,环旭电子,WiFi,24,2023-05-09
2369,卓翼科技,WiFi,24,2023-05-09
300793,佳禾智能,WiFi,24,2023-05-09
2023,海特高新,WiFi,24,2023-05-09
300099,精准信息,WiFi,24,2023-05-09
603118,共进股份,WiFi,24,2023-05-09
600050,中国联通,WiFi,24,2023-05-09
300504,天邑股份,WiFi,24,2023-05-09
300782,卓胜微,WiFi,24,2023-05-09
300136,信维通信,WiFi,24,2023-05-09
938,紫光股份,WiFi,24,2023-05-09
2937,兴瑞科技,WiFi,24,2023-05-09
603068,博通集成,WiFi,24,2023-05-09
301042,安联锐视,WiFi,24,2023-05-09
2396,星网锐捷,WiFi,24,2023-05-09
300327,中颖电子,WiFi,24,2023-05-09
