stockCode,stockName,sector,sectorCount,date
600337,美克家居,内贸流通,177,2023-05-09
626,远大控股,内贸流通,177,2023-05-09
603214,爱婴室,内贸流通,177,2023-05-09
950,重药控股,内贸流通,177,2023-05-09
2264,新华都,内贸流通,177,2023-05-09
419,通程控股,内贸流通,177,2023-05-09
600335,国机汽车,内贸流通,177,2023-05-09
2727,一心堂,内贸流通,177,2023-05-09
851,高鸿股份,内贸流通,177,2023-05-09
600280,中央商场,内贸流通,177,2023-05-09
2462,嘉事堂,内贸流通,177,2023-05-09
2819,东方中科,内贸流通,177,2023-05-09
600287,江苏舜天,内贸流通,177,2023-05-09
601366,利群股份,内贸流通,177,2023-05-09
600538,国发股份,内贸流通,177,2023-05-09
600729,重庆百货,内贸流通,177,2023-05-09
600861,北京城乡,内贸流通,177,2023-05-09
428,华天酒店,内贸流通,177,2023-05-09
2697,红旗连锁,内贸流通,177,2023-05-09
564,ST大集,内贸流通,177,2023-05-09
600865,百大集团,内贸流通,177,2023-05-09
600532,*ST未来,内贸流通,177,2023-05-09
605136,丽人丽妆,内贸流通,177,2023-05-09
300650,太龙股份,内贸流通,177,2023-05-09
601258,*ST庞大,内贸流通,177,2023-05-09
2277,友阿股份,内贸流通,177,2023-05-09
600327,大东方,内贸流通,177,2023-05-09
2788,鹭燕医药,内贸流通,177,2023-05-09
632,三木集团,内贸流通,177,2023-05-09
600128,弘业股份,内贸流通,177,2023-05-09
2336,人人乐,内贸流通,177,2023-05-09
2780,三夫户外,内贸流通,177,2023-05-09
600297,广汇汽车,内贸流通,177,2023-05-09
2505,鹏都农牧,内贸流通,177,2023-05-09
2589,瑞康医药,内贸流通,177,2023-05-09
600738,丽尚国潮,内贸流通,177,2023-05-09
600739,辽宁成大,内贸流通,177,2023-05-09
600122,*ST宏图,内贸流通,177,2023-05-09
300131,英唐智控,内贸流通,177,2023-05-09
601607,上海医药,内贸流通,177,2023-05-09
26,飞亚达,内贸流通,177,2023-05-09
28,国药一致,内贸流通,177,2023-05-09
2441,众业达,内贸流通,177,2023-05-09
25,特力Ａ,内贸流通,177,2023-05-09
600655,豫园股份,内贸流通,177,2023-05-09
603900,莱绅通灵,内贸流通,177,2023-05-09
600653,申华控股,内贸流通,177,2023-05-09
829,天音控股,内贸流通,177,2023-05-09
300937,药易购,内贸流通,177,2023-05-09
600153,建发股份,内贸流通,177,2023-05-09
2356,赫美集团,内贸流通,177,2023-05-09
963,华东医药,内贸流通,177,2023-05-09
2251,步步高,内贸流通,177,2023-05-09
300538,同益股份,内贸流通,177,2023-05-09
600083,博信股份,内贸流通,177,2023-05-09
2758,浙农股份,内贸流通,177,2023-05-09
757,浩物股份,内贸流通,177,2023-05-09
759,中百集团,内贸流通,177,2023-05-09
603108,润达医疗,内贸流通,177,2023-05-09
753,漳州发展,内贸流通,177,2023-05-09
34,神州数码,内贸流通,177,2023-05-09
652,泰达股份,内贸流通,177,2023-05-09
603003,龙宇股份,内贸流通,177,2023-05-09
300945,曼卡龙,内贸流通,177,2023-05-09
600753,庚星股份,内贸流通,177,2023-05-09
600647,*ST同达,内贸流通,177,2023-05-09
603708,家家悦,内贸流通,177,2023-05-09
605266,健之佳,内贸流通,177,2023-05-09
600751,海航科技,内贸流通,177,2023-05-09
603101,汇嘉时代,内贸流通,177,2023-05-09
600859,王府井,内贸流通,177,2023-05-09
601086,国芳集团,内贸流通,177,2023-05-09
554,泰山石油,内贸流通,177,2023-05-09
2561,徐家汇,内贸流通,177,2023-05-09
600857,宁波中百,内贸流通,177,2023-05-09
600754,锦江酒店,内贸流通,177,2023-05-09
600858,银座股份,内贸流通,177,2023-05-09
600755,厦门国贸,内贸流通,177,2023-05-09
601007,金陵饭店,内贸流通,177,2023-05-09
300464,星徽股份,内贸流通,177,2023-05-09
603970,中农立华,内贸流通,177,2023-05-09
600648,外高桥,内贸流通,177,2023-05-09
600546,山煤国际,内贸流通,177,2023-05-09
3020,立方制药,内贸流通,177,2023-05-09
600386,北巴传媒,内贸流通,177,2023-05-09
300184,力源信息,内贸流通,177,2023-05-09
600382,ST广珠,内贸流通,177,2023-05-09
601010,文峰股份,内贸流通,177,2023-05-09
603716,塞力医疗,内贸流通,177,2023-05-09
2556,辉隆股份,内贸流通,177,2023-05-09
721,西安饮食,内贸流通,177,2023-05-09
600387,ST海越,内贸流通,177,2023-05-09
603777,来伊份,内贸流通,177,2023-05-09
600822,上海物贸,内贸流通,177,2023-05-09
906,浙商中拓,内贸流通,177,2023-05-09
600824,益民集团,内贸流通,177,2023-05-09
600827,百联股份,内贸流通,177,2023-05-09
605108,同庆楼,内贸流通,177,2023-05-09
600829,人民同泰,内贸流通,177,2023-05-09
300622,博士眼镜,内贸流通,177,2023-05-09
603719,良品铺子,内贸流通,177,2023-05-09
600828,茂业商业,内贸流通,177,2023-05-09
996,*ST中期,内贸流通,177,2023-05-09
2221,东华能源,内贸流通,177,2023-05-09
600976,健民集团,内贸流通,177,2023-05-09
600250,南纺股份,内贸流通,177,2023-05-09
