stockCode,stockName,sector,sectorCount,date
603967,中创物流,冷链物流,105,2023-05-09
600336,澳柯玛,冷链物流,105,2023-05-09
2726,龙大美食,冷链物流,105,2023-05-09
2468,申通快递,冷链物流,105,2023-05-09
950,重药控股,冷链物流,105,2023-05-09
850,华茂股份,冷链物流,105,2023-05-09
300667,必创科技,冷链物流,105,2023-05-09
2462,嘉事堂,冷链物流,105,2023-05-09
603648,畅联股份,冷链物流,105,2023-05-09
300244,迪安诊断,冷链物流,105,2023-05-09
600676,交运股份,冷链物流,105,2023-05-09
2695,煌上煌,冷链物流,105,2023-05-09
564,ST大集,冷链物流,105,2023-05-09
2330,得利斯,冷链物流,105,2023-05-09
600125,铁龙物流,冷链物流,105,2023-05-09
2788,鹭燕医药,冷链物流,105,2023-05-09
2732,燕塘乳业,冷链物流,105,2023-05-09
2639,雪人股份,冷链物流,105,2023-05-09
2889,东方嘉盛,冷链物流,105,2023-05-09
2503,*ST搜特,冷链物流,105,2023-05-09
2837,英维克,冷链物流,105,2023-05-09
601156,东航物流,冷链物流,105,2023-05-09
603339,四方科技,冷链物流,105,2023-05-09
2069,ST獐子岛,冷链物流,105,2023-05-09
2589,瑞康医药,冷链物流,105,2023-05-09
603336,宏辉果蔬,冷链物流,105,2023-05-09
2682,龙洲股份,冷链物流,105,2023-05-09
2243,力合科创,冷链物流,105,2023-05-09
28,国药一致,冷链物流,105,2023-05-09
2050,三花智控,冷链物流,105,2023-05-09
600650,锦江在线,冷链物流,105,2023-05-09
2801,微光股份,冷链物流,105,2023-05-09
39,中集集团,冷链物流,105,2023-05-09
963,华东医药,冷链物流,105,2023-05-09
603187,海容冷链,冷链物流,105,2023-05-09
301058,中粮科工,冷链物流,105,2023-05-09
603186,华正新材,冷链物流,105,2023-05-09
2758,浙农股份,冷链物流,105,2023-05-09
2352,顺丰控股,冷链物流,105,2023-05-09
2158,汉钟精机,冷链物流,105,2023-05-09
603006,联明股份,冷链物流,105,2023-05-09
2454,松芝股份,冷链物流,105,2023-05-09
300257,开山股份,冷链物流,105,2023-05-09
519,中兵红箭,冷链物流,105,2023-05-09
600965,福成股份,冷链物流,105,2023-05-09
603871,嘉友国际,冷链物流,105,2023-05-09
811,冰轮环境,冷链物流,105,2023-05-09
3020,立方制药,冷链物流,105,2023-05-09
601228,广州港,冷链物流,105,2023-05-09
2031,巨轮智能,冷链物流,105,2023-05-09
301126,达嘉维康,冷链物流,105,2023-05-09
688139,海尔生物,冷链物流,105,2023-05-09
521,长虹美菱,冷链物流,105,2023-05-09
600829,人民同泰,冷链物流,105,2023-05-09
603056,德邦股份,冷链物流,105,2023-05-09
529,广弘控股,冷链物流,105,2023-05-09
603882,金域医学,冷链物流,105,2023-05-09
688398,赛特新材,冷链物流,105,2023-05-09
300807,天迈科技,冷链物流,105,2023-05-09
2024,ST易购,冷链物流,105,2023-05-09
600113,浙江东日,冷链物流,105,2023-05-09
600166,福田汽车,冷链物流,105,2023-05-09
1213,中铁特货,冷链物流,105,2023-05-09
735,罗牛山,冷链物流,105,2023-05-09
530,冰山冷热,冷链物流,105,2023-05-09
603066,音飞储存,冷链物流,105,2023-05-09
158,常山北明,冷链物流,105,2023-05-09
605090,九丰能源,冷链物流,105,2023-05-09
301039,中集车辆,冷链物流,105,2023-05-09
2172,澳洋健康,冷链物流,105,2023-05-09
600057,厦门象屿,冷链物流,105,2023-05-09
600511,国药股份,冷链物流,105,2023-05-09
600981,汇鸿集团,冷链物流,105,2023-05-09
603368,柳药集团,冷链物流,105,2023-05-09
600693,东百集团,冷链物流,105,2023-05-09
600619,海立股份,冷链物流,105,2023-05-09
2086,*ST东洋,冷链物流,105,2023-05-09
788,北大医药,冷链物流,105,2023-05-09
601598,中国外运,冷链物流,105,2023-05-09
300013,新宁物流,冷链物流,105,2023-05-09
600410,华胜天成,冷链物流,105,2023-05-09
600418,江淮汽车,冷链物流,105,2023-05-09
600787,中储股份,冷链物流,105,2023-05-09
600597,光明乳业,冷链物流,105,2023-05-09
688360,德马科技,冷链物流,105,2023-05-09
2011,盾安环境,冷链物流,105,2023-05-09
600708,光明地产,冷链物流,105,2023-05-09
603565,中谷物流,冷链物流,105,2023-05-09
2537,海联金汇,冷链物流,105,2023-05-09
2982,湘佳股份,冷链物流,105,2023-05-09
2533,金杯电工,冷链物流,105,2023-05-09
600894,广日股份,冷链物流,105,2023-05-09
600998,九州通,冷链物流,105,2023-05-09
2411,*ST必康,冷链物流,105,2023-05-09
301010,晶雪节能,冷链物流,105,2023-05-09
793,华闻集团,冷链物流,105,2023-05-09
600603,广汇物流,冷链物流,105,2023-05-09
2299,圣农发展,冷链物流,105,2023-05-09
705,浙江震元,冷链物流,105,2023-05-09
921,海信家电,冷链物流,105,2023-05-09
411,英特集团,冷链物流,105,2023-05-09
78,海王生物,冷链物流,105,2023-05-09
417,合肥百货,冷链物流,105,2023-05-09
600713,南京医药,冷链物流,105,2023-05-09
600686,金龙汽车,冷链物流,105,2023-05-09
