stockCode,stockName,sector,sectorCount,date
688035,德邦科技,半导体概念,252,2023-05-09
300661,圣邦股份,半导体概念,252,2023-05-09
688037,芯源微,半导体概念,252,2023-05-09
2725,跃岭股份,半导体概念,252,2023-05-09
301369,联动科技,半导体概念,252,2023-05-09
300665,飞鹿股份,半导体概念,252,2023-05-09
300666,江丰电子,半导体概念,252,2023-05-09
688172,燕东微,半导体概念,252,2023-05-09
1269,欧晶科技,半导体概念,252,2023-05-09
2079,苏州固锝,半导体概念,252,2023-05-09
2077,大港股份,半导体概念,252,2023-05-09
300650,太龙股份,半导体概念,252,2023-05-09
2334,英威腾,半导体概念,252,2023-05-09
300655,晶瑞电材,半导体概念,252,2023-05-09
688556,高测股份,半导体概念,252,2023-05-09
688352,颀中科技,半导体概念,252,2023-05-09
300656,民德电子,半导体概念,252,2023-05-09
300903,科翔股份,半导体概念,252,2023-05-09
688551,科威尔,半导体概念,252,2023-05-09
300236,上海新阳,半导体概念,252,2023-05-09
300139,晓程科技,半导体概念,252,2023-05-09
688458,美芯晟,半导体概念,252,2023-05-09
300131,英唐智控,半导体概念,252,2023-05-09
688017,绿的谐波,半导体概念,252,2023-05-09
2346,柘中股份,半导体概念,252,2023-05-09
2449,国星光电,半导体概念,252,2023-05-09
688662,富信科技,半导体概念,252,2023-05-09
2341,新纶新材,半导体概念,252,2023-05-09
2745,木林森,半导体概念,252,2023-05-09
688521,芯原股份,半导体概念,252,2023-05-09
300260,新莱应材,半导体概念,252,2023-05-09
688525,佰维存储,半导体概念,252,2023-05-09
688728,格科微,半导体概念,252,2023-05-09
300545,联得装备,半导体概念,252,2023-05-09
688328,深科达,半导体概念,252,2023-05-09
300263,隆华科技,半导体概念,252,2023-05-09
688661,和林微纳,半导体概念,252,2023-05-09
2054,德美化工,半导体概念,252,2023-05-09
688469,中芯集成,半导体概念,252,2023-05-09
300123,亚光科技,半导体概念,252,2023-05-09
688012,中微公司,半导体概念,252,2023-05-09
603501,韦尔股份,半导体概念,252,2023-05-09
688286,敏芯股份,半导体概念,252,2023-05-09
300398,飞凯材料,半导体概念,252,2023-05-09
300395,菲利华,半导体概念,252,2023-05-09
688003,天准科技,半导体概念,252,2023-05-09
603078,江化微,半导体概念,252,2023-05-09
688535,华海诚科,半导体概念,252,2023-05-09
688187,时代电气,半导体概念,252,2023-05-09
2617,露笑科技,半导体概念,252,2023-05-09
2456,欧菲光,半导体概念,252,2023-05-09
688186,广大特材,半导体概念,252,2023-05-09
603595,东尼电子,半导体概念,252,2023-05-09
301118,恒光股份,半导体概念,252,2023-05-09
601133,柏诚股份,半导体概念,252,2023-05-09
605358,立昂微,半导体概念,252,2023-05-09
300390,天华新能,半导体概念,252,2023-05-09
2049,紫光国微,半导体概念,252,2023-05-09
688478,晶升股份,半导体概念,252,2023-05-09
2046,国机精工,半导体概念,252,2023-05-09
300484,蓝海华腾,半导体概念,252,2023-05-09
300567,精测电子,半导体概念,252,2023-05-09
300283,温州宏丰,半导体概念,252,2023-05-09
688079,美迪凯,半导体概念,252,2023-05-09
300183,东软载波,半导体概念,252,2023-05-09
2429,兆驰股份,半导体概念,252,2023-05-09
2428,云南锗业,半导体概念,252,2023-05-09
603773,沃格光电,半导体概念,252,2023-05-09
300184,力源信息,半导体概念,252,2023-05-09
688689,银河微电,半导体概念,252,2023-05-09
688981,中芯国际,半导体概念,252,2023-05-09
688072,拓荆科技,半导体概念,252,2023-05-09
688401,路维光电,半导体概念,252,2023-05-09
300077,国民技术,半导体概念,252,2023-05-09
600104,上汽集团,半导体概念,252,2023-05-09
603386,骏亚科技,半导体概念,252,2023-05-09
300287,飞利信,半导体概念,252,2023-05-09
600206,有研新材,半导体概念,252,2023-05-09
603388,元成股份,半导体概念,252,2023-05-09
300480,光力科技,半导体概念,252,2023-05-09
601766,中国中车,半导体概念,252,2023-05-09
300475,香农芯创,半导体概念,252,2023-05-09
301338,凯格精机,半导体概念,252,2023-05-09
300474,景嘉微,半导体概念,252,2023-05-09
300554,三超新材,半导体概念,252,2023-05-09
2430,杭氧股份,半导体概念,252,2023-05-09
