stockCode,stockName,sector,sectorCount,date
600138,中青旅,在线旅游,21,2023-05-09
796,*ST凯撒,在线旅游,21,2023-05-09
600088,中视传媒,在线旅游,21,2023-05-09
978,桂林旅游,在线旅游,21,2023-05-09
300005,探路者,在线旅游,21,2023-05-09
2244,滨江集团,在线旅游,21,2023-05-09
2627,三峡旅游,在线旅游,21,2023-05-09
2780,三夫户外,在线旅游,21,2023-05-09
603721,中广天择,在线旅游,21,2023-05-09
69,华侨城Ａ,在线旅游,21,2023-05-09
888,峨眉山Ａ,在线旅游,21,2023-05-09
600640,国脉文化,在线旅游,21,2023-05-09
2033,丽江股份,在线旅游,21,2023-05-09
600576,祥源文旅,在线旅游,21,2023-05-09
2707,众信旅游,在线旅游,21,2023-05-09
600258,首旅酒店,在线旅游,21,2023-05-09
524,岭南控股,在线旅游,21,2023-05-09
603388,元成股份,在线旅游,21,2023-05-09
300133,华策影视,在线旅游,21,2023-05-09
603199,九华旅游,在线旅游,21,2023-05-09
300144,宋城演艺,在线旅游,21,2023-05-09
