stockCode,stockName,sector,sectorCount,date
950,重药控股,基因测序,54,2023-05-09
2030,达安基因,基因测序,54,2023-05-09
908,景峰医药,基因测序,54,2023-05-09
300244,迪安诊断,基因测序,54,2023-05-09
2038,双鹭药业,基因测序,54,2023-05-09
300436,广生堂,基因测序,54,2023-05-09
600538,国发股份,基因测序,54,2023-05-09
603118,共进股份,基因测序,54,2023-05-09
300439,美康生物,基因测序,54,2023-05-09
603259,药明康德,基因测序,54,2023-05-09
300146,汤臣倍健,基因测序,54,2023-05-09
2362,汉王科技,基因测序,54,2023-05-09
300289,利德曼,基因测序,54,2023-05-09
603718,海利生物,基因测序,54,2023-05-09
300482,万孚生物,基因测序,54,2023-05-09
301060,兰卫医学,基因测序,54,2023-05-09
600867,通化东宝,基因测序,54,2023-05-09
300272,开能健康,基因测序,54,2023-05-09
603882,金域医学,基因测序,54,2023-05-09
2131,利欧股份,基因测序,54,2023-05-09
300109,新开源,基因测序,54,2023-05-09
300009,安科生物,基因测序,54,2023-05-09
300171,东富龙,基因测序,54,2023-05-09
300558,贝达药业,基因测序,54,2023-05-09
600329,达仁堂,基因测序,54,2023-05-09
2642,荣联科技,基因测序,54,2023-05-09
2584,西陇科学,基因测序,54,2023-05-09
300306,远方信息,基因测序,54,2023-05-09
982,中银绒业,基因测序,54,2023-05-09
688315,诺禾致源,基因测序,54,2023-05-09
688114,华大智造,基因测序,54,2023-05-09
300016,北陆药业,基因测序,54,2023-05-09
300642,透景生命,基因测序,54,2023-05-09
300012,华测检测,基因测序,54,2023-05-09
2086,*ST东洋,基因测序,54,2023-05-09
688217,睿昂基因,基因测序,54,2023-05-09
300685,艾德生物,基因测序,54,2023-05-09
600594,益佰制药,基因测序,54,2023-05-09
300314,戴维医疗,基因测序,54,2023-05-09
300451,创业慧康,基因测序,54,2023-05-09
300887,谱尼测试,基因测序,54,2023-05-09
600682,南京新百,基因测序,54,2023-05-09
300676,华大基因,基因测序,54,2023-05-09
300639,凯普生物,基因测序,54,2023-05-09
833575,康乐卫士,基因测序,54,2023-05-09
300151,昌红科技,基因测序,54,2023-05-09
600645,中源协和,基因测序,54,2023-05-09
300254,仟源医药,基因测序,54,2023-05-09
710,贝瑞基因,基因测序,54,2023-05-09
300463,迈克生物,基因测序,54,2023-05-09
2044,美年健康,基因测序,54,2023-05-09
516,国际医学,基因测序,54,2023-05-09
2118,*ST紫鑫,基因测序,54,2023-05-09
513,丽珠集团,基因测序,54,2023-05-09
