stockCode,stockName,sector,sectorCount,date
300660,江苏雷利,大数据,290,2023-05-09
300663,科蓝软件,大数据,290,2023-05-09
300520,科大国创,大数据,290,2023-05-09
600487,亨通光电,大数据,290,2023-05-09
601360,三六零,大数据,290,2023-05-09
300245,天玑科技,大数据,290,2023-05-09
300249,依米康,大数据,290,2023-05-09
688031,星环科技,大数据,290,2023-05-09
2929,润建股份,大数据,290,2023-05-09
2063,远光软件,大数据,290,2023-05-09
300130,新国都,大数据,290,2023-05-09
2335,科华数据,大数据,290,2023-05-09
300513,恒实科技,大数据,290,2023-05-09
2339,积成电子,大数据,290,2023-05-09
600498,烽火通信,大数据,290,2023-05-09
2474,榕基软件,大数据,290,2023-05-09
300231,银信科技,大数据,290,2023-05-09
300925,法本信息,大数据,290,2023-05-09
300795,米奥会展,大数据,290,2023-05-09
688168,安博通,大数据,290,2023-05-09
300137,先河环保,大数据,290,2023-05-09
688023,安恒信息,大数据,290,2023-05-09
300133,华策影视,大数据,290,2023-05-09
2340,格林美,大数据,290,2023-05-09
688191,智洋创新,大数据,290,2023-05-09
300541,先进数通,大数据,290,2023-05-09
300542,新晨科技,大数据,290,2023-05-09
300645,正元智慧,大数据,290,2023-05-09
601789,宁波建工,大数据,290,2023-05-09
688326,经纬恒润,大数据,290,2023-05-09
300937,药易购,大数据,290,2023-05-09
688287,观典防务,大数据,290,2023-05-09
2355,兴民智通,大数据,290,2023-05-09
688004,博汇科技,大数据,290,2023-05-09
301396,宏景科技,大数据,290,2023-05-09
601138,工业富联,大数据,290,2023-05-09
300250,初灵信息,大数据,290,2023-05-09
603508,思维列控,大数据,290,2023-05-09
300634,彩讯股份,大数据,290,2023-05-09
300252,金信诺,大数据,290,2023-05-09
2044,美年健康,大数据,290,2023-05-09
688475,萤石网络,大数据,290,2023-05-09
2955,鸿合科技,大数据,290,2023-05-09
688288,鸿泉物联,大数据,290,2023-05-09
300392,*ST腾信,大数据,290,2023-05-09
300113,顺网科技,大数据,290,2023-05-09
2421,达实智能,大数据,290,2023-05-09
688588,凌志软件,大数据,290,2023-05-09
300281,金明精机,大数据,290,2023-05-09
300560,中富通,大数据,290,2023-05-09
600242,*ST中昌,大数据,290,2023-05-09
300384,三联虹普,大数据,290,2023-05-09
600100,同方股份,大数据,290,2023-05-09
300075,数字政通,大数据,290,2023-05-09
300387,富邦股份,大数据,290,2023-05-09
600633,浙数文化,大数据,290,2023-05-09
300074,华平股份,大数据,290,2023-05-09
300076,GQY视讯,大数据,290,2023-05-09
300078,思创医惠,大数据,290,2023-05-09
300383,光环新网,大数据,290,2023-05-09
600105,永鼎股份,大数据,290,2023-05-09
300766,每日互动,大数据,290,2023-05-09
300188,美亚柏科,大数据,290,2023-05-09
603613,国联股份,大数据,290,2023-05-09
300287,飞利信,大数据,290,2023-05-09
301027,华蓝集团,大数据,290,2023-05-09
603610,麒盛科技,大数据,290,2023-05-09
300288,朗玛信息,大数据,290,2023-05-09
997,新大陆,大数据,290,2023-05-09
835207,众诚科技,大数据,290,2023-05-09
603881,数据港,大数据,290,2023-05-09
300271,华宇软件,大数据,290,2023-05-09
600251,冠农股份,大数据,290,2023-05-09
300270,中威电子,大数据,290,2023-05-09
300379,东方通,大数据,290,2023-05-09
300378,鼎捷软件,大数据,290,2023-05-09
2439,启明星辰,大数据,290,2023-05-09
300170,汉得信息,大数据,290,2023-05-09
300376,易事特,大数据,290,2023-05-09
300085,银之杰,大数据,290,2023-05-09
2027,分众传媒,大数据,290,2023-05-09
2024,ST易购,大数据,290,2023-05-09
