stockCode,stockName,sector,sectorCount,date
300584,海辰药业,幽门螺杆菌概念,46,2023-05-09
2422,科伦药业,幽门螺杆菌概念,46,2023-05-09
2086,*ST东洋,幽门螺杆菌概念,46,2023-05-09
2728,特一药业,幽门螺杆菌概念,46,2023-05-09
952,广济药业,幽门螺杆菌概念,46,2023-05-09
600572,康恩贝,幽门螺杆菌概念,46,2023-05-09
2030,达安基因,幽门螺杆菌概念,46,2023-05-09
2742,ST三圣,幽门螺杆菌概念,46,2023-05-09
2793,罗欣药业,幽门螺杆菌概念,46,2023-05-09
688426,康为世纪,幽门螺杆菌概念,46,2023-05-09
605199,葫芦娃,幽门螺杆菌概念,46,2023-05-09
2675,东诚药业,幽门螺杆菌概念,46,2023-05-09
301087,可孚医疗,幽门螺杆菌概念,46,2023-05-09
300439,美康生物,幽门螺杆菌概念,46,2023-05-09
688799,华纳药厂,幽门螺杆菌概念,46,2023-05-09
2223,鱼跃医疗,幽门螺杆菌概念,46,2023-05-09
2923,润都股份,幽门螺杆菌概念,46,2023-05-09
600351,亚宝药业,幽门螺杆菌概念,46,2023-05-09
301060,兰卫医学,幽门螺杆菌概念,46,2023-05-09
300482,万孚生物,幽门螺杆菌概念,46,2023-05-09
600420,国药现代,幽门螺杆菌概念,46,2023-05-09
2412,汉森制药,幽门螺杆菌概念,46,2023-05-09
300858,科拓生物,幽门螺杆菌概念,46,2023-05-09
2370,亚太药业,幽门螺杆菌概念,46,2023-05-09
2755,奥赛康,幽门螺杆菌概念,46,2023-05-09
300006,莱美药业,幽门螺杆菌概念,46,2023-05-09
605507,国邦医药,幽门螺杆菌概念,46,2023-05-09
756,新华制药,幽门螺杆菌概念,46,2023-05-09
777,中核科技,幽门螺杆菌概念,46,2023-05-09
300199,翰宇药业,幽门螺杆菌概念,46,2023-05-09
605388,均瑶健康,幽门螺杆菌概念,46,2023-05-09
301130,西点药业,幽门螺杆菌概念,46,2023-05-09
705,浙江震元,幽门螺杆菌概念,46,2023-05-09
2872,ST天圣,幽门螺杆菌概念,46,2023-05-09
688067,爱威科技,幽门螺杆菌概念,46,2023-05-09
300194,福安药业,幽门螺杆菌概念,46,2023-05-09
301190,善水科技,幽门螺杆菌概念,46,2023-05-09
300463,迈克生物,幽门螺杆菌概念,46,2023-05-09
300111,向日葵,幽门螺杆菌概念,46,2023-05-09
603222,济民医疗,幽门螺杆菌概念,46,2023-05-09
300406,九强生物,幽门螺杆菌概念,46,2023-05-09
603392,万泰生物,幽门螺杆菌概念,46,2023-05-09
301111,粤万年青,幽门螺杆菌概念,46,2023-05-09
2907,华森制药,幽门螺杆菌概念,46,2023-05-09
300404,博济医药,幽门螺杆菌概念,46,2023-05-09
513,丽珠集团,幽门螺杆菌概念,46,2023-05-09
