stockCode,stockName,sector,sectorCount,date
301365,矩阵股份,建筑装饰,167,2023-05-09
601868,中国能建,建筑装饰,167,2023-05-09
2620,瑞和股份,建筑装饰,167,2023-05-09
835857,百甲科技,建筑装饰,167,2023-05-09
2469,三维化学,建筑装饰,167,2023-05-09
2323,雅博股份,建筑装饰,167,2023-05-09
603153,上海建科,建筑装饰,167,2023-05-09
603017,中衡设计,建筑装饰,167,2023-05-09
2325,洪涛股份,建筑装饰,167,2023-05-09
300668,杰恩设计,建筑装饰,167,2023-05-09
600039,四川路桥,建筑装饰,167,2023-05-09
301167,建研设计,建筑装饰,167,2023-05-09
603018,华设集团,建筑装饰,167,2023-05-09
600477,杭萧钢构,建筑装饰,167,2023-05-09
2628,成都路桥,建筑装饰,167,2023-05-09
600284,浦东建设,建筑装饰,167,2023-05-09
600868,梅雁吉祥,建筑装饰,167,2023-05-09
2593,日上集团,建筑装饰,167,2023-05-09
603860,中公高科,建筑装饰,167,2023-05-09
2822,中装建设,建筑装饰,167,2023-05-09
601668,中国建筑,建筑装饰,167,2023-05-09
601669,中国电建,建筑装饰,167,2023-05-09
600133,东湖高新,建筑装饰,167,2023-05-09
1267,汇绿生态,建筑装饰,167,2023-05-09
2789,建艺集团,建筑装饰,167,2023-05-09
2062,宏润建设,建筑装饰,167,2023-05-09
603955,大千生态,建筑装饰,167,2023-05-09
600939,重庆建工,建筑装饰,167,2023-05-09
300517,海波重科,建筑装饰,167,2023-05-09
2883,中设股份,建筑装饰,167,2023-05-09
2061,浙江交科,建筑装饰,167,2023-05-09
603098,森特股份,建筑装饰,167,2023-05-09
603163,圣晖集成,建筑装饰,167,2023-05-09
600321,正源股份,建筑装饰,167,2023-05-09
2781,*ST奇信,建筑装饰,167,2023-05-09
2135,东南网架,建筑装饰,167,2023-05-09
300712,永福股份,建筑装饰,167,2023-05-09
603637,镇海股份,建筑装饰,167,2023-05-09
779,甘咨询,建筑装饰,167,2023-05-09
603959,百利科技,建筑装饰,167,2023-05-09
605289,罗曼股份,建筑装饰,167,2023-05-09
600491,龙元建设,建筑装饰,167,2023-05-09
2504,*ST弘高,建筑装饰,167,2023-05-09
600496,精工钢构,建筑装饰,167,2023-05-09
601068,中铝国际,建筑装饰,167,2023-05-09
605287,德才股份,建筑装饰,167,2023-05-09
2586,*ST围海,建筑装饰,167,2023-05-09
600667,太极实业,建筑装饰,167,2023-05-09
2830,名雕股份,建筑装饰,167,2023-05-09
628,高新发展,建筑装饰,167,2023-05-09
603176,汇通集团,建筑装饰,167,2023-05-09
601886,江河集团,建筑装饰,167,2023-05-09
301046,能辉科技,建筑装饰,167,2023-05-09
2743,富煌钢构,建筑装饰,167,2023-05-09
2051,中工国际,建筑装饰,167,2023-05-09
300844,山水比德,建筑装饰,167,2023-05-09
300649,杭州园林,建筑装饰,167,2023-05-09
300746,汉嘉设计,建筑装饰,167,2023-05-09
2775,文科园林,建筑装饰,167,2023-05-09
603843,正平股份,建筑装饰,167,2023-05-09
601789,宁波建工,建筑装饰,167,2023-05-09
2140,东华科技,建筑装饰,167,2023-05-09
601800,中国交建,建筑装饰,167,2023-05-09
3001,中岩大地,建筑装饰,167,2023-05-09
2941,新疆交建,建筑装饰,167,2023-05-09
603909,建发合诚,建筑装饰,167,2023-05-09
301058,中粮科工,建筑装饰,167,2023-05-09
300536,农尚环境,建筑装饰,167,2023-05-09
603979,金诚信,建筑装饰,167,2023-05-09
300732,设研院,建筑装饰,167,2023-05-09
2949,华阳国际,建筑装饰,167,2023-05-09
32,深桑达Ａ,建筑装饰,167,2023-05-09
300197,节能铁汉,建筑装饰,167,2023-05-09
2761,浙江建投,建筑装饰,167,2023-05-09
603007,ST花王,建筑装饰,167,2023-05-09
300635,中达安,建筑装饰,167,2023-05-09
