stockCode,stockName,sector,sectorCount,date
2127,南极电商,户外露营,20,2023-05-09
2723,小崧股份,户外露营,20,2023-05-09
300577,开润股份,户外露营,20,2023-05-09
300005,探路者,户外露营,20,2023-05-09
605080,浙江自然,户外露营,20,2023-05-09
601718,际华集团,户外露营,20,2023-05-09
2780,三夫户外,户外露营,20,2023-05-09
300993,玉马遮阳,户外露营,20,2023-05-09
301336,趣睡科技,户外露营,20,2023-05-09
300163,先锋新材,户外露营,20,2023-05-09
2615,哈尔斯,户外露营,20,2023-05-09
2887,绿茵生态,户外露营,20,2023-05-09
603766,隆鑫通用,户外露营,20,2023-05-09
603307,扬州金泉,户外露营,20,2023-05-09
2489,浙江永强,户外露营,20,2023-05-09
1238,浙江正特,户外露营,20,2023-05-09
1211,双枪科技,户外露营,20,2023-05-09
603055,台华新材,户外露营,20,2023-05-09
603908,牧高笛,户外露营,20,2023-05-09
301113,雅艺科技,户外露营,20,2023-05-09
