stockCode,stockName,sector,sectorCount,date
600982,宁波能源,抽水蓄能,27,2023-05-09
2266,浙富控股,抽水蓄能,27,2023-05-09
600310,桂东电力,抽水蓄能,27,2023-05-09
300992,泰福泵业,抽水蓄能,27,2023-05-09
600032,浙江新能,抽水蓄能,27,2023-05-09
400,许继电气,抽水蓄能,27,2023-05-09
875,吉电股份,抽水蓄能,27,2023-05-09
543,皖能电力,抽水蓄能,27,2023-05-09
601669,中国电建,抽水蓄能,27,2023-05-09
2202,金风科技,抽水蓄能,27,2023-05-09
600268,国电南自,抽水蓄能,27,2023-05-09
600995,南网储能,抽水蓄能,27,2023-05-09
2060,粤水电,抽水蓄能,27,2023-05-09
600956,新天绿能,抽水蓄能,27,2023-05-09
688676,金盘科技,抽水蓄能,27,2023-05-09
966,长源电力,抽水蓄能,27,2023-05-09
300712,永福股份,抽水蓄能,27,2023-05-09
1896,豫能控股,抽水蓄能,27,2023-05-09
600406,国电南瑞,抽水蓄能,27,2023-05-09
600642,申能股份,抽水蓄能,27,2023-05-09
600528,中铁工业,抽水蓄能,27,2023-05-09
301038,深水规院,抽水蓄能,27,2023-05-09
600905,三峡能源,抽水蓄能,27,2023-05-09
301018,申菱环境,抽水蓄能,27,2023-05-09
883,湖北能源,抽水蓄能,27,2023-05-09
600875,东方电气,抽水蓄能,27,2023-05-09
601399,国机重装,抽水蓄能,27,2023-05-09
