stockCode,stockName,sector,sectorCount,date
2073,软控股份,新材料,314,2023-05-09
2469,三维化学,新材料,314,2023-05-09
300665,飞鹿股份,新材料,314,2023-05-09
2324,普利特,新材料,314,2023-05-09
300666,江丰电子,新材料,314,2023-05-09
2466,天齐锂业,新材料,314,2023-05-09
2623,亚玛顿,新材料,314,2023-05-09
2460,赣锋锂业,新材料,314,2023-05-09
601168,西部矿业,新材料,314,2023-05-09
2625,光启技术,新材料,314,2023-05-09
300243,瑞丰高材,新材料,314,2023-05-09
688179,阿拉丁,新材料,314,2023-05-09
592,平潭发展,新材料,314,2023-05-09
2076,雪莱特,新材料,314,2023-05-09
603212,赛伍技术,新材料,314,2023-05-09
2632,道明光学,新材料,314,2023-05-09
831768,拾比佰,新材料,314,2023-05-09
300655,晶瑞电材,新材料,314,2023-05-09
688350,富淼科技,新材料,314,2023-05-09
600497,驰宏锌锗,新材料,314,2023-05-09
2838,道恩股份,新材料,314,2023-05-09
600490,鹏欣资源,新材料,314,2023-05-09
300796,贝斯美,新材料,314,2023-05-09
688550,瑞联新材,新材料,314,2023-05-09
688357,建龙微纳,新材料,314,2023-05-09
300234,开尔新材,新材料,314,2023-05-09
688456,有研粉材,新材料,314,2023-05-09
2068,黑猫股份,新材料,314,2023-05-09
2066,瑞泰科技,新材料,314,2023-05-09
688020,方邦股份,新材料,314,2023-05-09
300641,正丹股份,新材料,314,2023-05-09
688722,同益中,新材料,314,2023-05-09
603995,甬金股份,新材料,314,2023-05-09
600096,云天化,新材料,314,2023-05-09
688019,安集科技,新材料,314,2023-05-09
300644,南京聚隆,新材料,314,2023-05-09
2341,新纶新材,新材料,314,2023-05-09
688190,云路股份,新材料,314,2023-05-09
833580,科创新材,新材料,314,2023-05-09
2600,领益智造,新材料,314,2023-05-09
688199,久日新材,新材料,314,2023-05-09
300263,隆华科技,新材料,314,2023-05-09
605366,宏柏新材,新材料,314,2023-05-09
300121,阳谷华泰,新材料,314,2023-05-09
603799,华友钴业,新材料,314,2023-05-09
2056,横店东磁,新材料,314,2023-05-09
688299,长阳科技,新材料,314,2023-05-09
603991,至正股份,新材料,314,2023-05-09
2057,中钢天源,新材料,314,2023-05-09
300127,银河磁体,新材料,314,2023-05-09
301100,风光股份,新材料,314,2023-05-09
300537,广信材料,新材料,314,2023-05-09
603077,和邦生物,新材料,314,2023-05-09
300398,飞凯材料,新材料,314,2023-05-09
300395,菲利华,新材料,314,2023-05-09
300631,久吾高科,新材料,314,2023-05-09
688281,华秦科技,新材料,314,2023-05-09
601137,博威合金,新材料,314,2023-05-09
688181,八亿时空,新材料,314,2023-05-09
300637,扬帆新材,新材料,314,2023-05-09
688186,广大特材,新材料,314,2023-05-09
2810,山东赫达,新材料,314,2023-05-09
300487,蓝晓科技,新材料,314,2023-05-09
688585,上纬新材,新材料,314,2023-05-09
300283,温州宏丰,新材料,314,2023-05-09
603773,沃格光电,新材料,314,2023-05-09
300073,当升科技,新材料,314,2023-05-09
300568,星源材质,新材料,314,2023-05-09
301326,捷邦科技,新材料,314,2023-05-09
300952,恒辉安防,新材料,314,2023-05-09
300285,国瓷材料,新材料,314,2023-05-09
603612,索通发展,新材料,314,2023-05-09
600206,有研新材,新材料,314,2023-05-09
301026,浩通科技,新材料,314,2023-05-09
603617,君禾股份,新材料,314,2023-05-09
300481,濮阳惠成,新材料,314,2023-05-09
688122,西部超导,新材料,314,2023-05-09
600626,申达股份,新材料,314,2023-05-09
688718,唯赛勃,新材料,314,2023-05-09
688598,金博股份,新材料,314,2023-05-09
300082,奥克股份,新材料,314,2023-05-09
300080,易成新能,新材料,314,2023-05-09
600623,华谊集团,新材料,314,2023-05-09
300699,光威复材,新材料,314,2023-05-09
600111,北方稀土,新材料,314,2023-05-09
600110,诺德股份,新材料,314,2023-05-09
301131,聚赛龙,新材料,314,2023-05-09
603725,天安新材,新材料,314,2023-05-09
600114,东睦股份,新材料,314,2023-05-09
688268,华特气体,新材料,314,2023-05-09
300963,中洲特材,新材料,314,2023-05-09
688267,中触媒,新材料,314,2023-05-09
982,中银绒业,新材料,314,2023-05-09
300179,四方达,新材料,314,2023-05-09
688690,纳微科技,新材料,314,2023-05-09
737,北方铜业,新材料,314,2023-05-09
1212,中旗新材,新材料,314,2023-05-09
688065,凯赛生物,新材料,314,2023-05-09
603722,阿科力,新材料,314,2023-05-09
988,华工科技,新材料,314,2023-05-09
600255,鑫科材料,新材料,314,2023-05-09
881,中广核技,新材料,314,2023-05-09
600259,广晟有色,新材料,314,2023-05-09
833394,民士达,新材料,314,2023-05-09
600888,新疆众和,新材料,314,2023-05-09
600885,宏发股份,新材料,314,2023-05-09
600884,杉杉股份,新材料,314,2023-05-09
300586,美联新材,新材料,314,2023-05-09
301349,信德新材,新材料,314,2023-05-09
600516,方大炭素,新材料,314,2023-05-09
831152,昆工科技,新材料,314,2023-05-09
600362,江西铜业,新材料,314,2023-05-09
