stockCode,stockName,sector,sectorCount,date
300140,中环装备,智能电网,159,2023-05-09
2074,国轩高科,智能电网,159,2023-05-09
300141,和顺电气,智能电网,159,2023-05-09
603290,斯达半导,智能电网,159,2023-05-09
2322,理工能科,智能电网,159,2023-05-09
300667,必创科技,智能电网,159,2023-05-09
2121,科陆电子,智能电网,159,2023-05-09
605066,天正电气,智能电网,159,2023-05-09
2622,皓宸医疗,智能电网,159,2023-05-09
600869,远东股份,智能电网,159,2023-05-09
2514,宝馨科技,智能电网,159,2023-05-09
300248,新开普,智能电网,159,2023-05-09
603861,白云电器,智能电网,159,2023-05-09
300339,润和软件,智能电网,159,2023-05-09
591,太阳能,智能电网,159,2023-05-09
2692,ST远程,智能电网,159,2023-05-09
600131,国网信通,智能电网,159,2023-05-09
2063,远光软件,智能电网,159,2023-05-09
600290,*ST华仪,智能电网,159,2023-05-09
2276,万马股份,智能电网,159,2023-05-09
300513,恒实科技,智能电网,159,2023-05-09
300514,友讯达,智能电网,159,2023-05-09
2339,积成电子,智能电网,159,2023-05-09
301179,泽宇智能,智能电网,159,2023-05-09
300510,金冠股份,智能电网,159,2023-05-09
300712,永福股份,智能电网,159,2023-05-09
2474,榕基软件,智能电网,159,2023-05-09
2471,中超控股,智能电网,159,2023-05-09
300853,申昊科技,智能电网,159,2023-05-09
600468,百利电气,智能电网,159,2023-05-09
300040,九洲集团,智能电网,159,2023-05-09
300139,晓程科技,智能电网,159,2023-05-09
603530,神马电力,智能电网,159,2023-05-09
600525,长园集团,智能电网,159,2023-05-09
300444,双杰电气,智能电网,159,2023-05-09
600522,中天科技,智能电网,159,2023-05-09
601700,风范股份,智能电网,159,2023-05-09
688191,智洋创新,智能电网,159,2023-05-09
688663,新风光,智能电网,159,2023-05-09
600550,保变电气,智能电网,159,2023-05-09
2441,众业达,智能电网,159,2023-05-09
21,深科技,智能电网,159,2023-05-09
603666,亿嘉和,智能电网,159,2023-05-09
2606,大连电瓷,智能电网,159,2023-05-09
300933,中辰股份,智能电网,159,2023-05-09
300120,经纬辉开,智能电网,159,2023-05-09
3008,开普检测,智能电网,159,2023-05-09
2058,威尔泰,智能电网,159,2023-05-09
2356,赫美集团,智能电网,159,2023-05-09
2610,爱康科技,智能电网,159,2023-05-09
601877,正泰电器,智能电网,159,2023-05-09
2350,北京科锐,智能电网,159,2023-05-09
600089,特变电工,智能电网,159,2023-05-09
2452,长高电新,智能电网,159,2023-05-09
300069,金利华电,智能电网,159,2023-05-09
300638,广和通,智能电网,159,2023-05-09
300830,金现代,智能电网,159,2023-05-09
2617,露笑科技,智能电网,159,2023-05-09
688330,宏力达,智能电网,159,2023-05-09
300259,新天科技,智能电网,159,2023-05-09
300062,中能电气,智能电网,159,2023-05-09
605358,立昂微,智能电网,159,2023-05-09
2560,通达股份,智能电网,159,2023-05-09
688100,威胜信息,智能电网,159,2023-05-09
688589,力合微,智能电网,159,2023-05-09
2169,智光电气,智能电网,159,2023-05-09
601126,四方股份,智能电网,159,2023-05-09
2168,惠程科技,智能电网,159,2023-05-09
300183,东软载波,智能电网,159,2023-05-09
