stockCode,stockName,sector,sectorCount,date
871478,巨能股份,机器视觉,41,2023-05-09
688115,思林杰,机器视觉,41,2023-05-09
2747,埃斯顿,机器视觉,41,2023-05-09
2401,中远海科,机器视觉,41,2023-05-09
688686,奥普特,机器视觉,41,2023-05-09
688213,思特威,机器视觉,41,2023-05-09
300802,矩子科技,机器视觉,41,2023-05-09
300018,中元股份,机器视觉,41,2023-05-09
2426,胜利精密,机器视觉,41,2023-05-09
300545,联得装备,机器视觉,41,2023-05-09
688400,凌云光,机器视觉,41,2023-05-09
600288,大恒科技,机器视觉,41,2023-05-09
300607,拓斯达,机器视觉,41,2023-05-09
688619,罗普特,机器视觉,41,2023-05-09
688327,云从科技,机器视觉,41,2023-05-09
688307,中润光学,机器视觉,41,2023-05-09
688088,虹软科技,机器视觉,41,2023-05-09
688343,云天励飞,机器视觉,41,2023-05-09
2184,海得控制,机器视觉,41,2023-05-09
2362,汉王科技,机器视觉,41,2023-05-09
948,南天信息,机器视觉,41,2023-05-09
300598,诚迈科技,机器视觉,41,2023-05-09
301360,荣旗科技,机器视觉,41,2023-05-09
300556,丝路视觉,机器视觉,41,2023-05-09
300836,佰奥智能,机器视觉,41,2023-05-09
300479,神思电子,机器视觉,41,2023-05-09
300730,科创信息,机器视觉,41,2023-05-09
688003,天准科技,机器视觉,41,2023-05-09
300678,中科信息,机器视觉,41,2023-05-09
300044,赛为智能,机器视觉,41,2023-05-09
688207,格灵深瞳,机器视觉,41,2023-05-09
821,京山轻机,机器视觉,41,2023-05-09
2975,博杰股份,机器视觉,41,2023-05-09
2527,新时达,机器视觉,41,2023-05-09
688067,爱威科技,机器视觉,41,2023-05-09
2689,远大智能,机器视觉,41,2023-05-09
1339,智微智能,机器视觉,41,2023-05-09
300112,万讯自控,机器视觉,41,2023-05-09
688787,海天瑞声,机器视觉,41,2023-05-09
2957,科瑞技术,机器视觉,41,2023-05-09
584,ST工智,机器视觉,41,2023-05-09
688090,瑞松科技,机器视觉,41,2023-05-09
