stockCode,stockName,sector,sectorCount,date
600096,云天化,氟化工,32,2023-05-09
600884,杉杉股份,氟化工,32,2023-05-09
2326,永太科技,氟化工,32,2023-05-09
300821,东岳硅材,氟化工,32,2023-05-09
605020,永和股份,氟化工,32,2023-05-09
2442,龙星化工,氟化工,32,2023-05-09
2407,多氟多,氟化工,32,2023-05-09
830,鲁西化工,氟化工,32,2023-05-09
300037,新宙邦,氟化工,32,2023-05-09
2409,雅克科技,氟化工,32,2023-05-09
600673,东阳光,氟化工,32,2023-05-09
688386,泛亚微透,氟化工,32,2023-05-09
2012,凯恩股份,氟化工,32,2023-05-09
600010,包钢股份,氟化工,32,2023-05-09
603810,丰山集团,氟化工,32,2023-05-09
2915,中欣氟材,氟化工,32,2023-05-09
2759,天际股份,氟化工,32,2023-05-09
2738,中矿资源,氟化工,32,2023-05-09
2411,*ST必康,氟化工,32,2023-05-09
603379,三美股份,氟化工,32,2023-05-09
603978,深圳新星,氟化工,32,2023-05-09
600378,昊华科技,氟化工,32,2023-05-09
300343,联创股份,氟化工,32,2023-05-09
688189,南新制药,氟化工,32,2023-05-09
600160,巨化股份,氟化工,32,2023-05-09
600184,光电股份,氟化工,32,2023-05-09
2709,天赐材料,氟化工,32,2023-05-09
603026,胜华新材,氟化工,32,2023-05-09
688146,中船特气,氟化工,32,2023-05-09
600141,兴发集团,氟化工,32,2023-05-09
3017,大洋生物,氟化工,32,2023-05-09
601678,滨化股份,氟化工,32,2023-05-09
