stockCode,stockName,sector,sectorCount,date
301366,一博科技,注册制次新股,234,2023-05-09
301365,矩阵股份,注册制次新股,234,2023-05-09
688035,德邦科技,注册制次新股,234,2023-05-09
301363,美好医疗,注册制次新股,234,2023-05-09
301369,联动科技,注册制次新股,234,2023-05-09
301368,丰立智能,注册制次新股,234,2023-05-09
301367,怡和嘉业,注册制次新股,234,2023-05-09
301269,华大九天,注册制次新股,234,2023-05-09
301267,华厦眼科,注册制次新股,234,2023-05-09
301266,宇邦新材,注册制次新股,234,2023-05-09
301265,华新环保,注册制次新股,234,2023-05-09
688172,燕东微,注册制次新股,234,2023-05-09
688349,三一重能,注册制次新股,234,2023-05-09
1367,海森药业,注册制次新股,234,2023-05-09
301260,格力博,注册制次新股,234,2023-05-09
688348,昱能科技,注册制次新股,234,2023-05-09
1360,南矿集团,注册制次新股,234,2023-05-09
688343,云天励飞,注册制次新股,234,2023-05-09
301361,众智科技,注册制次新股,234,2023-05-09
688031,星环科技,注册制次新股,234,2023-05-09
688448,磁谷科技,注册制次新股,234,2023-05-09
301360,荣旗科技,注册制次新股,234,2023-05-09
301377,鼎泰高科,注册制次新股,234,2023-05-09
301379,天山电子,注册制次新股,234,2023-05-09
301378,通达海,注册制次新股,234,2023-05-09
688351,微电生理,注册制次新股,234,2023-05-09
688352,颀中科技,注册制次新股,234,2023-05-09
688353,华盛锂电,注册制次新股,234,2023-05-09
301276,嘉曼服饰,注册制次新股,234,2023-05-09
301278,快可电子,注册制次新股,234,2023-05-09
301277,新天地,注册制次新股,234,2023-05-09
301273,瑞晨环保,注册制次新股,234,2023-05-09
601061,中信金属,注册制次新股,234,2023-05-09
601065,江盐集团,注册制次新股,234,2023-05-09
301270,汉仪股份,注册制次新股,234,2023-05-09
688455,科捷智能,注册制次新股,234,2023-05-09
688459,哈铁科技,注册制次新股,234,2023-05-09
301373,凌玮科技,注册制次新股,234,2023-05-09
301389,隆扬电子,注册制次新股,234,2023-05-09
688297,中无人机,注册制次新股,234,2023-05-09
301388,欣灵电气,注册制次新股,234,2023-05-09
688292,浩瀚深度,注册制次新股,234,2023-05-09
301387,光大同创,注册制次新股,234,2023-05-09
688291,金橙子,注册制次新股,234,2023-05-09
301386,未来电器,注册制次新股,234,2023-05-09
688293,奥浦迈,注册制次新股,234,2023-05-09
688522,纳睿雷达,注册制次新股,234,2023-05-09
688525,佰维存储,注册制次新股,234,2023-05-09
301246,宏源药业,注册制次新股,234,2023-05-09
688322,奥比中光,注册制次新股,234,2023-05-09
688327,云从科技,注册制次新股,234,2023-05-09
301107,瑜欣电子,注册制次新股,234,2023-05-09
301105,鸿铭股份,注册制次新股,234,2023-05-09
301380,挖金客,注册制次新股,234,2023-05-09
688287,观典防务,注册制次新股,234,2023-05-09
688539,高华科技,注册制次新股,234,2023-05-09
301396,宏景科技,注册制次新股,234,2023-05-09
301398,星源卓镁,注册制次新股,234,2023-05-09
688184,帕瓦股份,注册制次新股,234,2023-05-09
688531,日联科技,注册制次新股,234,2023-05-09
301255,通力科技,注册制次新股,234,2023-05-09
688535,华海诚科,注册制次新股,234,2023-05-09
301257,普蕊斯,注册制次新股,234,2023-05-09
688332,中科蓝讯,注册制次新股,234,2023-05-09
601133,柏诚股份,注册制次新股,234,2023-05-09
301115,建科股份,注册制次新股,234,2023-05-09
688475,萤石网络,注册制次新股,234,2023-05-09
688478,晶升股份,注册制次新股,234,2023-05-09
301112,信邦智能,注册制次新股,234,2023-05-09
301390,经纬股份,注册制次新股,234,2023-05-09
301391,卡莱特,注册制次新股,234,2023-05-09
688130,晶华微,注册制次新股,234,2023-05-09
301227,森鹰窗业,注册制次新股,234,2023-05-09
301327,华宝新能,注册制次新股,234,2023-05-09
688132,邦彦技术,注册制次新股,234,2023-05-09
301328,维峰电子,注册制次新股,234,2023-05-09
301429,森泰股份,注册制次新股,234,2023-05-09
301223,中荣股份,注册制次新股,234,2023-05-09
301220,亚香股份,注册制次新股,234,2023-05-09
301321,翰博高新,注册制次新股,234,2023-05-09
301322,绿通科技,注册制次新股,234,2023-05-09
688271,联影医疗,注册制次新股,234,2023-05-09
688273,麦澜德,注册制次新股,234,2023-05-09
301326,捷邦科技,注册制次新股,234,2023-05-09
688275,万润新能,注册制次新股,234,2023-05-09
688400,凌云光,注册制次新股,234,2023-05-09
1328,登康口腔,注册制次新股,234,2023-05-09
688401,路维光电,注册制次新股,234,2023-05-09
301121,紫建电子,注册制次新股,234,2023-05-09
688073,毕得医药,注册制次新股,234,2023-05-09
688307,中润光学,注册制次新股,234,2023-05-09
688403,汇成股份,注册制次新股,234,2023-05-09
301125,腾亚精工,注册制次新股,234,2023-05-09
688409,富创精密,注册制次新股,234,2023-05-09
688137,近岸蛋白,注册制次新股,234,2023-05-09
301338,凯格精机,注册制次新股,234,2023-05-09
301439,泓淋电力,注册制次新股,234,2023-05-09
301339,通行宝,注册制次新股,234,2023-05-09
301238,瑞泰新材,注册制次新股,234,2023-05-09
688120,华海清科,注册制次新股,234,2023-05-09
301231,荣信文化,注册制次新股,234,2023-05-09
301233,盛帮股份,注册制次新股,234,2023-05-09
301234,五洲医疗,注册制次新股,234,2023-05-09
301330,熵基科技,注册制次新股,234,2023-05-09
301331,恩威医药,注册制次新股,234,2023-05-09
301333,诺思格,注册制次新股,234,2023-05-09
301239,普瑞眼科,注册制次新股,234,2023-05-09
301335,天元宠物,注册制次新股,234,2023-05-09
301336,趣睡科技,注册制次新股,234,2023-05-09
688410,山外山,注册制次新股,234,2023-05-09
301132,满坤科技,注册制次新股,234,2023-05-09
688061,灿瑞科技,注册制次新股,234,2023-05-09
301139,元道通信,注册制次新股,234,2023-05-09
688416,恒烁股份,注册制次新股,234,2023-05-09
688419,耐科装备,注册制次新股,234,2023-05-09
301230,泓博医药,注册制次新股,234,2023-05-09
301408,华人健康,注册制次新股,234,2023-05-09
688152,麒麟信安,注册制次新股,234,2023-05-09
301205,联特科技,注册制次新股,234,2023-05-09
301349,信德新材,注册制次新股,234,2023-05-09
301203,国泰环保,注册制次新股,234,2023-05-09
301141,中科磁业,注册制次新股,234,2023-05-09
301208,中亦科技,注册制次新股,234,2023-05-09
688251,井松智能,注册制次新股,234,2023-05-09
301209,联合化学,注册制次新股,234,2023-05-09
688252,天德钰,注册制次新股,234,2023-05-09
301345,涛涛车业,注册制次新股,234,2023-05-09
688253,英诺特,注册制次新股,234,2023-05-09
688426,康为世纪,注册制次新股,234,2023-05-09
688053,思科瑞,注册制次新股,234,2023-05-09
688420,美腾科技,注册制次新股,234,2023-05-09
688428,诺诚健华,注册制次新股,234,2023-05-09
301419,阿莱德,注册制次新股,234,2023-05-09
688143,长盈通,注册制次新股,234,2023-05-09
688141,杰华特,注册制次新股,234,2023-05-09
301356,天振股份,注册制次新股,234,2023-05-09
301357,北方长龙,注册制次新股,234,2023-05-09
301152,天力锂能,注册制次新股,234,2023-05-09
301358,湖南裕能,注册制次新股,234,2023-05-09
301153,中科江南,注册制次新股,234,2023-05-09
301359,东南电子,注册制次新股,234,2023-05-09
688047,龙芯中科,注册制次新股,234,2023-05-09
688435,英方软件,注册制次新股,234,2023-05-09
688045,必易微,注册制次新股,234,2023-05-09
688249,晶合集成,注册制次新股,234,2023-05-09
688041,海光信息,注册制次新股,234,2023-05-09
688247,宣泰医药,注册制次新股,234,2023-05-09
688432,有研硅,注册制次新股,234,2023-05-09
688433,华曙高科,注册制次新股,234,2023-05-09
301157,华塑科技,注册制次新股,234,2023-05-09
301156,美农生物,注册制次新股,234,2023-05-09
688244,永信至诚,注册制次新股,234,2023-05-09
688147,微导纳米,注册制次新股,234,2023-05-09
688146,中船特气,注册制次新股,234,2023-05-09
688439,振华风光,注册制次新股,234,2023-05-09
301165,锐捷网络,注册制次新股,234,2023-05-09
688237,超卓航科,注册制次新股,234,2023-05-09
301160,翔楼新材,注册制次新股,234,2023-05-09
301161,唯万密封,注册制次新股,234,2023-05-09
688231,隆达股份,注册制次新股,234,2023-05-09
301176,逸豪新材,注册制次新股,234,2023-05-09
301171,易点天下,注册制次新股,234,2023-05-09
301175,中科环保,注册制次新股,234,2023-05-09
688114,华大智造,注册制次新股,234,2023-05-09
688119,中钢洛耐,注册制次新股,234,2023-05-09
688213,思特威,注册制次新股,234,2023-05-09
301311,昆船智能,注册制次新股,234,2023-05-09
301183,东田微,注册制次新股,234,2023-05-09
301314,科瑞思,注册制次新股,234,2023-05-09
301313,凡拓数创,注册制次新股,234,2023-05-09
301312,智立方,注册制次新股,234,2023-05-09
301319,唯特偶,注册制次新股,234,2023-05-09
301318,维海德,注册制次新股,234,2023-05-09
301317,鑫磊股份,注册制次新股,234,2023-05-09
301316,慧博云通,注册制次新股,234,2023-05-09
688205,德科立,注册制次新股,234,2023-05-09
688203,海正生材,注册制次新股,234,2023-05-09
301197,工大科雅,注册制次新股,234,2023-05-09
301300,远翔新材,注册制次新股,234,2023-05-09
301195,北路智控,注册制次新股,234,2023-05-09
301302,华如科技,注册制次新股,234,2023-05-09
301301,川宁生物,注册制次新股,234,2023-05-09
301192,泰祥股份,注册制次新股,234,2023-05-09
301191,菲菱科思,注册制次新股,234,2023-05-09
301303,真兰仪表,注册制次新股,234,2023-05-09
301306,西测测试,注册制次新股,234,2023-05-09
301308,江波龙,注册制次新股,234,2023-05-09
301307,美利信,注册制次新股,234,2023-05-09
301309,万得凯,注册制次新股,234,2023-05-09
688486,龙迅股份,注册制次新股,234,2023-05-09
