stockCode,stockName,sector,sectorCount,date
603867,新化股份,消毒剂,57,2023-05-09
600673,东阳光,消毒剂,57,2023-05-09
908,景峰医药,消毒剂,57,2023-05-09
600538,国发股份,消毒剂,57,2023-05-09
300437,清水源,消毒剂,57,2023-05-09
523,广州浪奇,消毒剂,57,2023-05-09
2223,鱼跃医疗,消毒剂,57,2023-05-09
603213,镇洋发展,消毒剂,57,2023-05-09
2864,盘龙药业,消毒剂,57,2023-05-09
635,英力特,消毒剂,57,2023-05-09
2734,利民股份,消毒剂,57,2023-05-09
300109,新开源,消毒剂,57,2023-05-09
2636,金安国纪,消毒剂,57,2023-05-09
300086,康芝药业,消毒剂,57,2023-05-09
600623,华谊集团,消毒剂,57,2023-05-09
2584,西陇科学,消毒剂,57,2023-05-09
300962,中金辐照,消毒剂,57,2023-05-09
300343,联创股份,消毒剂,57,2023-05-09
600160,巨化股份,消毒剂,57,2023-05-09
2644,佛慈制药,消毒剂,57,2023-05-09
1218,丽臣实业,消毒剂,57,2023-05-09
300132,青松股份,消毒剂,57,2023-05-09
600691,阳煤化工,消毒剂,57,2023-05-09
2900,哈三联,消毒剂,57,2023-05-09
600618,氯碱化工,消毒剂,57,2023-05-09
300586,美联新材,消毒剂,57,2023-05-09
2741,光华科技,消毒剂,57,2023-05-09
830,鲁西化工,消毒剂,57,2023-05-09
600789,鲁抗医药,消毒剂,57,2023-05-09
2209,达意隆,消毒剂,57,2023-05-09
603360,百傲化学,消毒剂,57,2023-05-09
600226,ST瀚叶,消毒剂,57,2023-05-09
2385,大北农,消毒剂,57,2023-05-09
300632,光莆股份,消毒剂,57,2023-05-09
603077,和邦生物,消毒剂,57,2023-05-09
605009,豪悦护理,消毒剂,57,2023-05-09
600993,马应龙,消毒剂,57,2023-05-09
600273,嘉化能源,消毒剂,57,2023-05-09
698,沈阳化工,消毒剂,57,2023-05-09
300677,英科医疗,消毒剂,57,2023-05-09
301256,华融化学,消毒剂,57,2023-05-09
2762,金发拉比,消毒剂,57,2023-05-09
650,仁和药业,消毒剂,57,2023-05-09
600409,三友化工,消毒剂,57,2023-05-09
600587,新华医疗,消毒剂,57,2023-05-09
819,岳阳兴长,消毒剂,57,2023-05-09
915,华特达因,消毒剂,57,2023-05-09
818,航锦科技,消毒剂,57,2023-05-09
300871,回盛生物,消毒剂,57,2023-05-09
2002,鸿达兴业,消毒剂,57,2023-05-09
300422,博世科,消毒剂,57,2023-05-09
603200,上海洗霸,消毒剂,57,2023-05-09
600141,兴发集团,消毒剂,57,2023-05-09
2118,*ST紫鑫,消毒剂,57,2023-05-09
2092,中泰化学,消毒剂,57,2023-05-09
615,*ST美谷,消毒剂,57,2023-05-09
601678,滨化股份,消毒剂,57,2023-05-09
