stockCode,stockName,sector,sectorCount,date
300140,中环装备,特高压,78,2023-05-09
601126,四方股份,特高压,78,2023-05-09
2263,大东南,特高压,78,2023-05-09
603016,新宏泰,特高压,78,2023-05-09
600487,亨通光电,特高压,78,2023-05-09
600869,远东股份,特高压,78,2023-05-09
603618,杭电股份,特高压,78,2023-05-09
2227,奥特迅,特高压,78,2023-05-09
688681,科汇股份,特高压,78,2023-05-09
603861,白云电器,特高压,78,2023-05-09
2364,中恒电气,特高压,78,2023-05-09
688517,金冠电气,特高压,78,2023-05-09
601669,中国电建,特高压,78,2023-05-09
301023,江南奕帆,特高压,78,2023-05-09
603333,尚纬股份,特高压,78,2023-05-09
688597,煜邦电力,特高压,78,2023-05-09
301179,泽宇智能,特高压,78,2023-05-09
2132,恒星科技,特高压,78,2023-05-09
300510,金冠股份,特高压,78,2023-05-09
300376,易事特,特高压,78,2023-05-09
300712,永福股份,特高压,78,2023-05-09
603577,汇金通,特高压,78,2023-05-09
600879,航天电子,特高压,78,2023-05-09
2545,东方铁塔,特高压,78,2023-05-09
300341,麦克奥迪,特高压,78,2023-05-09
300617,安靠智电,特高压,78,2023-05-09
603530,神马电力,特高压,78,2023-05-09
600525,长园集团,特高压,78,2023-05-09
1216,华瓷股份,特高压,78,2023-05-09
2270,华明装备,特高压,78,2023-05-09
2272,川润股份,特高压,78,2023-05-09
601208,东材科技,特高压,78,2023-05-09
600522,中天科技,特高压,78,2023-05-09
2028,思源电气,特高压,78,2023-05-09
973,佛塑科技,特高压,78,2023-05-09
601700,风范股份,特高压,78,2023-05-09
688191,智洋创新,特高压,78,2023-05-09
601609,金田股份,特高压,78,2023-05-09
600550,保变电气,特高压,78,2023-05-09
2300,太阳电缆,特高压,78,2023-05-09
600517,国网英大,特高压,78,2023-05-09
600312,平高电气,特高压,78,2023-05-09
300365,恒华科技,特高压,78,2023-05-09
300018,中元股份,特高压,78,2023-05-09
603666,亿嘉和,特高压,78,2023-05-09
2606,大连电瓷,特高压,78,2023-05-09
300019,硅宝科技,特高压,78,2023-05-09
300215,电科院,特高压,78,2023-05-09
400,许继电气,特高压,78,2023-05-09
2576,通达动力,特高压,78,2023-05-09
300933,中辰股份,特高压,78,2023-05-09
300099,精准信息,特高压,78,2023-05-09
300265,通光线缆,特高压,78,2023-05-09
1208,华菱线缆,特高压,78,2023-05-09
300120,经纬辉开,特高压,78,2023-05-09
2533,金杯电工,特高压,78,2023-05-09
3008,开普检测,特高压,78,2023-05-09
301041,金百泽,特高压,78,2023-05-09
600268,国电南自,特高压,78,2023-05-09
2459,晶澳科技,特高压,78,2023-05-09
300499,高澜股份,特高压,78,2023-05-09
600501,航天晨光,特高压,78,2023-05-09
2316,亚联发展,特高压,78,2023-05-09
600089,特变电工,特高压,78,2023-05-09
2452,长高电新,特高压,78,2023-05-09
300069,金利华电,特高压,78,2023-05-09
300222,科大智能,特高压,78,2023-05-09
300831,派瑞股份,特高压,78,2023-05-09
300830,金现代,特高压,78,2023-05-09
70,特发信息,特高压,78,2023-05-09
600406,国电南瑞,特高压,78,2023-05-09
2358,森源电气,特高压,78,2023-05-09
601179,中国西电,特高压,78,2023-05-09
2564,天沃科技,特高压,78,2023-05-09
2498,汉缆股份,特高压,78,2023-05-09
2560,通达股份,特高压,78,2023-05-09
551,创元科技,特高压,78,2023-05-09
601677,明泰铝业,特高压,78,2023-05-09
