stockCode,stockName,sector,sectorCount,date
600282,南钢股份,破净股,304,2023-05-09
2628,成都路桥,破净股,304,2023-05-09
601169,北京银行,破净股,304,2023-05-09
600284,浦东建设,破净股,304,2023-05-09
601166,兴业银行,破净股,304,2023-05-09
2822,中装建设,破净股,304,2023-05-09
601163,三角轮胎,破净股,304,2023-05-09
601668,中国建筑,破净股,304,2023-05-09
601860,紫金银行,破净股,304,2023-05-09
601665,齐鲁银行,破净股,304,2023-05-09
601258,*ST庞大,破净股,304,2023-05-09
832000,安徽凤凰,破净股,304,2023-05-09
831768,拾比佰,破净股,304,2023-05-09
2061,浙江交科,破净股,304,2023-05-09
1872,招商港口,破净股,304,2023-05-09
600292,远达环保,破净股,304,2023-05-09
600297,广汇汽车,破净股,304,2023-05-09
601998,中信银行,破净股,304,2023-05-09
688555,*ST泽达,破净股,304,2023-05-09
601997,贵阳银行,破净股,304,2023-05-09
601155,新城控股,破净股,304,2023-05-09
600491,龙元建设,破净股,304,2023-05-09
601992,金隅集团,破净股,304,2023-05-09
601658,邮储银行,破净股,304,2023-05-09
581,威孚高科,破净股,304,2023-05-09
2067,景兴纸业,破净股,304,2023-05-09
2936,郑州银行,破净股,304,2023-05-09
2344,海宁皮城,破净股,304,2023-05-09
600094,大名城,破净股,304,2023-05-09
2743,富煌钢构,破净股,304,2023-05-09
2745,木林森,破净股,304,2023-05-09
600098,广州发展,破净股,304,2023-05-09
2440,闰土股份,破净股,304,2023-05-09
601988,中国银行,破净股,304,2023-05-09
601077,渝农商行,破净股,304,2023-05-09
601688,华泰证券,破净股,304,2023-05-09
601288,农业银行,破净股,304,2023-05-09
2948,青岛银行,破净股,304,2023-05-09
832023,田野股份,破净股,304,2023-05-09
831855,浙江大农,破净股,304,2023-05-09
2807,江阴银行,破净股,304,2023-05-09
601333,广深铁路,破净股,304,2023-05-09
2608,江苏国信,破净股,304,2023-05-09
601339,百隆东方,破净股,304,2023-05-09
2958,青农商行,破净股,304,2023-05-09
833266,生物谷,破净股,304,2023-05-09
2042,华孚时尚,破净股,304,2023-05-09
2048,宁波华翔,破净股,304,2023-05-09
601678,滨化股份,破净股,304,2023-05-09
601128,常熟银行,破净股,304,2023-05-09
498,山东路桥,破净股,304,2023-05-09
600638,新黄浦,破净股,304,2023-05-09
300282,*ST三盛,破净股,304,2023-05-09
717,中南股份,破净股,304,2023-05-09
600383,金地集团,破净股,304,2023-05-09
718,苏宁环球,破净股,304,2023-05-09
300070,碧水源,破净股,304,2023-05-09
601229,上海银行,破净股,304,2023-05-09
898,鞍钢股份,破净股,304,2023-05-09
2966,苏州银行,破净股,304,2023-05-09
990,诚志股份,破净股,304,2023-05-09
600104,上汽集团,破净股,304,2023-05-09
600208,新湖中宝,破净股,304,2023-05-09
600387,ST海越,破净股,304,2023-05-09
726,鲁泰Ａ,破净股,304,2023-05-09
1227,兰州银行,破净股,304,2023-05-09
603385,惠达卫浴,破净股,304,2023-05-09
834639,晨光电缆,破净股,304,2023-05-09
601398,工商银行,破净股,304,2023-05-09
2433,*ST太安,破净股,304,2023-05-09
2432,九安医疗,破净股,304,2023-05-09
601390,中国中铁,破净股,304,2023-05-09
601898,中煤能源,破净股,304,2023-05-09
728,国元证券,破净股,304,2023-05-09
488,晨鸣纸业,破净股,304,2023-05-09
600623,华谊集团,破净股,304,2023-05-09
600622,光大嘉宝,破净股,304,2023-05-09
90,天健集团,破净股,304,2023-05-09
600390,五矿资本,破净股,304,2023-05-09
732,ST泰禾,破净股,304,2023-05-09
603727,博迈科,破净股,304,2023-05-09
2872,ST天圣,破净股,304,2023-05-09
601211,国泰君安,破净股,304,2023-05-09
600219,南山铝业,破净股,304,2023-05-09
2233,塔牌集团,破净股,304,2023-05-09
601618,中国中冶,破净股,304,2023-05-09
883,湖北能源,破净股,304,2023-05-09
2029,七匹狼,破净股,304,2023-05-09
882,华联股份,破净股,304,2023-05-09
2839,张家港行,破净股,304,2023-05-09
600510,黑牡丹,破净股,304,2023-05-09
601107,四川成渝,破净股,304,2023-05-09
600512,腾达建设,破净股,304,2023-05-09
600611,大众交通,破净股,304,2023-05-09
600362,江西铜业,破净股,304,2023-05-09
2406,远东传动,破净股,304,2023-05-09
2010,传化智联,破净股,304,2023-05-09
877,天山股份,破净股,304,2023-05-09
600368,五洲交通,破净股,304,2023-05-09
830964,润农节水,破净股,304,2023-05-09
2208,合肥城建,破净股,304,2023-05-09
69,华侨城Ａ,破净股,304,2023-05-09
600782,新钢股份,破净股,304,2023-05-09
600881,亚泰集团,破净股,304,2023-05-09
600919,江苏银行,破净股,304,2023-05-09
600266,城建发展,破净股,304,2023-05-09
601101,昊华能源,破净股,304,2023-05-09
600269,赣粤高速,破净股,304,2023-05-09
608,阳光股份,破净股,304,2023-05-09
600894,广日股份,破净股,304,2023-05-09
2411,*ST必康,破净股,304,2023-05-09
600231,凌钢股份,破净股,304,2023-05-09
2314,南山控股,破净股,304,2023-05-09
600606,绿地控股,破净股,304,2023-05-09
300677,英科医疗,破净股,304,2023-05-09
601238,广汽集团,破净股,304,2023-05-09
709,河钢股份,破净股,304,2023-05-09
600508,上海能源,破净股,304,2023-05-09
601233,桐昆股份,破净股,304,2023-05-09
600376,首开股份,破净股,304,2023-05-09
2110,三钢闽光,破净股,304,2023-05-09
2002,鸿达兴业,破净股,304,2023-05-09
600908,无锡银行,破净股,304,2023-05-09
616,*ST海投,破净股,304,2023-05-09
600279,重庆港,破净股,304,2023-05-09
600277,亿利洁能,破净股,304,2023-05-09
600278,东方创业,破净股,304,2023-05-09
600928,西安银行,破净股,304,2023-05-09
627,天茂集团,破净股,304,2023-05-09
761,本钢板材,破净股,304,2023-05-09
835857,百甲科技,破净股,304,2023-05-09
623,吉林敖东,破净股,304,2023-05-09
600926,杭州银行,破净股,304,2023-05-09
419,通程控股,破净股,304,2023-05-09
850,华茂股份,破净股,304,2023-05-09
40,东旭蓝天,破净股,304,2023-05-09
600035,楚天高速,破净股,304,2023-05-09
42,中洲控股,破净股,304,2023-05-09
600033,福建高速,破净股,304,2023-05-09
600676,交运股份,破净股,304,2023-05-09
560,我爱我家,破净股,304,2023-05-09
600864,哈投股份,破净股,304,2023-05-09
949,新乡化纤,破净股,304,2023-05-09
600133,东湖高新,破净股,304,2023-05-09
600533,栖霞建设,破净股,304,2023-05-09
600126,杭钢股份,破净股,304,2023-05-09
2277,友阿股份,破净股,304,2023-05-09
603167,渤海轮渡,破净股,304,2023-05-09
600939,重庆建工,破净股,304,2023-05-09
600123,兰花科创,破净股,304,2023-05-09
59,华锦股份,破净股,304,2023-05-09
600128,弘业股份,破净股,304,2023-05-09
2133,广宇集团,破净股,304,2023-05-09
55,方大集团,破净股,304,2023-05-09
601718,际华集团,破净股,304,2023-05-09
778,新兴铸管,破净股,304,2023-05-09
50,深天马Ａ,破净股,304,2023-05-09
600022,山东钢铁,破净股,304,2023-05-09
600665,天地源,破净股,304,2023-05-09
601916,浙商银行,破净股,304,2023-05-09
2582,好想你,破净股,304,2023-05-09
600020,中原高速,破净股,304,2023-05-09
601918,新集能源,破净股,304,2023-05-09
600668,尖峰集团,破净股,304,2023-05-09
2586,*ST围海,破净股,304,2023-05-09
601919,中远海控,破净股,304,2023-05-09
600739,辽宁成大,破净股,304,2023-05-09
600736,苏州高新,破净股,304,2023-05-09
600120,浙江东方,破净股,304,2023-05-09
600356,恒丰纸业,破净股,304,2023-05-09
600157,永泰能源,破净股,304,2023-05-09
603323,苏农银行,破净股,304,2023-05-09
600159,大龙地产,破净股,304,2023-05-09
2146,荣盛发展,破净股,304,2023-05-09
600016,民生银行,破净股,304,2023-05-09
830832,齐鲁华信,破净股,304,2023-05-09
600015,华夏银行,破净股,304,2023-05-09
600017,日照港,破净股,304,2023-05-09
600019,宝钢股份,破净股,304,2023-05-09
600655,豫园股份,破净股,304,2023-05-09
833819,颖泰生物,破净股,304,2023-05-09
600740,山西焦化,破净股,304,2023-05-09
600741,华域汽车,破净股,304,2023-05-09
600657,信达地产,破净股,304,2023-05-09
600742,一汽富维,破净股,304,2023-05-09
600658,电子城,破净股,304,2023-05-09
826,启迪环境,破净股,304,2023-05-09
601800,中国交建,破净股,304,2023-05-09
600748,上实发展,破净股,304,2023-05-09
600153,建发股份,破净股,304,2023-05-09
600155,华创阳安,破净股,304,2023-05-09
603980,吉华集团,破净股,304,2023-05-09
600352,浙江龙盛,破净股,304,2023-05-09
600959,江苏有线,破净股,304,2023-05-09
39,中集集团,破净股,304,2023-05-09
2251,步步高,破净股,304,2023-05-09
601528,瑞丰银行,破净股,304,2023-05-09
961,中南建设,破净股,304,2023-05-09
38,*ST大通,破净股,304,2023-05-09
656,金科股份,破净股,304,2023-05-09
965,天保基建,破净股,304,2023-05-09
825,太钢不锈,破净股,304,2023-05-09
300190,维尔利,破净股,304,2023-05-09
603001,ST奥康,破净股,304,2023-05-09
600000,浦发银行,破净股,304,2023-05-09
601328,交通银行,破净股,304,2023-05-09
