stockCode,stockName,sector,sectorCount,date
600958,东方证券,科创板做市商,14,2023-05-09
601555,东吴证券,科创板做市商,14,2023-05-09
600999,招商证券,科创板做市商,14,2023-05-09
601878,浙商证券,科创板做市商,14,2023-05-09
601108,财通证券,科创板做市商,14,2023-05-09
2736,国信证券,科创板做市商,14,2023-05-09
166,申万宏源,科创板做市商,14,2023-05-09
601211,国泰君安,科创板做市商,14,2023-05-09
600030,中信证券,科创板做市商,14,2023-05-09
601066,中信建投,科创板做市商,14,2023-05-09
600109,国金证券,科创板做市商,14,2023-05-09
601377,兴业证券,科创板做市商,14,2023-05-09
601688,华泰证券,科创板做市商,14,2023-05-09
601881,中国银河,科创板做市商,14,2023-05-09
