stockCode,stockName,sector,sectorCount,date
2243,力合科创,美容护理,30,2023-05-09
300849,锦盛新材,美容护理,30,2023-05-09
2919,名臣健康,美容护理,30,2023-05-09
300740,水羊股份,美容护理,30,2023-05-09
600315,上海家化,美容护理,30,2023-05-09
1328,登康口腔,美容护理,30,2023-05-09
3006,百亚股份,美容护理,30,2023-05-09
301009,可靠股份,美容护理,30,2023-05-09
300886,华业香料,美容护理,30,2023-05-09
688363,华熙生物,美容护理,30,2023-05-09
301108,洁雅股份,美容护理,30,2023-05-09
523,广州浪奇,美容护理,30,2023-05-09
300957,贝泰妮,美容护理,30,2023-05-09
300888,稳健医疗,美容护理,30,2023-05-09
600249,两面针,美容护理,30,2023-05-09
603983,丸美股份,美容护理,30,2023-05-09
300955,嘉亨家化,美容护理,30,2023-05-09
603059,倍加洁,美容护理,30,2023-05-09
2511,中顺洁柔,美容护理,30,2023-05-09
1206,依依股份,美容护理,30,2023-05-09
603238,诺邦股份,美容护理,30,2023-05-09
605009,豪悦护理,美容护理,30,2023-05-09
300856,科思股份,美容护理,30,2023-05-09
300658,延江股份,美容护理,30,2023-05-09
300896,爱美客,美容护理,30,2023-05-09
603630,拉芳家化,美容护理,30,2023-05-09
2094,青岛金王,美容护理,30,2023-05-09
603605,珀莱雅,美容护理,30,2023-05-09
615,*ST美谷,美容护理,30,2023-05-09
300132,青松股份,美容护理,30,2023-05-09
