stockCode,stockName,sector,sectorCount,date
300868,杰美特,苹果概念,113,2023-05-09
2916,深南电路,苹果概念,113,2023-05-09
2129,TCL中环,苹果概念,113,2023-05-09
49,德赛电池,苹果概念,113,2023-05-09
300666,江丰电子,苹果概念,113,2023-05-09
603648,畅联股份,苹果概念,113,2023-05-09
2594,比亚迪,苹果概念,113,2023-05-09
2079,苏州固锝,苹果概念,113,2023-05-09
300433,蓝思科技,苹果概念,113,2023-05-09
301360,荣旗科技,苹果概念,113,2023-05-09
688025,杰普特,苹果概念,113,2023-05-09
2273,水晶光电,苹果概念,113,2023-05-09
2333,罗普斯金,苹果概念,113,2023-05-09
2475,立讯精密,苹果概念,113,2023-05-09
688559,海目星,苹果概念,113,2023-05-09
2635,安洁科技,苹果概念,113,2023-05-09
50,深天马Ａ,苹果概念,113,2023-05-09
2501,利源精制,苹果概念,113,2023-05-09
300709,精研科技,苹果概念,113,2023-05-09
300793,佳禾智能,苹果概念,113,2023-05-09
300136,信维通信,苹果概念,113,2023-05-09
300134,大富科技,苹果概念,113,2023-05-09
2681,奋达科技,苹果概念,113,2023-05-09
688112,鼎阳科技,苹果概念,113,2023-05-09
603986,兆易创新,苹果概念,113,2023-05-09
2241,歌尔股份,苹果概念,113,2023-05-09
301389,隆扬电子,苹果概念,113,2023-05-09
2938,鹏鼎控股,苹果概念,113,2023-05-09
977,浪潮信息,苹果概念,113,2023-05-09
2341,新纶新材,苹果概念,113,2023-05-09
2600,领益智造,苹果概念,113,2023-05-09
300057,万顺新材,苹果概念,113,2023-05-09
300545,联得装备,苹果概念,113,2023-05-09
300128,锦富技术,苹果概念,113,2023-05-09
300050,世纪鼎利,苹果概念,113,2023-05-09
829,天音控股,苹果概念,113,2023-05-09
600745,闻泰科技,苹果概念,113,2023-05-09
301312,智立方,苹果概念,113,2023-05-09
688661,和林微纳,苹果概念,113,2023-05-09
603327,福蓉科技,苹果概念,113,2023-05-09
969,安泰科技,苹果概念,113,2023-05-09
2947,恒铭达,苹果概念,113,2023-05-09
2056,横店东磁,苹果概念,113,2023-05-09
2055,得润电子,苹果概念,113,2023-05-09
603328,依顿电子,苹果概念,113,2023-05-09
688678,福立旺,苹果概念,113,2023-05-09
300836,佰奥智能,苹果概念,113,2023-05-09
300460,惠伦晶体,苹果概念,113,2023-05-09
603203,快克智能,苹果概念,113,2023-05-09
688003,天准科技,苹果概念,113,2023-05-09
601138,工业富联,苹果概念,113,2023-05-09
2613,北玻股份,苹果概念,113,2023-05-09
300736,百邦科技,苹果概念,113,2023-05-09
823,超声电子,苹果概念,113,2023-05-09
2453,华软科技,苹果概念,113,2023-05-09
603005,晶方科技,苹果概念,113,2023-05-09
603283,赛腾股份,苹果概念,113,2023-05-09
603595,东尼电子,苹果概念,113,2023-05-09
300256,ST星星,苹果概念,113,2023-05-09
688001,华兴源创,苹果概念,113,2023-05-09
300461,田中精机,苹果概念,113,2023-05-09
2957,科瑞技术,苹果概念,113,2023-05-09
300115,长盈精密,苹果概念,113,2023-05-09
300567,精测电子,苹果概念,113,2023-05-09
688079,美迪凯,苹果概念,113,2023-05-09
300183,东软载波,苹果概念,113,2023-05-09
688686,奥普特,苹果概念,113,2023-05-09
300073,当升科技,苹果概念,113,2023-05-09
301326,捷邦科技,苹果概念,113,2023-05-09
2426,胜利精密,苹果概念,113,2023-05-09
688400,凌云光,苹果概念,113,2023-05-09
2861,瀛通通讯,苹果概念,113,2023-05-09
725,京东方Ａ,苹果概念,113,2023-05-09
2655,共达电声,苹果概念,113,2023-05-09
301338,凯格精机,苹果概念,113,2023-05-09
300207,欣旺达,苹果概念,113,2023-05-09
600392,盛和资源,苹果概念,113,2023-05-09
300083,创世纪,苹果概念,113,2023-05-09
600114,东睦股份,苹果概念,113,2023-05-09
688093,世华科技,苹果概念,113,2023-05-09
2975,博杰股份,苹果概念,113,2023-05-09
300400,劲拓股份,苹果概念,113,2023-05-09
300088,长信科技,苹果概念,113,2023-05-09
688097,博众精工,苹果概念,113,2023-05-09
988,华工科技,苹果概念,113,2023-05-09
688127,蓝特光学,苹果概念,113,2023-05-09
603626,科森科技,苹果概念,113,2023-05-09
688312,燕麦科技,苹果概念,113,2023-05-09
2903,宇环数控,苹果概念,113,2023-05-09
300218,安利股份,苹果概念,113,2023-05-09
600884,杉杉股份,苹果概念,113,2023-05-09
300802,矩子科技,苹果概念,113,2023-05-09
600361,创新新材,苹果概念,113,2023-05-09
300684,中石科技,苹果概念,113,2023-05-09
600366,宁波韵升,苹果概念,113,2023-05-09
300410,正业科技,苹果概念,113,2023-05-09
300602,飞荣达,苹果概念,113,2023-05-09
301086,鸿富瀚,苹果概念,113,2023-05-09
688157,松井股份,苹果概念,113,2023-05-09
2981,朝阳科技,苹果概念,113,2023-05-09
2389,航天彩虹,苹果概念,113,2023-05-09
300976,达瑞电子,苹果概念,113,2023-05-09
2182,云海金属,苹果概念,113,2023-05-09
2384,东山精密,苹果概念,113,2023-05-09
300787,海能实业,苹果概念,113,2023-05-09
300227,光韵达,苹果概念,113,2023-05-09
2416,爱施德,苹果概念,113,2023-05-09
795,英洛华,苹果概念,113,2023-05-09
600584,长电科技,苹果概念,113,2023-05-09
300980,祥源新材,苹果概念,113,2023-05-09
601231,环旭电子,苹果概念,113,2023-05-09
2008,大族激光,苹果概念,113,2023-05-09
2993,奥海科技,苹果概念,113,2023-05-09
