stockCode,stockName,sector,sectorCount,date
300528,幸福蓝海,预亏预减,1181,2023-05-09
688038,中科通达,预亏预减,1181,2023-05-09
300141,和顺电气,预亏预减,1181,2023-05-09
688039,当虹科技,预亏预减,1181,2023-05-09
300520,科大国创,预亏预减,1181,2023-05-09
300521,爱司凯,预亏预减,1181,2023-05-09
300522,世名科技,预亏预减,1181,2023-05-09
605066,天正电气,预亏预减,1181,2023-05-09
605069,正和生态,预亏预减,1181,2023-05-09
300912,凯龙高科,预亏预减,1181,2023-05-09
300149,睿智医药,预亏预减,1181,2023-05-09
688030,山石网科,预亏预减,1181,2023-05-09
300144,宋城演艺,预亏预减,1181,2023-05-09
688027,国盾量子,预亏预减,1181,2023-05-09
688026,洁特生物,预亏预减,1181,2023-05-09
605055,迎丰股份,预亏预减,1181,2023-05-09
300790,宇瞳光学,预亏预减,1181,2023-05-09
300798,锦鸡股份,预亏预减,1181,2023-05-09
300922,天秦装备,预亏预减,1181,2023-05-09
300139,晓程科技,预亏预减,1181,2023-05-09
300920,润阳科技,预亏预减,1181,2023-05-09
300137,先河环保,预亏预减,1181,2023-05-09
300135,宝利国际,预亏预减,1181,2023-05-09
688023,安恒信息,预亏预减,1181,2023-05-09
688020,方邦股份,预亏预减,1181,2023-05-09
688021,奥福环保,预亏预减,1181,2023-05-09
300799,*ST左江,预亏预减,1181,2023-05-09
688018,乐鑫科技,预亏预减,1181,2023-05-09
603085,天成自控,预亏预减,1181,2023-05-09
603087,甘李药业,预亏预减,1181,2023-05-09
603997,继峰股份,预亏预减,1181,2023-05-09
605081,太和水,预亏预减,1181,2023-05-09
301248,杰创智能,预亏预减,1181,2023-05-09
688728,格科微,预亏预减,1181,2023-05-09
300931,通用电梯,预亏预减,1181,2023-05-09
300935,盈建科,预亏预减,1181,2023-05-09
603798,康普顿,预亏预减,1181,2023-05-09
688011,新光光电,预亏预减,1181,2023-05-09
300126,锐奇股份,预亏预减,1181,2023-05-09
603076,乐惠国际,预亏预减,1181,2023-05-09
300397,天和防务,预亏预减,1181,2023-05-09
688286,敏芯股份,预亏预减,1181,2023-05-09
688007,光峰科技,预亏预减,1181,2023-05-09
300535,达威股份,预亏预减,1181,2023-05-09
688004,博汇科技,预亏预减,1181,2023-05-09
603079,圣达生物,预亏预减,1181,2023-05-09
300530,达志科技,预亏预减,1181,2023-05-09
688737,中自科技,预亏预减,1181,2023-05-09
300942,易瑞生物,预亏预减,1181,2023-05-09
300949,奥雅股份,预亏预减,1181,2023-05-09
300947,德必集团,预亏预减,1181,2023-05-09
603398,沐邦高科,预亏预减,1181,2023-05-09
300111,向日葵,预亏预减,1181,2023-05-09
300940,南极光,预亏预减,1181,2023-05-09
688288,鸿泉物联,预亏预减,1181,2023-05-09
300392,*ST腾信,预亏预减,1181,2023-05-09
603390,通达电气,预亏预减,1181,2023-05-09
300113,顺网科技,预亏预减,1181,2023-05-09
300391,长药控股,预亏预减,1181,2023-05-09
301021,英诺激光,预亏预减,1181,2023-05-09
600637,东方明珠,预亏预减,1181,2023-05-09
300566,激智科技,预亏预减,1181,2023-05-09
300560,中富通,预亏预减,1181,2023-05-09
300562,乐心医疗,预亏预减,1181,2023-05-09
301221,光庭信息,预亏预减,1181,2023-05-09
688079,美迪凯,预亏预减,1181,2023-05-09
603773,沃格光电,预亏预减,1181,2023-05-09
600630,龙头股份,预亏预减,1181,2023-05-09
688272,*ST富吉,预亏预减,1181,2023-05-09
300385,雪浪环境,预亏预减,1181,2023-05-09
301228,实朴检测,预亏预减,1181,2023-05-09
688701,卓锦股份,预亏预减,1181,2023-05-09
300180,华峰超纤,预亏预减,1181,2023-05-09
300386,飞天诚信,预亏预减,1181,2023-05-09
300380,安硕信息,预亏预减,1181,2023-05-09
688277,天智航,预亏预减,1181,2023-05-09
300383,光环新网,预亏预减,1181,2023-05-09
603776,永安行,预亏预减,1181,2023-05-09
300766,每日互动,预亏预减,1181,2023-05-09
300187,永清环保,预亏预减,1181,2023-05-09
300188,美亚柏科,预亏预减,1181,2023-05-09
300768,迪普科技,预亏预减,1181,2023-05-09
300762,上海瀚讯,预亏预减,1181,2023-05-09
301027,华蓝集团,预亏预减,1181,2023-05-09
603388,元成股份,预亏预减,1181,2023-05-09
301024,霍普股份,预亏预减,1181,2023-05-09
300956,英力股份,预亏预减,1181,2023-05-09
600628,新世界,预亏预减,1181,2023-05-09
301032,新柴股份,预亏预减,1181,2023-05-09
300552,万集科技,预亏预减,1181,2023-05-09
300551,古鳌科技,预亏预减,1181,2023-05-09
300550,和仁科技,预亏预减,1181,2023-05-09
688260,昀冢科技,预亏预减,1181,2023-05-09
300379,东方通,预亏预减,1181,2023-05-09
688069,德林海,预亏预减,1181,2023-05-09
600623,华谊集团,预亏预减,1181,2023-05-09
301239,普瑞眼科,预亏预减,1181,2023-05-09
688265,南模生物,预亏预减,1181,2023-05-09
600622,光大嘉宝,预亏预减,1181,2023-05-09
688262,国芯科技,预亏预减,1181,2023-05-09
300558,贝达药业,预亏预减,1181,2023-05-09
688062,迈威生物,预亏预减,1181,2023-05-09
1317,三羊马,预亏预减,1181,2023-05-09
688060,云涌科技,预亏预减,1181,2023-05-09
300177,中海达,预亏预减,1181,2023-05-09
300758,七彩化学,预亏预减,1181,2023-05-09
1313,粤海饲料,预亏预减,1181,2023-05-09
300756,金马游乐,预亏预减,1181,2023-05-09
300753,爱朋医疗,预亏预减,1181,2023-05-09
301038,深水规院,预亏预减,1181,2023-05-09
603377,东方时尚,预亏预减,1181,2023-05-09
301037,保立佳,预亏预减,1181,2023-05-09
300752,隆利科技,预亏预减,1181,2023-05-09
300967,晓鸣股份,预亏预减,1181,2023-05-09
301036,双乐股份,预亏预减,1181,2023-05-09
600619,海立股份,预亏预减,1181,2023-05-09
600615,丰华股份,预亏预减,1181,2023-05-09
688252,天德钰,预亏预减,1181,2023-05-09
300365,恒华科技,预亏预减,1181,2023-05-09
301206,三元生物,预亏预减,1181,2023-05-09
600611,大众交通,预亏预减,1181,2023-05-09
300364,中文在线,预亏预减,1181,2023-05-09
688058,宝兰德,预亏预减,1181,2023-05-09
300366,创意信息,预亏预减,1181,2023-05-09
300369,绿盟科技,预亏预减,1181,2023-05-09
300368,汇金股份,预亏预减,1181,2023-05-09
300166,东方国信,预亏预减,1181,2023-05-09
301009,可靠股份,预亏预减,1181,2023-05-09
688055,龙腾光电,预亏预减,1181,2023-05-09
300167,ST迪威迅,预亏预减,1181,2023-05-09
688256,寒武纪,预亏预减,1181,2023-05-09
300168,万达信息,预亏预减,1181,2023-05-09
688051,佳华科技,预亏预减,1181,2023-05-09
605228,神通科技,预亏预减,1181,2023-05-09
600881,亚泰集团,预亏预减,1181,2023-05-09
601,韶能股份,预亏预减,1181,2023-05-09
300782,卓胜微,预亏预减,1181,2023-05-09
300977,深圳瑞捷,预亏预减,1181,2023-05-09
301001,凯淳股份,预亏预减,1181,2023-05-09
300783,三只松鼠,预亏预减,1181,2023-05-09
300785,值得买,预亏预减,1181,2023-05-09
300786,国林科技,预亏预减,1181,2023-05-09
603359,东珠生态,预亏预减,1181,2023-05-09
600898,ST美讯,预亏预减,1181,2023-05-09
608,阳光股份,预亏预减,1181,2023-05-09
600897,厦门空港,预亏预减,1181,2023-05-09
300572,安车检测,预亏预减,1181,2023-05-09
300359,全通教育,预亏预减,1181,2023-05-09
301213,观想科技,预亏预减,1181,2023-05-09
300577,开润股份,预亏预减,1181,2023-05-09
600606,绿地控股,预亏预减,1181,2023-05-09
301218,华是科技,预亏预减,1181,2023-05-09
301219,腾远钴业,预亏预减,1181,2023-05-09
300150,世纪瑞尔,预亏预减,1181,2023-05-09
688047,龙芯中科,预亏预减,1181,2023-05-09
688045,必易微,预亏预减,1181,2023-05-09
300155,安居宝,预亏预减,1181,2023-05-09
300779,惠城环保,预亏预减,1181,2023-05-09
300981,中红医疗,预亏预减,1181,2023-05-09
300350,华鹏飞,预亏预减,1181,2023-05-09
300985,致远新能,预亏预减,1181,2023-05-09
300158,振东制药,预亏预减,1181,2023-05-09
300983,尤安设计,预亏预减,1181,2023-05-09
1330,博纳影业,预亏预减,1181,2023-05-09
