stockCode,stockName,sector,sectorCount,date
603345,安井食品,预制菜概念,44,2023-05-09
600965,福成股份,预制菜概念,44,2023-05-09
2086,*ST东洋,预制菜概念,44,2023-05-09
2187,广百股份,预制菜概念,44,2023-05-09
2321,ST华英,预制菜概念,44,2023-05-09
2726,龙大美食,预制菜概念,44,2023-05-09
300999,金龙鱼,预制菜概念,44,2023-05-09
2186,全聚德,预制菜概念,44,2023-05-09
300094,国联水产,预制菜概念,44,2023-05-09
605089,味知香,预制菜概念,44,2023-05-09
2481,双塔食品,预制菜概念,44,2023-05-09
2124,天邦食品,预制菜概念,44,2023-05-09
2701,奥瑞金,预制菜概念,44,2023-05-09
2702,海欣食品,预制菜概念,44,2023-05-09
895,双汇发展,预制菜概念,44,2023-05-09
721,西安饮食,预制菜概念,44,2023-05-09
601366,利群股份,预制菜概念,44,2023-05-09
876,新希望,预制菜概念,44,2023-05-09
2696,百洋股份,预制菜概念,44,2023-05-09
2982,湘佳股份,预制菜概念,44,2023-05-09
524,岭南控股,预制菜概念,44,2023-05-09
428,华天酒店,预制菜概念,44,2023-05-09
605108,同庆楼,预制菜概念,44,2023-05-09
603237,五芳斋,预制菜概念,44,2023-05-09
603057,紫燕食品,预制菜概念,44,2023-05-09
600073,上海梅林,预制菜概念,44,2023-05-09
2330,得利斯,预制菜概念,44,2023-05-09
529,广弘控股,预制菜概念,44,2023-05-09
2251,步步高,预制菜概念,44,2023-05-09
603536,惠发食品,预制菜概念,44,2023-05-09
600467,好当家,预制菜概念,44,2023-05-09
900,现代投资,预制菜概念,44,2023-05-09
19,深粮控股,预制菜概念,44,2023-05-09
605567,春雪食品,预制菜概念,44,2023-05-09
2299,圣农发展,预制菜概念,44,2023-05-09
601933,永辉超市,预制菜概念,44,2023-05-09
836826,盖世食品,预制菜概念,44,2023-05-09
1313,粤海饲料,预制菜概念,44,2023-05-09
600257,大湖股份,预制菜概念,44,2023-05-09
601007,金陵饭店,预制菜概念,44,2023-05-09
301116,益客食品,预制菜概念,44,2023-05-09
1215,千味央厨,预制菜概念,44,2023-05-09
603043,广州酒家,预制菜概念,44,2023-05-09
2567,唐人神,预制菜概念,44,2023-05-09
