stockCode,stockName,sector,sectorCount,date
300548,博创科技,CPO概念,25,2023-05-31
301205,联特科技,CPO概念,25,2023-05-31
2185,华天科技,CPO概念,25,2023-05-31
301165,锐捷网络,CPO概念,25,2023-05-31
600487,亨通光电,CPO概念,25,2023-05-31
2897,意华股份,CPO概念,25,2023-05-31
601869,长飞光纤,CPO概念,25,2023-05-31
603083,剑桥科技,CPO概念,25,2023-05-31
600105,永鼎股份,CPO概念,25,2023-05-31
2281,光迅科技,CPO概念,25,2023-05-31
300502,新易盛,CPO概念,25,2023-05-31
300620,光库科技,CPO概念,25,2023-05-31
603228,景旺电子,CPO概念,25,2023-05-31
688205,德科立,CPO概念,25,2023-05-31
600498,烽火通信,CPO概念,25,2023-05-31
300814,中富电路,CPO概念,25,2023-05-31
300447,全信股份,CPO概念,25,2023-05-31
300308,中际旭创,CPO概念,25,2023-05-31
988,华工科技,CPO概念,25,2023-05-31
300394,天孚通信,CPO概念,25,2023-05-31
300303,聚飞光电,CPO概念,25,2023-05-31
300570,太辰光,CPO概念,25,2023-05-31
938,紫光股份,CPO概念,25,2023-05-31
600522,中天科技,CPO概念,25,2023-05-31
936,华西股份,CPO概念,25,2023-05-31
