stockCode,stockName,sector,sectorCount,date
300528,幸福蓝海,QFII重仓,311,2023-05-31
603215,比依股份,QFII重仓,311,2023-05-31
301368,丰立智能,QFII重仓,311,2023-05-31
688176,亚虹医药,QFII重仓,311,2023-05-31
300908,仲景食品,QFII重仓,311,2023-05-31
1269,欧晶科技,QFII重仓,311,2023-05-31
300241,瑞丰光电,QFII重仓,311,2023-05-31
300913,兆龙互连,QFII重仓,311,2023-05-31
688348,昱能科技,QFII重仓,311,2023-05-31
300244,迪安诊断,QFII重仓,311,2023-05-31
300910,瑞丰新材,QFII重仓,311,2023-05-31
2718,友邦吊顶,QFII重仓,311,2023-05-31
300148,天舟文化,QFII重仓,311,2023-05-31
603212,赛伍技术,QFII重仓,311,2023-05-31
300144,宋城演艺,QFII重仓,311,2023-05-31
688655,迅捷兴,QFII重仓,311,2023-05-31
2335,科华数据,QFII重仓,311,2023-05-31
688029,南微医学,QFII重仓,311,2023-05-31
603090,宏盛股份,QFII重仓,311,2023-05-31
600298,安琪酵母,QFII重仓,311,2023-05-31
2474,榕基软件,QFII重仓,311,2023-05-31
2472,双环传动,QFII重仓,311,2023-05-31
301277,新天地,QFII重仓,311,2023-05-31
300232,洲明科技,QFII重仓,311,2023-05-31
300926,博俊科技,QFII重仓,311,2023-05-31
2835,同为股份,QFII重仓,311,2023-05-31
300901,中胤时尚,QFII重仓,311,2023-05-31
2830,名雕股份,QFII重仓,311,2023-05-31
2930,宏川智慧,QFII重仓,311,2023-05-31
2931,锋龙股份,QFII重仓,311,2023-05-31
688459,哈铁科技,QFII重仓,311,2023-05-31
688529,豪森股份,QFII重仓,311,2023-05-31
688722,同益中,QFII重仓,311,2023-05-31
688295,中复神鹰,QFII重仓,311,2023-05-31
603995,甬金股份,QFII重仓,311,2023-05-31
603086,先达股份,QFII重仓,311,2023-05-31
300642,透景生命,QFII重仓,311,2023-05-31
603998,方盛制药,QFII重仓,311,2023-05-31
2345,潮宏基,QFII重仓,311,2023-05-31
688297,中无人机,QFII重仓,311,2023-05-31
605081,太和水,QFII重仓,311,2023-05-31
2050,三花智控,QFII重仓,311,2023-05-31
300640,德艺文创,QFII重仓,311,2023-05-31
688525,佰维存储,QFII重仓,311,2023-05-31
300645,正元智慧,QFII重仓,311,2023-05-31
2444,巨星科技,QFII重仓,311,2023-05-31
605088,冠盛股份,QFII重仓,311,2023-05-31
603798,康普顿,QFII重仓,311,2023-05-31
688011,新光光电,QFII重仓,311,2023-05-31
301396,宏景科技,QFII重仓,311,2023-05-31
688676,金盘科技,QFII重仓,311,2023-05-31
688183,生益电子,QFII重仓,311,2023-05-31
2808,ST恒久,QFII重仓,311,2023-05-31
2752,昇兴股份,QFII重仓,311,2023-05-31
688182,灿勤科技,QFII重仓,311,2023-05-31
688188,柏楚电子,QFII重仓,311,2023-05-31
300533,冰川网络,QFII重仓,311,2023-05-31
688330,宏力达,QFII重仓,311,2023-05-31
300532,今天国际,QFII重仓,311,2023-05-31
300119,瑞普生物,QFII重仓,311,2023-05-31
300942,易瑞生物,QFII重仓,311,2023-05-31
688336,三生国健,QFII重仓,311,2023-05-31
688338,赛科希德,QFII重仓,311,2023-05-31
300111,向日葵,QFII重仓,311,2023-05-31
603701,德宏股份,QFII重仓,311,2023-05-31
300940,南极光,QFII重仓,311,2023-05-31
300487,蓝晓科技,QFII重仓,311,2023-05-31
300563,神宇股份,QFII重仓,311,2023-05-31
600769,祥龙电业,QFII重仓,311,2023-05-31
300562,乐心医疗,QFII重仓,311,2023-05-31
688687,凯因科技,QFII重仓,311,2023-05-31
300389,艾比森,QFII重仓,311,2023-05-31
301321,翰博高新,QFII重仓,311,2023-05-31
688686,奥普特,QFII重仓,311,2023-05-31
688689,银河微电,QFII重仓,311,2023-05-31
601229,上海银行,QFII重仓,311,2023-05-31
688276,百克生物,QFII重仓,311,2023-05-31
600761,安徽合力,QFII重仓,311,2023-05-31
333,美的集团,QFII重仓,311,2023-05-31
300076,GQY视讯,QFII重仓,311,2023-05-31
300381,溢多利,QFII重仓,311,2023-05-31
603619,中曼石油,QFII重仓,311,2023-05-31
89,深圳机场,QFII重仓,311,2023-05-31
2965,祥鑫科技,QFII重仓,311,2023-05-31
300952,恒辉安防,QFII重仓,311,2023-05-31
601222,林洋能源,QFII重仓,311,2023-05-31
600389,江山股份,QFII重仓,311,2023-05-31
688139,海尔生物,QFII重仓,311,2023-05-31
300285,国瓷材料,QFII重仓,311,2023-05-31
688303,大全能源,QFII重仓,311,2023-05-31
605300,佳禾食品,QFII重仓,311,2023-05-31
603611,诺力股份,QFII重仓,311,2023-05-31
600246,万通发展,QFII重仓,311,2023-05-31
1323,慕思股份,QFII重仓,311,2023-05-31
688301,奕瑞科技,QFII重仓,311,2023-05-31
300556,丝路视觉,QFII重仓,311,2023-05-31
300479,神思电子,QFII重仓,311,2023-05-31
301231,荣信文化,QFII重仓,311,2023-05-31
688261,东微半导,QFII重仓,311,2023-05-31
601899,紫金矿业,QFII重仓,311,2023-05-31
2439,启明星辰,QFII重仓,311,2023-05-31
301333,诺思格,QFII重仓,311,2023-05-31
300375,鹏翎股份,QFII重仓,311,2023-05-31
688268,华特气体,QFII重仓,311,2023-05-31
2873,新天药业,QFII重仓,311,2023-05-31
2027,分众传媒,QFII重仓,311,2023-05-31
300893,松原股份,QFII重仓,311,2023-05-31
300963,中洲特材,QFII重仓,311,2023-05-31
887,中鼎股份,QFII重仓,311,2023-05-31
1212,中旗新材,QFII重仓,311,2023-05-31
688066,航天宏图,QFII重仓,311,2023-05-31
2020,京新药业,QFII重仓,311,2023-05-31
300277,海联讯,QFII重仓,311,2023-05-31
300275,梅安森,QFII重仓,311,2023-05-31
300470,中密控股,QFII重仓,311,2023-05-31
688311,盟升电子,QFII重仓,311,2023-05-31
688312,燕麦科技,QFII重仓,311,2023-05-31
300585,奥联电子,QFII重仓,311,2023-05-31
300689,澄天伟业,QFII重仓,311,2023-05-31
301205,联特科技,QFII重仓,311,2023-05-31
688568,中科星图,QFII重仓,311,2023-05-31
688252,天德钰,QFII重仓,311,2023-05-31
300685,艾德生物,QFII重仓,311,2023-05-31
600612,老凤祥,QFII重仓,311,2023-05-31
300097,智云股份,QFII重仓,311,2023-05-31
2706,良信股份,QFII重仓,311,2023-05-31
300684,中石科技,QFII重仓,311,2023-05-31
2702,海欣食品,QFII重仓,311,2023-05-31
300162,雷曼光电,QFII重仓,311,2023-05-31
603733,仙鹤股份,QFII重仓,311,2023-05-31
2989,中天精装,QFII重仓,311,2023-05-31
300884,狄耐克,QFII重仓,311,2023-05-31
603738,泰晶科技,QFII重仓,311,2023-05-31
2985,北摩高科,QFII重仓,311,2023-05-31
2014,永新股份,QFII重仓,311,2023-05-31
300882,万胜智能,QFII重仓,311,2023-05-31
1207,联科科技,QFII重仓,311,2023-05-31
300780,德恩精工,QFII重仓,311,2023-05-31
300976,达瑞电子,QFII重仓,311,2023-05-31
601100,恒立液压,QFII重仓,311,2023-05-31
688577,浙海德曼,QFII重仓,311,2023-05-31
605318,法狮龙,QFII重仓,311,2023-05-31
300290,荣科科技,QFII重仓,311,2023-05-31
2315,焦点科技,QFII重仓,311,2023-05-31
2410,广联达,QFII重仓,311,2023-05-31
2311,海大集团,QFII重仓,311,2023-05-31
688048,长光华芯,QFII重仓,311,2023-05-31
300151,昌红科技,QFII重仓,311,2023-05-31
300150,世纪瑞尔,QFII重仓,311,2023-05-31
300779,惠城环保,QFII重仓,311,2023-05-31
300873,海晨股份,QFII重仓,311,2023-05-31
2998,优彩资源,QFII重仓,311,2023-05-31
300985,致远新能,QFII重仓,311,2023-05-31
2996,顺博合金,QFII重仓,311,2023-05-31
2856,美芝股份,QFII重仓,311,2023-05-31
300771,智莱科技,QFII重仓,311,2023-05-31
605118,力鼎光电,QFII重仓,311,2023-05-31
861,海印股份,QFII重仓,311,2023-05-31
2992,宝明科技,QFII重仓,311,2023-05-31
300491,通合科技,QFII重仓,311,2023-05-31
603356,华菱精工,QFII重仓,311,2023-05-31
600901,江苏金租,QFII重仓,311,2023-05-31
1332,锡装股份,QFII重仓,311,2023-05-31
301017,漱玉平民,QFII重仓,311,2023-05-31
600928,西安银行,QFII重仓,311,2023-05-31
2893,京能热力,QFII重仓,311,2023-05-31
2690,美亚光电,QFII重仓,311,2023-05-31
300999,金龙鱼,QFII重仓,311,2023-05-31
600138,中青旅,QFII重仓,311,2023-05-31
688234,天岳先进,QFII重仓,311,2023-05-31
300864,南大环境,QFII重仓,311,2023-05-31
688237,超卓航科,QFII重仓,311,2023-05-31
300036,超图软件,QFII重仓,311,2023-05-31
848,承德露露,QFII重仓,311,2023-05-31
300594,朗进科技,QFII重仓,311,2023-05-31
600537,亿晶光电,QFII重仓,311,2023-05-31
2697,红旗连锁,QFII重仓,311,2023-05-31
600867,通化东宝,QFII重仓,311,2023-05-31
2693,双成药业,QFII重仓,311,2023-05-31
2139,拓邦股份,QFII重仓,311,2023-05-31
300856,科思股份,QFII重仓,311,2023-05-31
300859,*ST西域,QFII重仓,311,2023-05-31
59,华锦股份,QFII重仓,311,2023-05-31
1301,尚太科技,QFII重仓,311,2023-05-31
603855,华荣股份,QFII重仓,311,2023-05-31
300043,星辉娱乐,QFII重仓,311,2023-05-31
300717,华信新材,QFII重仓,311,2023-05-31
300851,交大思诺,QFII重仓,311,2023-05-31
300047,天源迪科,QFII重仓,311,2023-05-31
2786,银宝山新,QFII重仓,311,2023-05-31
300711,广哈通信,QFII重仓,311,2023-05-31
2137,实益达,QFII重仓,311,2023-05-31
300853,申昊科技,QFII重仓,311,2023-05-31
603022,新通联,QFII重仓,311,2023-05-31
600732,爱旭股份,QFII重仓,311,2023-05-31
2508,老板电器,QFII重仓,311,2023-05-31
300347,泰格医药,QFII重仓,311,2023-05-31
300041,回天新材,QFII重仓,311,2023-05-31
300445,康斯特,QFII重仓,311,2023-05-31
2270,华明装备,QFII重仓,311,2023-05-31
301075,多瑞医药,QFII重仓,311,2023-05-31
2271,东方雨虹,QFII重仓,311,2023-05-31
688114,华大智造,QFII重仓,311,2023-05-31
603985,恒润股份,QFII重仓,311,2023-05-31
300847,中船汉光,QFII重仓,311,2023-05-31
2247,聚力文化,QFII重仓,311,2023-05-31
603177,德创环保,QFII重仓,311,2023-05-31
2148,北纬科技,QFII重仓,311,2023-05-31
2774,快意电梯,QFII重仓,311,2023-05-31
2144,宏达高科,QFII重仓,311,2023-05-31
2142,宁波银行,QFII重仓,311,2023-05-31
603171,税友股份,QFII重仓,311,2023-05-31
3004,声迅股份,QFII重仓,311,2023-05-31
605255,天普股份,QFII重仓,311,2023-05-31
300050,世纪鼎利,QFII重仓,311,2023-05-31
3002,壶化股份,QFII重仓,311,2023-05-31
2572,索菲亚,QFII重仓,311,2023-05-31
605158,华达新材,QFII重仓,311,2023-05-31
605155,西大门,QFII重仓,311,2023-05-31
301041,金百泽,QFII重仓,311,2023-05-31
603520,司太立,QFII重仓,311,2023-05-31
3007,直真科技,QFII重仓,311,2023-05-31
603983,丸美股份,QFII重仓,311,2023-05-31
600151,航天机电,QFII重仓,311,2023-05-31
300836,佰奥智能,QFII重仓,311,2023-05-31
2253,川大智胜,QFII重仓,311,2023-05-31
300838,浙江力诺,QFII重仓,311,2023-05-31
688108,赛诺医疗,QFII重仓,311,2023-05-31
603658,安图生物,QFII重仓,311,2023-05-31
2763,汇洁股份,QFII重仓,311,2023-05-31
300066,三川智慧,QFII重仓,311,2023-05-31
605566,福莱蒽特,QFII重仓,311,2023-05-31
651,格力电器,QFII重仓,311,2023-05-31
300061,旗天科技,QFII重仓,311,2023-05-31
301195,北路智控,QFII重仓,311,2023-05-31
600645,中源协和,QFII重仓,311,2023-05-31
601328,交通银行,QFII重仓,311,2023-05-31
2560,通达股份,QFII重仓,311,2023-05-31
300463,迈克生物,QFII重仓,311,2023-05-31
601007,金陵饭店,QFII重仓,311,2023-05-31
600853,龙建股份,QFII重仓,311,2023-05-31
301308,江波龙,QFII重仓,311,2023-05-31
601009,南京银行,QFII重仓,311,2023-05-31
300462,华铭智能,QFII重仓,311,2023-05-31
603318,水发燃气,QFII重仓,311,2023-05-31
300467,迅游科技,QFII重仓,311,2023-05-31
603826,坤彩科技,QFII重仓,311,2023-05-31
600572,康恩贝,QFII重仓,311,2023-05-31
601012,隆基绿能,QFII重仓,311,2023-05-31
688083,中望软件,QFII重仓,311,2023-05-31
2557,洽洽食品,QFII重仓,311,2023-05-31
688084,晶品特装,QFII重仓,311,2023-05-31
688515,裕太微,QFII重仓,311,2023-05-31
688089,嘉必优,QFII重仓,311,2023-05-31
2362,汉王科技,QFII重仓,311,2023-05-31
3027,同兴环保,QFII重仓,311,2023-05-31
688081,兴图新科,QFII重仓,311,2023-05-31
688498,源杰科技,QFII重仓,311,2023-05-31
605580,恒盛能源,QFII重仓,311,2023-05-31
2642,荣联科技,QFII重仓,311,2023-05-31
300808,久量股份,QFII重仓,311,2023-05-31
605186,健麾信息,QFII重仓,311,2023-05-31
153,丰原药业,QFII重仓,311,2023-05-31
2548,金新农,QFII重仓,311,2023-05-31
688500,*ST慧辰,QFII重仓,311,2023-05-31
605189,富春染织,QFII重仓,311,2023-05-31
300615,欣天科技,QFII重仓,311,2023-05-31
688502,茂莱光学,QFII重仓,311,2023-05-31
688392,骄成超声,QFII重仓,311,2023-05-31
688607,康众医疗,QFII重仓,311,2023-05-31
688789,宏华数科,QFII重仓,311,2023-05-31
688505,复旦张江,QFII重仓,311,2023-05-31
2372,伟星新材,QFII重仓,311,2023-05-31
600066,宇通客车,QFII重仓,311,2023-05-31
3010,若羽臣,QFII重仓,311,2023-05-31
2648,卫星化学,QFII重仓,311,2023-05-31
538,云南白药,QFII重仓,311,2023-05-31
300702,天宇股份,QFII重仓,311,2023-05-31
603801,志邦家居,QFII重仓,311,2023-05-31
300015,爱尔眼科,QFII重仓,311,2023-05-31
300012,华测检测,QFII重仓,311,2023-05-31
786,北新建材,QFII重仓,311,2023-05-31
2286,保龄宝,QFII重仓,311,2023-05-31
688639,华恒生物,QFII重仓,311,2023-05-31
300412,迦南科技,QFII重仓,311,2023-05-31
301087,可孚医疗,QFII重仓,311,2023-05-31
605299,舒华体育,QFII重仓,311,2023-05-31
506,中润资源,QFII重仓,311,2023-05-31
601595,上海电影,QFII重仓,311,2023-05-31
300417,南华仪器,QFII重仓,311,2023-05-31
300416,苏试试验,QFII重仓,311,2023-05-31
688777,中控技术,QFII重仓,311,2023-05-31
603237,五芳斋,QFII重仓,311,2023-05-31
300025,华星创业,QFII重仓,311,2023-05-31
601566,九牧王,QFII重仓,311,2023-05-31
1914,招商积余,QFII重仓,311,2023-05-31
300221,银禧科技,QFII重仓,311,2023-05-31
688379,华光新材,QFII重仓,311,2023-05-31
2660,茂硕电源,QFII重仓,311,2023-05-31
2496,辉丰股份,QFII重仓,311,2023-05-31
600183,生益科技,QFII重仓,311,2023-05-31
2294,信立泰,QFII重仓,311,2023-05-31
301095,广立微,QFII重仓,311,2023-05-31
3036,泰坦股份,QFII重仓,311,2023-05-31
516,国际医学,QFII重仓,311,2023-05-31
600817,宇通重工,QFII重仓,311,2023-05-31
688767,博拓生物,QFII重仓,311,2023-05-31
688625,呈和科技,QFII重仓,311,2023-05-31
603042,华脉科技,QFII重仓,311,2023-05-31
3032,传智教育,QFII重仓,311,2023-05-31
3033,征和工业,QFII重仓,311,2023-05-31
