stockCode,stockName,sector,sectorCount,date
2074,国轩高科,充电桩,183,2023-05-31
300141,和顺电气,充电桩,183,2023-05-31
2121,科陆电子,充电桩,183,2023-05-31
601727,上海电气,充电桩,183,2023-05-31
421,南京公用,充电桩,183,2023-05-31
600869,远东股份,充电桩,183,2023-05-31
300916,朗特智能,充电桩,183,2023-05-31
2514,宝馨科技,充电桩,183,2023-05-31
2594,比亚迪,充电桩,183,2023-05-31
603012,创力集团,充电桩,183,2023-05-31
2518,科士达,充电桩,183,2023-05-31
300438,鹏辉能源,充电桩,183,2023-05-31
603015,弘讯科技,充电桩,183,2023-05-31
2519,银河电子,充电桩,183,2023-05-31
600330,天通股份,充电桩,183,2023-05-31
2063,远光软件,充电桩,183,2023-05-31
2885,京泉华,充电桩,183,2023-05-31
2882,金龙羽,充电桩,183,2023-05-31
2927,泰永长征,充电桩,183,2023-05-31
2334,英威腾,充电桩,183,2023-05-31
2276,万马股份,充电桩,183,2023-05-31
603097,江苏华辰,充电桩,183,2023-05-31
300514,友讯达,充电桩,183,2023-05-31
2339,积成电子,充电桩,183,2023-05-31
2130,沃尔核材,充电桩,183,2023-05-31
2782,可立克,充电桩,183,2023-05-31
300510,金冠股份,充电桩,183,2023-05-31
600297,广汇汽车,充电桩,183,2023-05-31
300712,永福股份,充电桩,183,2023-05-31
603859,能科科技,充电桩,183,2023-05-31
2471,中超控股,充电桩,183,2023-05-31
300713,英可瑞,充电桩,183,2023-05-31
2837,英维克,充电桩,183,2023-05-31
600733,北汽蓝谷,充电桩,183,2023-05-31
1258,立新能源,充电桩,183,2023-05-31
300040,九洲集团,充电桩,183,2023-05-31
2729,好利科技,充电桩,183,2023-05-31
300444,双杰电气,充电桩,183,2023-05-31
600522,中天科技,充电桩,183,2023-05-31
572,海马汽车,充电桩,183,2023-05-31
2682,龙洲股份,充电桩,183,2023-05-31
27,深圳能源,充电桩,183,2023-05-31
300644,南京聚隆,充电桩,183,2023-05-31
2346,柘中股份,充电桩,183,2023-05-31
603322,超讯通信,充电桩,183,2023-05-31
603989,艾华集团,充电桩,183,2023-05-31
600098,广州发展,充电桩,183,2023-05-31
300843,胜蓝股份,充电桩,183,2023-05-31
2249,大洋电机,充电桩,183,2023-05-31
601512,中新集团,充电桩,183,2023-05-31
2441,众业达,充电桩,183,2023-05-31
603843,正平股份,充电桩,183,2023-05-31
603666,亿嘉和,充电桩,183,2023-05-31
300648,星云股份,充电桩,183,2023-05-31
301182,凯旺科技,充电桩,183,2023-05-31
828,东莞控股,充电桩,183,2023-05-31
300120,经纬辉开,充电桩,183,2023-05-31
688102,斯瑞新材,充电桩,183,2023-05-31
300836,佰奥智能,充电桩,183,2023-05-31
2357,富临运业,充电桩,183,2023-05-31
688208,道通科技,充电桩,183,2023-05-31
2255,海陆重工,充电桩,183,2023-05-31
2768,国恩股份,充电桩,183,2023-05-31
2350,北京科锐,充电桩,183,2023-05-31
600089,特变电工,充电桩,183,2023-05-31
2451,摩恩电气,充电桩,183,2023-05-31
603105,芯能科技,充电桩,183,2023-05-31
300530,领湃科技,充电桩,183,2023-05-31
2452,长高电新,充电桩,183,2023-05-31
300939,秋田微,充电桩,183,2023-05-31
300830,金现代,充电桩,183,2023-05-31
1896,豫能控股,充电桩,183,2023-05-31
2358,森源电气,充电桩,183,2023-05-31
300062,中能电气,充电桩,183,2023-05-31
2609,捷顺科技,充电桩,183,2023-05-31
605358,立昂微,充电桩,183,2023-05-31
603458,勘设股份,充电桩,183,2023-05-31
601677,明泰铝业,充电桩,183,2023-05-31
688100,威胜信息,充电桩,183,2023-05-31
603390,通达电气,充电桩,183,2023-05-31
2953,日丰股份,充电桩,183,2023-05-31
688800,瑞可达,充电桩,183,2023-05-31
2169,智光电气,充电桩,183,2023-05-31
300820,英杰电气,充电桩,183,2023-05-31
2168,惠程科技,充电桩,183,2023-05-31
9,中国宝安,充电桩,183,2023-05-31
600386,北巴传媒,充电桩,183,2023-05-31
600969,郴电国际,充电桩,183,2023-05-31
300825,阿尔特,充电桩,183,2023-05-31
909,ST数源,充电桩,183,2023-05-31
300623,捷捷微电,充电桩,183,2023-05-31
903,云内动力,充电桩,183,2023-05-31
2227,奥特迅,充电桩,183,2023-05-31
688616,西力科技,充电桩,183,2023-05-31
603050,科林电气,充电桩,183,2023-05-31
899,赣能股份,充电桩,183,2023-05-31
2364,中恒电气,充电桩,183,2023-05-31
300286,安科瑞,充电桩,183,2023-05-31
688517,金冠电气,充电桩,183,2023-05-31
301439,泓淋电力,充电桩,183,2023-05-31
603679,华体科技,充电桩,183,2023-05-31
300001,特锐德,充电桩,183,2023-05-31
688597,煜邦电力,充电桩,183,2023-05-31
300477,合纵科技,充电桩,183,2023-05-31
688261,东微半导,充电桩,183,2023-05-31
300811,铂科新材,充电桩,183,2023-05-31
300693,盛弘股份,充电桩,183,2023-05-31
300376,易事特,充电桩,183,2023-05-31
600979,广安爱众,充电桩,183,2023-05-31
300373,扬杰科技,充电桩,183,2023-05-31
2026,山东威达,充电桩,183,2023-05-31
2547,春兴精工,充电桩,183,2023-05-31
300807,天迈科技,充电桩,183,2023-05-31
300960,通业科技,充电桩,183,2023-05-31
887,中鼎股份,充电桩,183,2023-05-31
600834,申通地铁,充电桩,183,2023-05-31
300617,安靠智电,充电桩,183,2023-05-31
