stockCode,stockName,sector,sectorCount,date
600982,宁波能源,土壤修复,27,2023-05-31
300012,华测检测,土壤修复,27,2023-05-31
2322,理工能科,土壤修复,27,2023-05-31
300387,富邦股份,土壤修复,27,2023-05-31
301228,实朴检测,土壤修复,27,2023-05-31
605069,正和生态,土壤修复,27,2023-05-31
688701,卓锦股份,土壤修复,27,2023-05-31
300187,永清环保,土壤修复,27,2023-05-31
2967,广电计量,土壤修复,27,2023-05-31
600388,ST龙净,土壤修复,27,2023-05-31
300266,兴源环境,土壤修复,27,2023-05-31
300958,建工修复,土壤修复,27,2023-05-31
688480,赛恩斯,土壤修复,27,2023-05-31
2758,浙农股份,土壤修复,27,2023-05-31
603098,森特股份,土壤修复,27,2023-05-31
601200,上海环境,土壤修复,27,2023-05-31
300197,节能铁汉,土壤修复,27,2023-05-31
2717,岭南股份,土壤修复,27,2023-05-31
600008,首创环保,土壤修复,27,2023-05-31
300355,蒙草生态,土壤修复,27,2023-05-31
2887,绿茵生态,土壤修复,27,2023-05-31
2565,顺灏股份,土壤修复,27,2023-05-31
711,*ST京蓝,土壤修复,27,2023-05-31
300948,冠中生态,土壤修复,27,2023-05-31
2002,鸿达兴业,土壤修复,27,2023-05-31
300422,博世科,土壤修复,27,2023-05-31
600710,苏美达,土壤修复,27,2023-05-31
