stockCode,stockName,sector,sectorCount,date
2420,毅昌科技,壳资源,85,2023-05-31
2723,小崧股份,壳资源,85,2023-05-31
622,恒立实业,壳资源,85,2023-05-31
2469,三维化学,壳资源,85,2023-05-31
600769,祥龙电业,壳资源,85,2023-05-31
2122,天马股份,壳资源,85,2023-05-31
600766,*ST园城,壳资源,85,2023-05-31
300071,福石控股,壳资源,85,2023-05-31
600288,大恒科技,壳资源,85,2023-05-31
600107,美尔雅,壳资源,85,2023-05-31
600078,ST澄星,壳资源,85,2023-05-31
2692,ST远程,壳资源,85,2023-05-31
995,*ST皇台,壳资源,85,2023-05-31
2694,顾地科技,壳资源,85,2023-05-31
300555,ST路通,壳资源,85,2023-05-31
637,ST实华,壳资源,85,2023-05-31
2177,*ST御银,壳资源,85,2023-05-31
300478,杭州高新,壳资源,85,2023-05-31
632,三木集团,壳资源,85,2023-05-31
600321,正源股份,壳资源,85,2023-05-31
600778,友好集团,壳资源,85,2023-05-31
2476,宝莫股份,壳资源,85,2023-05-31
2580,圣阳股份,壳资源,85,2023-05-31
300713,英可瑞,壳资源,85,2023-05-31
600112,ST天成,壳资源,85,2023-05-31
982,中银绒业,壳资源,85,2023-05-31
603477,巨星农牧,壳资源,85,2023-05-31
600165,宁科生物,壳资源,85,2023-05-31
600493,凤竹纺织,壳资源,85,2023-05-31
2021,*ST中捷,壳资源,85,2023-05-31
533,顺钠股份,壳资源,85,2023-05-31
600836,上海易连,壳资源,85,2023-05-31
159,国际实业,壳资源,85,2023-05-31
601208,东材科技,壳资源,85,2023-05-31
573,粤宏远Ａ,壳资源,85,2023-05-31
300611,美力科技,壳资源,85,2023-05-31
601616,广电电气,壳资源,85,2023-05-31
600520,文一科技,壳资源,85,2023-05-31
600355,精伦电子,壳资源,85,2023-05-31
600265,ST景谷,壳资源,85,2023-05-31
600883,博闻科技,壳资源,85,2023-05-31
300588,熙菱信息,壳资源,85,2023-05-31
2052,ST同洲,壳资源,85,2023-05-31
2342,巨力索具,壳资源,85,2023-05-31
2300,太阳电缆,壳资源,85,2023-05-31
782,美达股份,壳资源,85,2023-05-31
600610,中毅达,壳资源,85,2023-05-31
600361,创新新材,壳资源,85,2023-05-31
2702,海欣食品,壳资源,85,2023-05-31
300268,*ST佳沃,壳资源,85,2023-05-31
702,正虹科技,壳资源,85,2023-05-31
2671,龙泉股份,壳资源,85,2023-05-31
300167,ST迪威迅,壳资源,85,2023-05-31
68,华控赛格,壳资源,85,2023-05-31
2535,ST林重,壳资源,85,2023-05-31
2486,嘉麟杰,壳资源,85,2023-05-31
2054,德美化工,壳资源,85,2023-05-31
2017,东信和平,壳资源,85,2023-05-31
2058,威尔泰,壳资源,85,2023-05-31
600353,旭光电子,壳资源,85,2023-05-31
2848,高斯贝尔,壳资源,85,2023-05-31
600405,动力源,壳资源,85,2023-05-31
2457,青龙管业,壳资源,85,2023-05-31
2769,普路通,壳资源,85,2023-05-31
691,亚太实业,壳资源,85,2023-05-31
2316,亚联发展,壳资源,85,2023-05-31
300539,横河精密,壳资源,85,2023-05-31
2199,东晶电子,壳资源,85,2023-05-31
509,华塑控股,壳资源,85,2023-05-31
300069,金利华电,壳资源,85,2023-05-31
300029,ST天龙,壳资源,85,2023-05-31
2760,凤形股份,壳资源,85,2023-05-31
2453,华软科技,壳资源,85,2023-05-31
2417,*ST深南,壳资源,85,2023-05-31
2529,海源复材,壳资源,85,2023-05-31
300062,中能电气,壳资源,85,2023-05-31
300153,科泰电源,壳资源,85,2023-05-31
300254,仟源医药,壳资源,85,2023-05-31
416,*ST民控,壳资源,85,2023-05-31
600857,宁波中百,壳资源,85,2023-05-31
2524,光正眼科,壳资源,85,2023-05-31
300461,田中精机,壳资源,85,2023-05-31
600854,春兰股份,壳资源,85,2023-05-31
600234,科新发展,壳资源,85,2023-05-31
2214,大立科技,壳资源,85,2023-05-31
