stockCode,stockName,sector,sectorCount,date
300567,精测电子,存储芯片,26,2023-05-31
603986,兆易创新,存储芯片,26,2023-05-31
2185,华天科技,存储芯片,26,2023-05-31
300184,力源信息,存储芯片,26,2023-05-31
21,深科技,存储芯片,26,2023-05-31
688525,佰维存储,存储芯片,26,2023-05-31
600171,上海贝岭,存储芯片,26,2023-05-31
2654,万润科技,存储芯片,26,2023-05-31
2559,亚威股份,存储芯片,26,2023-05-31
688110,东芯股份,存储芯片,26,2023-05-31
1309,德明利,存储芯片,26,2023-05-31
688008,澜起科技,存储芯片,26,2023-05-31
300857,协创数据,存储芯片,26,2023-05-31
2413,雷科防务,存储芯片,26,2023-05-31
301099,雅创电子,存储芯片,26,2023-05-31
300672,国科微,存储芯片,26,2023-05-31
300223,北京君正,存储芯片,26,2023-05-31
688262,国芯科技,存储芯片,26,2023-05-31
300903,科翔股份,存储芯片,26,2023-05-31
300042,朗科科技,存储芯片,26,2023-05-31
688416,恒烁股份,存储芯片,26,2023-05-31
301308,江波龙,存储芯片,26,2023-05-31
2049,紫光国微,存储芯片,26,2023-05-31
300302,同有科技,存储芯片,26,2023-05-31
688766,普冉股份,存储芯片,26,2023-05-31
688123,聚辰股份,存储芯片,26,2023-05-31
