stockCode,stockName,sector,sectorCount,date
300663,科蓝软件,数据中心,171,2023-05-31
603017,中衡设计,数据中心,171,2023-05-31
601728,中国电信,数据中心,171,2023-05-31
851,高鸿股份,数据中心,171,2023-05-31
300520,科大国创,数据中心,171,2023-05-31
300521,爱司凯,数据中心,171,2023-05-31
603019,中科曙光,数据中心,171,2023-05-31
2120,韵达股份,数据中心,171,2023-05-31
2467,二六三,数据中心,171,2023-05-31
600037,歌华有线,数据中心,171,2023-05-31
2123,梦网科技,数据中心,171,2023-05-31
300245,天玑科技,数据中心,171,2023-05-31
2822,中装建设,数据中心,171,2023-05-31
2518,科士达,数据中心,171,2023-05-31
601928,凤凰传媒,数据中心,171,2023-05-31
300249,依米康,数据中心,171,2023-05-31
300594,朗进科技,数据中心,171,2023-05-31
600131,国网信通,数据中心,171,2023-05-31
600728,佳都科技,数据中心,171,2023-05-31
600126,杭钢股份,数据中心,171,2023-05-31
2929,润建股份,数据中心,171,2023-05-31
2334,英威腾,数据中心,171,2023-05-31
2335,科华数据,数据中心,171,2023-05-31
301178,天亿马,数据中心,171,2023-05-31
300044,赛为智能,数据中心,171,2023-05-31
872808,曙光数创,数据中心,171,2023-05-31
300712,永福股份,数据中心,171,2023-05-31
2580,圣阳股份,数据中心,171,2023-05-31
779,甘咨询,数据中心,171,2023-05-31
2837,英维克,数据中心,171,2023-05-31
300231,银信科技,数据中心,171,2023-05-31
600496,精工钢构,数据中心,171,2023-05-31
300921,南凌科技,数据中心,171,2023-05-31
600522,中天科技,数据中心,171,2023-05-31
300442,润泽科技,数据中心,171,2023-05-31
688296,和达科技,数据中心,171,2023-05-31
2243,力合科创,数据中心,171,2023-05-31
601519,大智慧,数据中心,171,2023-05-31
300846,首都在线,数据中心,171,2023-05-31
977,浪潮信息,数据中心,171,2023-05-31
600158,中体产业,数据中心,171,2023-05-31
2602,世纪华通,数据中心,171,2023-05-31
300541,先进数通,数据中心,171,2023-05-31
688525,佰维存储,数据中心,171,2023-05-31
600941,中国移动,数据中心,171,2023-05-31
301248,杰创智能,数据中心,171,2023-05-31
2771,真视通,数据中心,171,2023-05-31
300052,中青宝,数据中心,171,2023-05-31
300311,任子行,数据中心,171,2023-05-31
601789,宁波建工,数据中心,171,2023-05-31
300053,欧比特,数据中心,171,2023-05-31
300128,锦富技术,数据中心,171,2023-05-31
300459,汤姆猫,数据中心,171,2023-05-31
301185,鸥玛软件,数据中心,171,2023-05-31
600010,包钢股份,数据中心,171,2023-05-31
688326,经纬恒润,数据中心,171,2023-05-31
600745,闻泰科技,数据中心,171,2023-05-31
600845,宝信软件,数据中心,171,2023-05-31
3007,直真科技,数据中心,171,2023-05-31
300730,科创信息,数据中心,171,2023-05-31
2757,南兴股份,数据中心,171,2023-05-31
2350,北京科锐,数据中心,171,2023-05-31
603206,嘉环科技,数据中心,171,2023-05-31
300731,科创新源,数据中心,171,2023-05-31
600449,宁夏建材,数据中心,171,2023-05-31
300738,奥飞数据,数据中心,171,2023-05-31
2152,广电运通,数据中心,171,2023-05-31
300065,海兰信,数据中心,171,2023-05-31
300068,南都电源,数据中心,171,2023-05-31
603003,龙宇股份,数据中心,171,2023-05-31
603000,人民网,数据中心,171,2023-05-31
815,美利云,数据中心,171,2023-05-31
300252,金信诺,数据中心,171,2023-05-31
300465,高伟达,数据中心,171,2023-05-31
600850,电科数字,数据中心,171,2023-05-31
300466,赛摩智能,数据中心,171,2023-05-31
2421,达实智能,数据中心,171,2023-05-31
300565,科信技术,数据中心,171,2023-05-31
810,创维数字,数据中心,171,2023-05-31
605100,华丰股份,数据中心,171,2023-05-31
811,冰轮环境,数据中心,171,2023-05-31
603825,华扬联众,数据中心,171,2023-05-31
600633,浙数文化,数据中心,171,2023-05-31
300383,光环新网,数据中心,171,2023-05-31
688086,*ST紫晶,数据中心,171,2023-05-31
300768,迪普科技,数据中心,171,2023-05-31
2364,中恒电气,数据中心,171,2023-05-31
300287,飞利信,数据中心,171,2023-05-31
807,云铝股份,数据中心,171,2023-05-31
2657,中科金财,数据中心,171,2023-05-31
2431,棕榈股份,数据中心,171,2023-05-31
300472,新元科技,数据中心,171,2023-05-31
2178,延华智能,数据中心,171,2023-05-31
603881,数据港,数据中心,171,2023-05-31
300173,福能东方,数据中心,171,2023-05-31
603912,佳力图,数据中心,171,2023-05-31
300693,盛弘股份,数据中心,171,2023-05-31
300376,易事特,数据中心,171,2023-05-31
300698,万马科技,数据中心,171,2023-05-31
2642,荣联科技,数据中心,171,2023-05-31
300807,天迈科技,数据中心,171,2023-05-31
300175,朗源股份,数据中心,171,2023-05-31
600831,广电网络,数据中心,171,2023-05-31
300895,铜牛信息,数据中心,171,2023-05-31
688418,震有科技,数据中心,171,2023-05-31
603887,城地香江,数据中心,171,2023-05-31
158,常山北明,数据中心,171,2023-05-31
2377,国创高新,数据中心,171,2023-05-31
