stockCode,stockName,sector,sectorCount,date
600354,敦煌种业,粮食概念,24,2023-05-31
638,万方发展,粮食概念,24,2023-05-31
2758,浙农股份,粮食概念,24,2023-05-31
600540,新赛股份,粮食概念,24,2023-05-31
600359,新农开发,粮食概念,24,2023-05-31
2041,登海种业,粮食概念,24,2023-05-31
600127,金健米业,粮食概念,24,2023-05-31
716,黑芝麻,粮食概念,24,2023-05-31
603555,ST贵人,粮食概念,24,2023-05-31
2133,广宇集团,粮食概念,24,2023-05-31
600313,农发种业,粮食概念,24,2023-05-31
600300,维维股份,粮食概念,24,2023-05-31
19,深粮控股,粮食概念,24,2023-05-31
603182,嘉华股份,粮食概念,24,2023-05-31
2419,天虹股份,粮食概念,24,2023-05-31
600811,东方集团,粮食概念,24,2023-05-31
713,丰乐种业,粮食概念,24,2023-05-31
300087,荃银高科,粮食概念,24,2023-05-31
601952,苏垦农发,粮食概念,24,2023-05-31
600598,北大荒,粮食概念,24,2023-05-31
300189,神农科技,粮食概念,24,2023-05-31
600108,亚盛集团,粮食概念,24,2023-05-31
998,隆平高科,粮食概念,24,2023-05-31
2385,大北农,粮食概念,24,2023-05-31
