stockCode,stockName,sector,sectorCount,date
603811,诚意药业,超级真菌,21,2023-05-31
600276,恒瑞医药,超级真菌,21,2023-05-31
600420,国药现代,超级真菌,21,2023-05-31
300630,普利制药,超级真菌,21,2023-05-31
518,四环生物,超级真菌,21,2023-05-31
2422,科伦药业,超级真菌,21,2023-05-31
600513,联环药业,超级真菌,21,2023-05-31
2755,奥赛康,超级真菌,21,2023-05-31
600613,神奇制药,超级真菌,21,2023-05-31
300039,上海凯宝,超级真菌,21,2023-05-31
600789,鲁抗医药,超级真菌,21,2023-05-31
790,华神科技,超级真菌,21,2023-05-31
2435,长江健康,超级真菌,21,2023-05-31
600664,哈药股份,超级真菌,21,2023-05-31
605177,东亚药业,超级真菌,21,2023-05-31
300267,尔康制药,超级真菌,21,2023-05-31
2581,未名医药,超级真菌,21,2023-05-31
600521,华海药业,超级真菌,21,2023-05-31
2923,润都股份,超级真菌,21,2023-05-31
597,东北制药,超级真菌,21,2023-05-31
600267,海正药业,超级真菌,21,2023-05-31
