stockCode,stockName,sector,sectorCount,date
603687,大胜达,ChatGPT概念,68,2023-06-24
300663,科蓝软件,ChatGPT概念,68,2023-06-24
851,高鸿股份,ChatGPT概念,68,2023-06-24
300520,科大国创,ChatGPT概念,68,2023-06-24
300182,捷成股份,ChatGPT概念,68,2023-06-24
300071,福石控股,ChatGPT概念,68,2023-06-24
300033,同花顺,ChatGPT概念,68,2023-06-24
600100,同方股份,ChatGPT概念,68,2023-06-24
601360,三六零,ChatGPT概念,68,2023-06-24
2123,梦网科技,ChatGPT概念,68,2023-06-24
300624,万兴科技,ChatGPT概念,68,2023-06-24
2226,江南化工,ChatGPT概念,68,2023-06-24
300245,天玑科技,ChatGPT概念,68,2023-06-24
300188,美亚柏科,ChatGPT概念,68,2023-06-24
2229,鸿博股份,ChatGPT概念,68,2023-06-24
300338,ST开元,ChatGPT概念,68,2023-06-24
2362,汉王科技,ChatGPT概念,68,2023-06-24
301236,软通动力,ChatGPT概念,68,2023-06-24
300002,神州泰岳,ChatGPT概念,68,2023-06-24
300479,神思电子,ChatGPT概念,68,2023-06-24
301078,孩子王,ChatGPT概念,68,2023-06-24
676,智度股份,ChatGPT概念,68,2023-06-24
300047,天源迪科,ChatGPT概念,68,2023-06-24
688228,开普云,ChatGPT概念,68,2023-06-24
2642,荣联科技,ChatGPT概念,68,2023-06-24
300612,宣亚国际,ChatGPT概念,68,2023-06-24
688318,财富趋势,ChatGPT概念,68,2023-06-24
688787,海天瑞声,ChatGPT概念,68,2023-06-24
2649,博彦科技,ChatGPT概念,68,2023-06-24
2878,元隆雅图,ChatGPT概念,68,2023-06-24
300133,华策影视,ChatGPT概念,68,2023-06-24
688590,新致软件,ChatGPT概念,68,2023-06-24
2230,科大讯飞,ChatGPT概念,68,2023-06-24
600415,小商品城,ChatGPT概念,68,2023-06-24
688365,光云科技,ChatGPT概念,68,2023-06-24
603466,风语筑,ChatGPT概念,68,2023-06-24
300058,蓝色光标,ChatGPT概念,68,2023-06-24
300364,中文在线,ChatGPT概念,68,2023-06-24
688058,宝兰德,ChatGPT概念,68,2023-06-24
300459,汤姆猫,ChatGPT概念,68,2023-06-24
688322,奥比中光,ChatGPT概念,68,2023-06-24
300166,东方国信,ChatGPT概念,68,2023-06-24
688327,云从科技,ChatGPT概念,68,2023-06-24
2803,吉宏股份,ChatGPT概念,68,2023-06-24
301313,凡拓数创,ChatGPT概念,68,2023-06-24
600880,博瑞传播,ChatGPT概念,68,2023-06-24
300781,因赛集团,ChatGPT概念,68,2023-06-24
300315,掌趣科技,ChatGPT概念,68,2023-06-24
300418,昆仑万维,ChatGPT概念,68,2023-06-24
600804,ST鹏博士,ChatGPT概念,68,2023-06-24
300229,拓尔思,ChatGPT概念,68,2023-06-24
2354,天娱数科,ChatGPT概念,68,2023-06-24
300292,吴通控股,ChatGPT概念,68,2023-06-24
300291,百纳千成,ChatGPT概念,68,2023-06-24
300496,中科创达,ChatGPT概念,68,2023-06-24
301396,宏景科技,ChatGPT概念,68,2023-06-24
601138,工业富联,ChatGPT概念,68,2023-06-24
600449,宁夏建材,ChatGPT概念,68,2023-06-24
2717,岭南股份,ChatGPT概念,68,2023-06-24
600797,浙大网新,ChatGPT概念,68,2023-06-24
300352,北信源,ChatGPT概念,68,2023-06-24
300674,宇信科技,ChatGPT概念,68,2023-06-24
300634,彩讯股份,ChatGPT概念,68,2023-06-24
34,神州数码,ChatGPT概念,68,2023-06-24
2292,奥飞娱乐,ChatGPT概念,68,2023-06-24
600718,东软集团,ChatGPT概念,68,2023-06-24
605168,三人行,ChatGPT概念,68,2023-06-24
300465,高伟达,ChatGPT概念,68,2023-06-24
