stockCode,stockName,sector,sectorCount,date
300281,金明精机,PVDF概念,15,2023-06-24
603379,三美股份,PVDF概念,15,2023-06-24
603978,深圳新星,PVDF概念,15,2023-06-24
603659,璞泰来,PVDF概念,15,2023-06-24
605020,永和股份,PVDF概念,15,2023-06-24
2407,多氟多,PVDF概念,15,2023-06-24
300056,中创环保,PVDF概念,15,2023-06-24
600378,昊华科技,PVDF概念,15,2023-06-24
600673,东阳光,PVDF概念,15,2023-06-24
300343,联创股份,PVDF概念,15,2023-06-24
600160,巨化股份,PVDF概念,15,2023-06-24
300332,天壕环境,PVDF概念,15,2023-06-24
300236,上海新阳,PVDF概念,15,2023-06-24
300041,回天新材,PVDF概念,15,2023-06-24
2068,黑猫股份,PVDF概念,15,2023-06-24
