stockCode,stockName,sector,sectorCount,date
603967,中创物流,RCEP概念,25,2023-06-24
2468,申通快递,RCEP概念,25,2023-06-24
2321,华英农业,RCEP概念,25,2023-06-24
2087,*ST新纺,RCEP概念,25,2023-06-24
811,冰轮环境,RCEP概念,25,2023-06-24
300094,国联水产,RCEP概念,25,2023-06-24
2404,嘉欣丝绸,RCEP概念,25,2023-06-24
300057,万顺新材,RCEP概念,25,2023-06-24
600017,日照港,RCEP概念,25,2023-06-24
2803,吉宏股份,RCEP概念,25,2023-06-24
603565,中谷物流,RCEP概念,25,2023-06-24
600190,锦州港,RCEP概念,25,2023-06-24
601880,辽港股份,RCEP概念,25,2023-06-24
603167,渤海轮渡,RCEP概念,25,2023-06-24
2614,奥佳华,RCEP概念,25,2023-06-24
2612,朗姿股份,RCEP概念,25,2023-06-24
2503,*ST搜特,RCEP概念,25,2023-06-24
600735,新华锦,RCEP概念,25,2023-06-24
2582,好想你,RCEP概念,25,2023-06-24
300795,米奥会展,RCEP概念,25,2023-06-24
300870,欧陆通,RCEP概念,25,2023-06-24
601339,百隆东方,RCEP概念,25,2023-06-24
601008,连云港,RCEP概念,25,2023-06-24
582,北部湾港,RCEP概念,25,2023-06-24
2067,景兴纸业,RCEP概念,25,2023-06-24
