stockCode,stockName,sector,sectorCount,date
600079,人福医药,体外诊断,67,2023-06-24
300869,康泰医学,体外诊断,67,2023-06-24
2030,达安基因,体外诊断,67,2023-06-24
688389,普门科技,体外诊断,67,2023-06-24
603716,塞力医疗,体外诊断,67,2023-06-24
300244,迪安诊断,体外诊断,67,2023-06-24
300030,阳普医疗,体外诊断,67,2023-06-24
600538,国发股份,体外诊断,67,2023-06-24
688075,安旭生物,体外诊断,67,2023-06-24
300439,美康生物,体外诊断,67,2023-06-24
603387,基蛋生物,体外诊断,67,2023-06-24
688301,奕瑞科技,体外诊断,67,2023-06-24
300289,利德曼,体外诊断,67,2023-06-24
688137,近岸蛋白,体外诊断,67,2023-06-24
300760,迈瑞医疗,体外诊断,67,2023-06-24
603718,海利生物,体外诊断,67,2023-06-24
300482,万孚生物,体外诊断,67,2023-06-24
301060,兰卫医学,体外诊断,67,2023-06-24
2432,九安医疗,体外诊断,67,2023-06-24
300003,乐普医疗,体外诊断,67,2023-06-24
688656,浩欧博,体外诊断,67,2023-06-24
300206,理邦仪器,体外诊断,67,2023-06-24
603882,金域医学,体外诊断,67,2023-06-24
300109,新开源,体外诊断,67,2023-06-24
603122,合富中国,体外诊断,67,2023-06-24
688068,热景生物,体外诊断,67,2023-06-24
688399,硕世生物,体外诊断,67,2023-06-24
2584,西陇科学,体外诊断,67,2023-06-24
2643,万润股份,体外诊断,67,2023-06-24
688393,安必平,体外诊断,67,2023-06-24
2022,科华生物,体外诊断,67,2023-06-24
688606,奥泰生物,体外诊断,67,2023-06-24
2932,明德生物,体外诊断,67,2023-06-24
688505,复旦张江,体外诊断,67,2023-06-24
688317,之江生物,体外诊断,67,2023-06-24
300406,九强生物,体外诊断,67,2023-06-24
603222,济民医疗,体外诊断,67,2023-06-24
300642,透景生命,体外诊断,67,2023-06-24
688298,东方生物,体外诊断,67,2023-06-24
2086,*ST东洋,体外诊断,67,2023-06-24
688217,睿昂基因,体外诊断,67,2023-06-24
688526,科前生物,体外诊断,67,2023-06-24
300018,中元股份,体外诊断,67,2023-06-24
688426,康为世纪,体外诊断,67,2023-06-24
300165,天瑞仪器,体外诊断,67,2023-06-24
605369,拱东医疗,体外诊断,67,2023-06-24
688468,科美诊断,体外诊断,67,2023-06-24
2980,华盛昌,体外诊断,67,2023-06-24
300318,博晖创新,体外诊断,67,2023-06-24
688575,亚辉龙,体外诊断,67,2023-06-24
2252,上海莱士,体外诊断,67,2023-06-24
300396,迪瑞医疗,体外诊断,67,2023-06-24
688105,诺唯赞,体外诊断,67,2023-06-24
300832,新产业,体外诊断,67,2023-06-24
603658,安图生物,体外诊断,67,2023-06-24
300676,华大基因,体外诊断,67,2023-06-24
300639,凯普生物,体外诊断,67,2023-06-24
603108,润达医疗,体外诊断,67,2023-06-24
300942,易瑞生物,体外诊断,67,2023-06-24
600645,中源协和,体外诊断,67,2023-06-24
688338,赛科希德,体外诊断,67,2023-06-24
300463,迈克生物,体外诊断,67,2023-06-24
2957,科瑞技术,体外诊断,67,2023-06-24
300298,三诺生物,体外诊断,67,2023-06-24
688767,博拓生物,体外诊断,67,2023-06-24
603392,万泰生物,体外诊断,67,2023-06-24
688289,圣湘生物,体外诊断,67,2023-06-24
