stockCode,stockName,sector,sectorCount,date
301389,隆扬电子,复合集流体,19,2023-06-24
300706,阿石创,复合集流体,19,2023-06-24
603800,道森股份,复合集流体,19,2023-06-24
688659,元琛科技,复合集流体,19,2023-06-24
300686,智动力,复合集流体,19,2023-06-24
301150,中一科技,复合集流体,19,2023-06-24
603773,沃格光电,复合集流体,19,2023-06-24
2741,光华科技,复合集流体,19,2023-06-24
688700,东威科技,复合集流体,19,2023-06-24
300057,万顺新材,复合集流体,19,2023-06-24
600110,诺德股份,复合集流体,19,2023-06-24
2426,胜利精密,复合集流体,19,2023-06-24
688359,三孚新科,复合集流体,19,2023-06-24
688392,骄成超声,复合集流体,19,2023-06-24
2585,双星新材,复合集流体,19,2023-06-24
2992,宝明科技,复合集流体,19,2023-06-24
2846,英联股份,复合集流体,19,2023-06-24
688020,方邦股份,复合集流体,19,2023-06-24
2203,海亮股份,复合集流体,19,2023-06-24
