stockCode,stockName,sector,sectorCount,date
600336,澳柯玛,家用电器,95,2023-06-24
2420,毅昌科技,家用电器,95,2023-06-24
810,创维数字,家用电器,95,2023-06-24
836699,海达尔,家用电器,95,2023-06-24
688793,倍轻松,家用电器,95,2023-06-24
603215,比依股份,家用电器,95,2023-06-24
2723,小崧股份,家用电器,95,2023-06-24
603219,富佳股份,家用电器,95,2023-06-24
2429,兆驰股份,家用电器,95,2023-06-24
603112,华翔股份,家用电器,95,2023-06-24
300824,北鼎股份,家用电器,95,2023-06-24
603868,飞科电器,家用电器,95,2023-06-24
333,美的集团,家用电器,95,2023-06-24
2035,华帝股份,家用电器,95,2023-06-24
2860,星帅尔,家用电器,95,2023-06-24
300625,三雄极光,家用电器,95,2023-06-24
603486,科沃斯,家用电器,95,2023-06-24
2032,苏泊尔,家用电器,95,2023-06-24
603303,得邦照明,家用电器,95,2023-06-24
300911,亿田智能,家用电器,95,2023-06-24
2519,银河电子,家用电器,95,2023-06-24
300247,融捷健康,家用电器,95,2023-06-24
521,长虹美菱,家用电器,95,2023-06-24
3023,彩虹集团,家用电器,95,2023-06-24
2076,星光股份,家用电器,95,2023-06-24
1268,联合精密,家用电器,95,2023-06-24
603677,奇精机械,家用电器,95,2023-06-24
831768,拾比佰,家用电器,95,2023-06-24
300272,开能健康,家用电器,95,2023-06-24
430718,合肥高科,家用电器,95,2023-06-24
801,四川九洲,家用电器,95,2023-06-24
688696,极米科技,家用电器,95,2023-06-24
301332,德尔玛,家用电器,95,2023-06-24
603578,三星新材,家用电器,95,2023-06-24
16,深康佳Ａ,家用电器,95,2023-06-24
603579,荣泰健康,家用电器,95,2023-06-24
688609,九联科技,家用电器,95,2023-06-24
300342,天银机电,家用电器,95,2023-06-24
605336,帅丰电器,家用电器,95,2023-06-24
1259,利仁科技,家用电器,95,2023-06-24
603726,朗迪集团,家用电器,95,2023-06-24
688169,石头科技,家用电器,95,2023-06-24
200541,粤照明Ｂ,家用电器,95,2023-06-24
2508,老板电器,家用电器,95,2023-06-24
300894,火星人,家用电器,95,2023-06-24
601956,东贝集团,家用电器,95,2023-06-24
2543,万和电气,家用电器,95,2023-06-24
600839,四川长虹,家用电器,95,2023-06-24
600060,海信视像,家用电器,95,2023-06-24
300403,汉宇集团,家用电器,95,2023-06-24
2242,九阳股份,家用电器,95,2023-06-24
300217,东方电热,家用电器,95,2023-06-24
600983,惠而浦,家用电器,95,2023-06-24
600619,海立股份,家用电器,95,2023-06-24
2050,三花智控,家用电器,95,2023-06-24
600261,阳光照明,家用电器,95,2023-06-24
600690,海尔智家,家用电器,95,2023-06-24
2052,ST同洲,家用电器,95,2023-06-24
2403,爱仕达,家用电器,95,2023-06-24
2705,新宝股份,家用电器,95,2023-06-24
301187,欧圣电气,家用电器,95,2023-06-24
300160,秀强股份,家用电器,95,2023-06-24
605555,德昌股份,家用电器,95,2023-06-24
605365,立达信,家用电器,95,2023-06-24
2011,盾安环境,家用电器,95,2023-06-24
301008,宏昌科技,家用电器,95,2023-06-24
404,长虹华意,家用电器,95,2023-06-24
2676,顺威股份,家用电器,95,2023-06-24
2677,浙江美大,家用电器,95,2023-06-24
541,佛山照明,家用电器,95,2023-06-24
603366,日出东方,家用电器,95,2023-06-24
2848,高斯贝尔,家用电器,95,2023-06-24
870199,倍益康,家用电器,95,2023-06-24
603515,欧普照明,家用电器,95,2023-06-24
603311,金海高科,家用电器,95,2023-06-24
603519,立霸股份,家用电器,95,2023-06-24
2614,奥佳华,家用电器,95,2023-06-24
900910,海立Ｂ股,家用电器,95,2023-06-24
831641,格利尔,家用电器,95,2023-06-24
2418,康盛股份,家用电器,95,2023-06-24
651,格力电器,家用电器,95,2023-06-24
603657,春光科技,家用电器,95,2023-06-24
921,海信家电,家用电器,95,2023-06-24
2290,禾盛新材,家用电器,95,2023-06-24
200521,虹美菱B,家用电器,95,2023-06-24
603551,奥普家居,家用电器,95,2023-06-24
200016,深康佳Ｂ,家用电器,95,2023-06-24
2005,ST德豪,家用电器,95,2023-06-24
301252,同星科技,家用电器,95,2023-06-24
605117,德业股份,家用电器,95,2023-06-24
2668,奥马电器,家用电器,95,2023-06-24
2959,小熊电器,家用电器,95,2023-06-24
600854,春兰股份,家用电器,95,2023-06-24
603355,莱克电气,家用电器,95,2023-06-24
873339,恒太照明,家用电器,95,2023-06-24
