stockCode,stockName,sector,sectorCount,date
2919,名臣健康,昨日涨停,40,2023-06-24
603988,中电电机,昨日涨停,40,2023-06-24
2892,科力尔,昨日涨停,40,2023-06-24
2168,惠程科技,昨日涨停,40,2023-06-24
603863,松炀资源,昨日涨停,40,2023-06-24
600570,恒生电子,昨日涨停,40,2023-06-24
603489,八方股份,昨日涨停,40,2023-06-24
600592,龙溪股份,昨日涨停,40,2023-06-24
603666,亿嘉和,昨日涨停,40,2023-06-24
603662,柯力传感,昨日涨停,40,2023-06-24
63,中兴通讯,昨日涨停,40,2023-06-24
2031,巨轮智能,昨日涨停,40,2023-06-24
605277,新亚电子,昨日涨停,40,2023-06-24
603583,捷昌驱动,昨日涨停,40,2023-06-24
2079,苏州固锝,昨日涨停,40,2023-06-24
603879,永悦科技,昨日涨停,40,2023-06-24
2962,五方光电,昨日涨停,40,2023-06-24
688678,福立旺,昨日涨停,40,2023-06-24
603678,火炬电子,昨日涨停,40,2023-06-24
603267,鸿远电子,昨日涨停,40,2023-06-24
688165,埃夫特,昨日涨停,40,2023-06-24
603108,润达医疗,昨日涨停,40,2023-06-24
688160,步科股份,昨日涨停,40,2023-06-24
600391,航发科技,昨日涨停,40,2023-06-24
600979,广安爱众,昨日涨停,40,2023-06-24
603767,中马传动,昨日涨停,40,2023-06-24
2527,新时达,昨日涨停,40,2023-06-24
603496,恒为科技,昨日涨停,40,2023-06-24
2151,北斗星通,昨日涨停,40,2023-06-24
837,秦川机床,昨日涨停,40,2023-06-24
688244,永信至诚,昨日涨停,40,2023-06-24
600589,*ST榕泰,昨日涨停,40,2023-06-24
3038,鑫铂股份,昨日涨停,40,2023-06-24
600215,派斯林,昨日涨停,40,2023-06-24
600892,大晟文化,昨日涨停,40,2023-06-24
603269,海鸥股份,昨日涨停,40,2023-06-24
603703,盛洋科技,昨日涨停,40,2023-06-24
615,*ST美谷,昨日涨停,40,2023-06-24
584,ST工智,昨日涨停,40,2023-06-24
603319,湘油泵,昨日涨停,40,2023-06-24
