stockCode,stockName,sector,sectorCount,date
300528,幸福蓝海,机构重仓,1217,2023-06-24
688037,芯源微,机构重仓,1217,2023-06-24
300521,爱司凯,机构重仓,1217,2023-06-24
301268,铭利达,机构重仓,1217,2023-06-24
300907,康平科技,机构重仓,1217,2023-06-24
300913,兆龙互连,机构重仓,1217,2023-06-24
300910,瑞丰新材,机构重仓,1217,2023-06-24
688030,山石网科,机构重仓,1217,2023-06-24
300148,天舟文化,机构重仓,1217,2023-06-24
605488,福莱新材,机构重仓,1217,2023-06-24
300517,海波重科,机构重仓,1217,2023-06-24
300518,盛讯达,机构重仓,1217,2023-06-24
603099,长白山,机构重仓,1217,2023-06-24
300513,恒实科技,机构重仓,1217,2023-06-24
300511,雪榕生物,机构重仓,1217,2023-06-24
605055,迎丰股份,机构重仓,1217,2023-06-24
605058,澳弘电子,机构重仓,1217,2023-06-24
301276,嘉曼服饰,机构重仓,1217,2023-06-24
300918,南山智尚,机构重仓,1217,2023-06-24
300927,江天化学,机构重仓,1217,2023-06-24
300797,钢研纳克,机构重仓,1217,2023-06-24
300923,研奥股份,机构重仓,1217,2023-06-24
300922,天秦装备,机构重仓,1217,2023-06-24
300921,南凌科技,机构重仓,1217,2023-06-24
300791,仙乐健康,机构重仓,1217,2023-06-24
300134,大富科技,机构重仓,1217,2023-06-24
688018,乐鑫科技,机构重仓,1217,2023-06-24
603998,方盛制药,机构重仓,1217,2023-06-24
603088,宁波精达,机构重仓,1217,2023-06-24
603999,读者传媒,机构重仓,1217,2023-06-24
301248,杰创智能,机构重仓,1217,2023-06-24
605088,冠盛股份,机构重仓,1217,2023-06-24
300545,联得装备,机构重仓,1217,2023-06-24
301246,宏源药业,机构重仓,1217,2023-06-24
300129,泰胜风能,机构重仓,1217,2023-06-24
300932,三友联众,机构重仓,1217,2023-06-24
300128,锦富技术,机构重仓,1217,2023-06-24
688010,福光股份,机构重仓,1217,2023-06-24
688011,新光光电,机构重仓,1217,2023-06-24
603799,华友钴业,机构重仓,1217,2023-06-24
688012,中微公司,机构重仓,1217,2023-06-24
603993,洛阳钼业,机构重仓,1217,2023-06-24
300127,银河磁体,机构重仓,1217,2023-06-24
688287,观典防务,机构重仓,1217,2023-06-24
688286,敏芯股份,机构重仓,1217,2023-06-24
688008,澜起科技,机构重仓,1217,2023-06-24
688285,高铁电气,机构重仓,1217,2023-06-24
300395,菲利华,机构重仓,1217,2023-06-24
603590,康辰药业,机构重仓,1217,2023-06-24
688282,理工导航,机构重仓,1217,2023-06-24
300399,天利科技,机构重仓,1217,2023-06-24
688002,睿创微纳,机构重仓,1217,2023-06-24
603079,圣达生物,机构重仓,1217,2023-06-24
301255,通力科技,机构重仓,1217,2023-06-24
603598,引力传媒,机构重仓,1217,2023-06-24
688739,成大生物,机构重仓,1217,2023-06-24
300534,陇神戎发,机构重仓,1217,2023-06-24
300531,优博讯,机构重仓,1217,2023-06-24
300942,易瑞生物,机构重仓,1217,2023-06-24
300948,冠中生态,机构重仓,1217,2023-06-24
300111,向日葵,机构重仓,1217,2023-06-24
300116,保力新,机构重仓,1217,2023-06-24
688289,圣湘生物,机构重仓,1217,2023-06-24
300113,顺网科技,机构重仓,1217,2023-06-24
301227,森鹰窗业,机构重仓,1217,2023-06-24
600637,东方明珠,机构重仓,1217,2023-06-24
300561,汇金科技,机构重仓,1217,2023-06-24
300563,神宇股份,机构重仓,1217,2023-06-24
300562,乐心医疗,机构重仓,1217,2023-06-24
688079,美迪凯,机构重仓,1217,2023-06-24
688271,联影医疗,机构重仓,1217,2023-06-24
600630,龙头股份,机构重仓,1217,2023-06-24
688272,*ST富吉,机构重仓,1217,2023-06-24
600636,国新文化,机构重仓,1217,2023-06-24
688275,万润新能,机构重仓,1217,2023-06-24
