stockCode,stockName,sector,sectorCount,date
300484,蓝海华腾,第三代半导体,91,2023-06-24
2169,智光电气,第三代半导体,91,2023-06-24
603290,斯达半导,第三代半导体,91,2023-06-24
300820,英杰电气,第三代半导体,91,2023-06-24
300283,温州宏丰,第三代半导体,91,2023-06-24
300489,光智科技,第三代半导体,91,2023-06-24
2429,兆驰股份,第三代半导体,91,2023-06-24
2428,云南锗业,第三代半导体,91,2023-06-24
688234,天岳先进,第三代半导体,91,2023-06-24
688689,银河微电,第三代半导体,91,2023-06-24
688172,燕东微,第三代半导体,91,2023-06-24
600481,双良节能,第三代半导体,91,2023-06-24
300623,捷捷微电,第三代半导体,91,2023-06-24
688230,芯导科技,第三代半导体,91,2023-06-24
2364,中恒电气,第三代半导体,91,2023-06-24
2869,金溢科技,第三代半导体,91,2023-06-24
2079,苏州固锝,第三代半导体,91,2023-06-24
600330,天通股份,第三代半导体,91,2023-06-24
2885,京泉华,第三代半导体,91,2023-06-24
300207,欣旺达,第三代半导体,91,2023-06-24
300102,乾照光电,第三代半导体,91,2023-06-24
2371,北方华创,第三代半导体,91,2023-06-24
688556,高测股份,第三代半导体,91,2023-06-24
2131,利欧股份,第三代半导体,91,2023-06-24
300656,民德电子,第三代半导体,91,2023-06-24
300046,台基股份,第三代半导体,91,2023-06-24
300376,易事特,第三代半导体,91,2023-06-24
688711,宏微科技,第三代半导体,91,2023-06-24
16,深康佳Ａ,第三代半导体,91,2023-06-24
300373,扬杰科技,第三代半导体,91,2023-06-24
2977,天箭科技,第三代半导体,91,2023-06-24
688396,华润微,第三代半导体,91,2023-06-24
688268,华特气体,第三代半导体,91,2023-06-24
576,甘化科工,第三代半导体,91,2023-06-24
300232,洲明科技,第三代半导体,91,2023-06-24
300708,聚灿光电,第三代半导体,91,2023-06-24
2023,海特高新,第三代半导体,91,2023-06-24
600460,士兰微,第三代半导体,91,2023-06-24
2171,楚江新材,第三代半导体,91,2023-06-24
300131,英唐智控,第三代半导体,91,2023-06-24
2902,铭普光磁,第三代半导体,91,2023-06-24
2449,国星光电,第三代半导体,91,2023-06-24
2245,蔚蓝锂芯,第三代半导体,91,2023-06-24
2402,和而泰,第三代半导体,91,2023-06-24
600360,华微电子,第三代半导体,91,2023-06-24
300745,欣锐科技,第三代半导体,91,2023-06-24
688216,气派科技,第三代半导体,91,2023-06-24
21,深科技,第三代半导体,91,2023-06-24
601908,京运通,第三代半导体,91,2023-06-24
600703,三安光电,第三代半导体,91,2023-06-24
62,深圳华强,第三代半导体,91,2023-06-24
547,航天发展,第三代半导体,91,2023-06-24
600745,闻泰科技,第三代半导体,91,2023-06-24
300123,亚光科技,第三代半导体,91,2023-06-24
2055,得润电子,第三代半导体,91,2023-06-24
300316,晶盛机电,第三代半导体,91,2023-06-24
300456,赛微电子,第三代半导体,91,2023-06-24
600353,旭光电子,第三代半导体,91,2023-06-24
300787,海能实业,第三代半导体,91,2023-06-24
3009,中天火箭,第三代半导体,91,2023-06-24
300632,光莆股份,第三代半导体,91,2023-06-24
3031,中瓷电子,第三代半导体,91,2023-06-24
603185,弘元绿能,第三代半导体,91,2023-06-24
605111,新洁能,第三代半导体,91,2023-06-24
688106,金宏气体,第三代半导体,91,2023-06-24
2255,海陆重工,第三代半导体,91,2023-06-24
300731,科创新源,第三代半导体,91,2023-06-24
603519,立霸股份,第三代半导体,91,2023-06-24
2156,通富微电,第三代半导体,91,2023-06-24
300831,派瑞股份,第三代半导体,91,2023-06-24
688200,华峰测控,第三代半导体,91,2023-06-24
603936,博敏电子,第三代半导体,91,2023-06-24
688187,时代电气,第三代半导体,91,2023-06-24
600509,天富能源,第三代半导体,91,2023-06-24
300672,国科微,第三代半导体,91,2023-06-24
2617,露笑科技,第三代半导体,91,2023-06-24
300671,富满微,第三代半导体,91,2023-06-24
603595,东尼电子,第三代半导体,91,2023-06-24
603005,晶方科技,第三代半导体,91,2023-06-24
2660,茂硕电源,第三代半导体,91,2023-06-24
300323,华灿光电,第三代半导体,91,2023-06-24
688375,国博电子,第三代半导体,91,2023-06-24
300870,欧陆通,第三代半导体,91,2023-06-24
2851,麦格米特,第三代半导体,91,2023-06-24
605358,立昂微,第三代半导体,91,2023-06-24
2008,大族激光,第三代半导体,91,2023-06-24
300464,星徽股份,第三代半导体,91,2023-06-24
2993,奥海科技,第三代半导体,91,2023-06-24
1270,铖昌科技,第三代半导体,91,2023-06-24
688478,晶升股份,第三代半导体,91,2023-06-24
300296,利亚德,第三代半导体,91,2023-06-24
