stockCode,stockName,sector,sectorCount,date
603863,松炀资源,粤港自贸,65,2023-06-24
601228,广州港,粤港自贸,65,2023-06-24
6,深振业Ａ,粤港自贸,65,2023-06-24
600868,梅雁吉祥,粤港自贸,65,2023-06-24
300381,溢多利,粤港自贸,65,2023-06-24
89,深圳机场,粤港自贸,65,2023-06-24
88,盐田港,粤港自贸,65,2023-06-24
523,广州浪奇,粤港自贸,65,2023-06-24
429,粤高速Ａ,粤港自贸,65,2023-06-24
524,岭南控股,粤港自贸,65,2023-06-24
300621,维业股份,粤港自贸,65,2023-06-24
14,沙河股份,粤港自贸,65,2023-06-24
529,广弘控股,粤港自贸,65,2023-06-24
12,南玻Ａ,粤港自贸,65,2023-06-24
2060,粤水电,粤港自贸,65,2023-06-24
600325,华发股份,粤港自贸,65,2023-06-24
11,深物业A,粤港自贸,65,2023-06-24
2431,棕榈股份,粤港自贸,65,2023-06-24
603535,嘉诚国际,粤港自贸,65,2023-06-24
1872,招商港口,粤港自贸,65,2023-06-24
600428,中远海特,粤港自贸,65,2023-06-24
300377,赢时胜,粤港自贸,65,2023-06-24
90,天健集团,粤港自贸,65,2023-06-24
600162,香江控股,粤港自贸,65,2023-06-24
99,中信海直,粤港自贸,65,2023-06-24
2583,海能达,粤港自贸,65,2023-06-24
1212,中旗新材,粤港自贸,65,2023-06-24
96,广聚能源,粤港自贸,65,2023-06-24
301038,深水规院,粤港自贸,65,2023-06-24
987,越秀资本,粤港自贸,65,2023-06-24
3013,地铁设计,粤港自贸,65,2023-06-24
2233,塔牌集团,粤港自贸,65,2023-06-24
1979,招商蛇口,粤港自贸,65,2023-06-24
2972,科安达,粤港自贸,65,2023-06-24
29,深深房Ａ,粤港自贸,65,2023-06-24
2187,广百股份,粤港自贸,65,2023-06-24
2774,快意电梯,粤港自贸,65,2023-06-24
2285,世联行,粤港自贸,65,2023-06-24
23,ST深天,粤港自贸,65,2023-06-24
25,特力Ａ,粤港自贸,65,2023-06-24
828,东莞控股,粤港自贸,65,2023-06-24
2016,世荣兆业,粤港自贸,65,2023-06-24
2183,怡亚通,粤港自贸,65,2023-06-24
2181,粤传媒,粤港自贸,65,2023-06-24
39,中集集团,粤港自贸,65,2023-06-24
600894,广日股份,粤港自贸,65,2023-06-24
507,珠海港,粤港自贸,65,2023-06-24
2197,证通电子,粤港自贸,65,2023-06-24
659,珠海中富,粤港自贸,65,2023-06-24
2314,南山控股,粤港自贸,65,2023-06-24
2949,华阳国际,粤港自贸,65,2023-06-24
600004,白云机场,粤港自贸,65,2023-06-24
2717,岭南股份,粤港自贸,65,2023-06-24
651,格力电器,粤港自贸,65,2023-06-24
2492,恒基达鑫,粤港自贸,65,2023-06-24
300635,中达安,粤港自贸,65,2023-06-24
601333,广深铁路,粤港自贸,65,2023-06-24
301091,深城交,粤港自贸,65,2023-06-24
600185,格力地产,粤港自贸,65,2023-06-24
300778,新城市,粤港自贸,65,2023-06-24
300949,奥雅股份,粤港自贸,65,2023-06-24
300989,蕾奥规划,粤港自贸,65,2023-06-24
600548,深高速,粤港自贸,65,2023-06-24
600684,珠江股份,粤港自贸,65,2023-06-24
2953,日丰股份,粤港自贸,65,2023-06-24
