stockCode,stockName,sector,sectorCount,date
2269,美邦服饰,贬值受益,129,2023-06-24
300720,海川智能,贬值受益,129,2023-06-24
603215,比依股份,贬值受益,129,2023-06-24
301363,美好医疗,贬值受益,129,2023-06-24
300590,移为通信,贬值受益,129,2023-06-24
603219,富佳股份,贬值受益,129,2023-06-24
300729,乐歌股份,贬值受益,129,2023-06-24
300994,久祺股份,贬值受益,129,2023-06-24
600282,南钢股份,贬值受益,129,2023-06-24
300993,玉马遮阳,贬值受益,129,2023-06-24
600489,中金黄金,贬值受益,129,2023-06-24
300725,药石科技,贬值受益,129,2023-06-24
300992,泰福泵业,贬值受益,129,2023-06-24
2795,永和智控,贬值受益,129,2023-06-24
600287,江苏舜天,贬值受益,129,2023-06-24
301260,格力博,贬值受益,129,2023-06-24
1368,通达创智,贬值受益,129,2023-06-24
2925,盈趣科技,贬值受益,129,2023-06-24
301061,匠心家居,贬值受益,129,2023-06-24
603538,美诺华,贬值受益,129,2023-06-24
1308,康冠科技,贬值受益,129,2023-06-24
2733,雄韬股份,贬值受益,129,2023-06-24
632,三木集团,贬值受益,129,2023-06-24
600933,爱柯迪,贬值受益,129,2023-06-24
601069,西部黄金,贬值受益,129,2023-06-24
603090,宏盛股份,贬值受益,129,2023-06-24
600660,福耀玻璃,贬值受益,129,2023-06-24
600469,风神股份,贬值受益,129,2023-06-24
688358,祥生医疗,贬值受益,129,2023-06-24
600735,新华锦,贬值受益,129,2023-06-24
2835,同为股份,贬值受益,129,2023-06-24
300793,佳禾智能,贬值受益,129,2023-06-24
603335,迪生力,贬值受益,129,2023-06-24
873169,七丰精工,贬值受益,129,2023-06-24
600875,东方电气,贬值受益,129,2023-06-24
300849,锦盛新材,贬值受益,129,2023-06-24
2448,中原内配,贬值受益,129,2023-06-24
300643,万通智控,贬值受益,129,2023-06-24
603089,正裕工业,贬值受益,129,2023-06-24
600156,华升股份,贬值受益,129,2023-06-24
2051,中工国际,贬值受益,129,2023-06-24
300640,德艺文创,贬值受益,129,2023-06-24
600458,时代新材,贬值受益,129,2023-06-24
301187,欧圣电气,贬值受益,129,2023-06-24
2444,巨星科技,贬值受益,129,2023-06-24
605555,德昌股份,贬值受益,129,2023-06-24
605088,冠盛股份,贬值受益,129,2023-06-24
605365,立达信,贬值受益,129,2023-06-24
603661,恒林股份,贬值受益,129,2023-06-24
301108,洁雅股份,贬值受益,129,2023-06-24
301042,安联锐视,贬值受益,129,2023-06-24
2769,普路通,贬值受益,129,2023-06-24
2156,通富微电,贬值受益,129,2023-06-24
600448,华纺股份,贬值受益,129,2023-06-24
2611,东方精工,贬值受益,129,2023-06-24
823,超声电子,贬值受益,129,2023-06-24
300636,同和药业,贬值受益,129,2023-06-24
301258,富士莱,贬值受益,129,2023-06-24
2155,湖南黄金,贬值受益,129,2023-06-24
2615,哈尔斯,贬值受益,129,2023-06-24
2150,通润装备,贬值受益,129,2023-06-24
603709,中源家居,贬值受益,129,2023-06-24
601339,百隆东方,贬值受益,129,2023-06-24
2815,崇达技术,贬值受益,129,2023-06-24
1238,浙江正特,贬值受益,129,2023-06-24
603313,梦百合,贬值受益,129,2023-06-24
603201,常润股份,贬值受益,129,2023-06-24
2042,华孚时尚,贬值受益,129,2023-06-24
600547,山东黄金,贬值受益,129,2023-06-24
2955,鸿合科技,贬值受益,129,2023-06-24
301113,雅艺科技,贬值受益,129,2023-06-24
301327,华宝新能,贬值受益,129,2023-06-24
301220,亚香股份,贬值受益,129,2023-06-24
600962,国投中鲁,贬值受益,129,2023-06-24
600439,瑞贝卡,贬值受益,129,2023-06-24
2862,实丰文化,贬值受益,129,2023-06-24
300952,恒辉安防,贬值受益,129,2023-06-24
1222,源飞宠物,贬值受益,129,2023-06-24
603580,艾艾精工,贬值受益,129,2023-06-24
726,鲁泰Ａ,贬值受益,129,2023-06-24
603610,麒盛科技,贬值受益,129,2023-06-24
603617,君禾股份,贬值受益,129,2023-06-24
300956,英力股份,贬值受益,129,2023-06-24
600626,申达股份,贬值受益,129,2023-06-24
2432,九安医疗,贬值受益,129,2023-06-24
