stockCode,stockName,sector,sectorCount,date
661,长春高新,辅助生殖,53,2023-06-24
950,重药控股,辅助生殖,53,2023-06-24
2030,达安基因,辅助生殖,53,2023-06-24
600488,津药药业,辅助生殖,53,2023-06-24
2793,罗欣药业,辅助生殖,53,2023-06-24
688273,麦澜德,辅助生殖,53,2023-06-24
600380,健康元,辅助生殖,53,2023-06-24
600763,通策医疗,辅助生殖,53,2023-06-24
300381,溢多利,辅助生殖,53,2023-06-24
300078,思创医惠,辅助生殖,53,2023-06-24
300244,迪安诊断,辅助生殖,53,2023-06-24
2038,双鹭药业,辅助生殖,53,2023-06-24
301126,达嘉维康,辅助生殖,53,2023-06-24
300147,香雪制药,辅助生殖,53,2023-06-24
2162,悦心健康,辅助生殖,53,2023-06-24
300289,利德曼,辅助生殖,53,2023-06-24
597,东北制药,辅助生殖,53,2023-06-24
300482,万孚生物,辅助生殖,53,2023-06-24
300519,新光药业,辅助生殖,53,2023-06-24
2433,*ST太安,辅助生殖,53,2023-06-24
688026,洁特生物,辅助生殖,53,2023-06-24
600420,国药现代,辅助生殖,53,2023-06-24
300272,开能健康,辅助生殖,53,2023-06-24
2332,仙琚制药,辅助生殖,53,2023-06-24
300006,莱美药业,辅助生殖,53,2023-06-24
300009,安科生物,辅助生殖,53,2023-06-24
300086,康芝药业,辅助生殖,53,2023-06-24
2435,长江健康,辅助生殖,53,2023-06-24
600774,汉商集团,辅助生殖,53,2023-06-24
2584,西陇科学,辅助生殖,53,2023-06-24
688067,爱威科技,辅助生殖,53,2023-06-24
2932,明德生物,辅助生殖,53,2023-06-24
600216,浙江医药,辅助生殖,53,2023-06-24
300966,共同药业,辅助生殖,53,2023-06-24
2172,澳洋健康,辅助生殖,53,2023-06-24
2243,力合科创,辅助生殖,53,2023-06-24
300583,赛托生物,辅助生殖,53,2023-06-24
688117,圣诺生物,辅助生殖,53,2023-06-24
600704,物产中大,辅助生殖,53,2023-06-24
600196,复星医药,辅助生殖,53,2023-06-24
688468,科美诊断,辅助生殖,53,2023-06-24
603990,麦迪科技,辅助生殖,53,2023-06-24
688575,亚辉龙,辅助生殖,53,2023-06-24
605116,奥锐特,辅助生殖,53,2023-06-24
756,新华制药,辅助生殖,53,2023-06-24
300676,华大基因,辅助生殖,53,2023-06-24
300199,翰宇药业,辅助生殖,53,2023-06-24
300639,凯普生物,辅助生殖,53,2023-06-24
300151,昌红科技,辅助生殖,53,2023-06-24
600645,中源协和,辅助生殖,53,2023-06-24
710,贝瑞基因,辅助生殖,53,2023-06-24
516,国际医学,辅助生殖,53,2023-06-24
513,丽珠集团,辅助生殖,53,2023-06-24
