stockCode,stockName,sector,sectorCount,date
600337,美克家居,C2M概念,40,2023-08-20
2269,美邦服饰,C2M概念,40,2023-08-20
2345,潮宏基,C2M概念,40,2023-08-20
2776,*ST柏龙,C2M概念,40,2023-08-20
600282,南钢股份,C2M概念,40,2023-08-20
300840,酷特智能,C2M概念,40,2023-08-20
2404,嘉欣丝绸,C2M概念,40,2023-08-20
300687,赛意信息,C2M概念,40,2023-08-20
603668,天马科技,C2M概念,40,2023-08-20
603808,歌力思,C2M概念,40,2023-08-20
300608,思特奇,C2M概念,40,2023-08-20
300382,斯莱克,C2M概念,40,2023-08-20
2369,卓翼科技,C2M概念,40,2023-08-20
603116,红蜻蜓,C2M概念,40,2023-08-20
2571,德力股份,C2M概念,40,2023-08-20
2489,浙江永强,C2M概念,40,2023-08-20
600177,雅戈尔,C2M概念,40,2023-08-20
726,鲁泰Ａ,C2M概念,40,2023-08-20
603992,松霖科技,C2M概念,40,2023-08-20
600702,舍得酒业,C2M概念,40,2023-08-20
603076,乐惠国际,C2M概念,40,2023-08-20
2631,德尔未来,C2M概念,40,2023-08-20
600448,华纺股份,C2M概念,40,2023-08-20
2612,朗姿股份,C2M概念,40,2023-08-20
300378,鼎捷软件,C2M概念,40,2023-08-20
300170,汉得信息,C2M概念,40,2023-08-20
2154,报喜鸟,C2M概念,40,2023-08-20
300067,安诺其,C2M概念,40,2023-08-20
603001,ST奥康,C2M概念,40,2023-08-20
2024,ST易购,C2M概念,40,2023-08-20
603608,天创时尚,C2M概念,40,2023-08-20
300616,尚品宅配,C2M概念,40,2023-08-20
300195,长荣股份,C2M概念,40,2023-08-20
2193,如意集团,C2M概念,40,2023-08-20
603313,梦百合,C2M概念,40,2023-08-20
2042,华孚时尚,C2M概念,40,2023-08-20
2853,皮阿诺,C2M概念,40,2023-08-20
688022,瀚川智能,C2M概念,40,2023-08-20
2397,梦洁股份,C2M概念,40,2023-08-20
300466,赛摩智能,C2M概念,40,2023-08-20
