stockCode,stockName,sector,sectorCount,date
688579,山大地纬,DRG-DIP,14,2023-08-20
2777,久远银海,DRG-DIP,14,2023-08-20
300290,荣科科技,DRG-DIP,14,2023-08-20
300096,易联众,DRG-DIP,14,2023-08-20
603716,塞力医疗,DRG-DIP,14,2023-08-20
300078,思创医惠,DRG-DIP,14,2023-08-20
300168,万达信息,DRG-DIP,14,2023-08-20
688246,嘉和美康,DRG-DIP,14,2023-08-20
300253,卫宁健康,DRG-DIP,14,2023-08-20
600718,东软集团,DRG-DIP,14,2023-08-20
300451,创业慧康,DRG-DIP,14,2023-08-20
503,国新健康,DRG-DIP,14,2023-08-20
301117,佳缘科技,DRG-DIP,14,2023-08-20
2065,东华软件,DRG-DIP,14,2023-08-20
