stockCode,stockName,sector,sectorCount,date
963,华东医药,减肥药,16,2023-08-20
300630,普利制药,减肥药,16,2023-08-20
603087,甘李药业,减肥药,16,2023-08-20
2317,众生药业,减肥药,16,2023-08-20
605116,奥锐特,减肥药,16,2023-08-20
688117,圣诺生物,减肥药,16,2023-08-20
813,德展健康,减肥药,16,2023-08-20
301509,金凯生科,减肥药,16,2023-08-20
301281,科源制药,减肥药,16,2023-08-20
300199,翰宇药业,减肥药,16,2023-08-20
2038,双鹭药业,减肥药,16,2023-08-20
688076,诺泰生物,减肥药,16,2023-08-20
300896,爱美客,减肥药,16,2023-08-20
2294,信立泰,减肥药,16,2023-08-20
301393,昊帆生物,减肥药,16,2023-08-20
2907,华森制药,减肥药,16,2023-08-20
