stockCode,stockName,sector,sectorCount,date
300529,健帆生物,创业成份,100,2023-08-20
300661,圣邦股份,创业成份,100,2023-08-20
300866,安克创新,创业成份,100,2023-08-20
300999,金龙鱼,创业成份,100,2023-08-20
300666,江丰电子,创业成份,100,2023-08-20
300034,钢研高纳,创业成份,100,2023-08-20
301269,华大九天,创业成份,100,2023-08-20
300033,同花顺,创业成份,100,2023-08-20
301268,铭利达,创业成份,100,2023-08-20
300726,宏达电子,创业成份,100,2023-08-20
300724,捷佳伟创,创业成份,100,2023-08-20
300037,新宙邦,创业成份,100,2023-08-20
300861,美畅股份,创业成份,100,2023-08-20
300244,迪安诊断,创业成份,100,2023-08-20
300438,鹏辉能源,创业成份,100,2023-08-20
300432,富临精工,创业成份,100,2023-08-20
300433,蓝思科技,创业成份,100,2023-08-20
300146,汤臣倍健,创业成份,100,2023-08-20
300595,欧普康视,创业成份,100,2023-08-20
300142,沃森生物,创业成份,100,2023-08-20
300144,宋城演艺,创业成份,100,2023-08-20
300919,中伟股份,创业成份,100,2023-08-20
300850,新强联,创业成份,100,2023-08-20
300347,泰格医药,创业成份,100,2023-08-20
300136,信维通信,创业成份,100,2023-08-20
300059,东方财富,创业成份,100,2023-08-20
300054,鼎龙股份,创业成份,100,2023-08-20
300748,金力永磁,创业成份,100,2023-08-20
300450,先导智能,创业成份,100,2023-08-20
300122,智飞生物,创业成份,100,2023-08-20
300454,深信服,创业成份,100,2023-08-20
300316,晶盛机电,创业成份,100,2023-08-20
300124,汇川技术,创业成份,100,2023-08-20
300633,开立医疗,创业成份,100,2023-08-20
300395,菲利华,创业成份,100,2023-08-20
300832,新产业,创业成份,100,2023-08-20
300251,光线传媒,创业成份,100,2023-08-20
300118,东方日升,创业成份,100,2023-08-20
300253,卫宁健康,创业成份,100,2023-08-20
300390,天华新能,创业成份,100,2023-08-20
301308,江波龙,创业成份,100,2023-08-20
300487,蓝晓科技,创业成份,100,2023-08-20
300070,碧水源,创业成份,100,2023-08-20
300073,当升科技,创业成份,100,2023-08-20
300568,星源材质,创业成份,100,2023-08-20
300383,光环新网,创业成份,100,2023-08-20
300628,亿联网络,创业成份,100,2023-08-20
300769,德方纳米,创业成份,100,2023-08-20
300285,国瓷材料,创业成份,100,2023-08-20
300957,贝泰妮,创业成份,100,2023-08-20
301029,怡合达,创业成份,100,2023-08-20
300763,锦浪科技,创业成份,100,2023-08-20
300760,迈瑞医疗,创业成份,100,2023-08-20
300474,景嘉微,创业成份,100,2023-08-20
301236,软通动力,创业成份,100,2023-08-20
300001,特锐德,创业成份,100,2023-08-20
300003,乐普医疗,创业成份,100,2023-08-20
300207,欣旺达,创业成份,100,2023-08-20
300009,安科生物,创业成份,100,2023-08-20
300171,东富龙,创业成份,100,2023-08-20
300376,易事特,创业成份,100,2023-08-20
300699,光威复材,创业成份,100,2023-08-20
300558,贝达药业,创业成份,100,2023-08-20
300373,扬杰科技,创业成份,100,2023-08-20
300759,康龙化成,创业成份,100,2023-08-20
300088,长信科技,创业成份,100,2023-08-20
300896,爱美客,创业成份,100,2023-08-20
300308,中际旭创,创业成份,100,2023-08-20
300408,三环集团,创业成份,100,2023-08-20
300274,阳光电源,创业成份,100,2023-08-20
300751,迈为股份,创业成份,100,2023-08-20
300750,宁德时代,创业成份,100,2023-08-20
301035,润丰股份,创业成份,100,2023-08-20
300014,亿纬锂能,创业成份,100,2023-08-20
300015,爱尔眼科,创业成份,100,2023-08-20
300012,华测检测,创业成份,100,2023-08-20
300363,博腾股份,创业成份,100,2023-08-20
300803,指南针,创业成份,100,2023-08-20
301207,华兰疫苗,创业成份,100,2023-08-20
300682,朗新科技,创业成份,100,2023-08-20
300604,长川科技,创业成份,100,2023-08-20
300413,芒果超媒,创业成份,100,2023-08-20
300601,康泰生物,创业成份,100,2023-08-20
300782,卓胜微,创业成份,100,2023-08-20
300979,华利集团,创业成份,100,2023-08-20
300418,昆仑万维,创业成份,100,2023-08-20
300888,稳健医疗,创业成份,100,2023-08-20
300294,博雅生物,创业成份,100,2023-08-20
300498,温氏股份,创业成份,100,2023-08-20
300496,中科创达,创业成份,100,2023-08-20
300677,英科医疗,创业成份,100,2023-08-20
300676,华大基因,创业成份,100,2023-08-20
300357,我武生物,创业成份,100,2023-08-20
300223,北京君正,创业成份,100,2023-08-20
300777,中简科技,创业成份,100,2023-08-20
301155,海力风电,创业成份,100,2023-08-20
301095,广立微,创业成份,100,2023-08-20
300775,三角防务,创业成份,100,2023-08-20
300776,帝尔激光,创业成份,100,2023-08-20
300296,利亚德,创业成份,100,2023-08-20
