stockCode,stockName,sector,sectorCount,date
2722,物产金轮,区块链,245,2023-08-20
2321,华英农业,区块链,245,2023-08-20
300663,科蓝软件,区块链,245,2023-08-20
300525,博思软件,区块链,245,2023-08-20
300520,科大国创,区块链,245,2023-08-20
2467,二六三,区块链,245,2023-08-20
601360,三六零,区块链,245,2023-08-20
300245,天玑科技,区块链,245,2023-08-20
2822,中装建设,区块链,245,2023-08-20
300248,新开普,区块链,245,2023-08-20
300249,依米康,区块链,245,2023-08-20
300148,天舟文化,区块链,245,2023-08-20
2929,润建股份,区块链,245,2023-08-20
2331,皖通科技,区块链,245,2023-08-20
2063,远光软件,区块链,245,2023-08-20
300130,新国都,区块链,245,2023-08-20
300510,金冠股份,区块链,245,2023-08-20
2474,榕基软件,区块链,245,2023-08-20
300235,方直科技,区块链,245,2023-08-20
300137,先河环保,区块链,245,2023-08-20
2065,东华软件,区块链,245,2023-08-20
688015,交控科技,区块链,245,2023-08-20
2740,*ST爱迪,区块链,245,2023-08-20
300541,先进数通,区块链,245,2023-08-20
300542,新晨科技,区块链,245,2023-08-20
300645,正元智慧,区块链,245,2023-08-20
2803,吉宏股份,区块链,245,2023-08-20
688010,福光股份,区块链,245,2023-08-20
688012,中微公司,区块链,245,2023-08-20
601880,辽港股份,区块链,245,2023-08-20
2610,爱康科技,区块链,245,2023-08-20
2352,顺丰控股,区块链,245,2023-08-20
688004,博汇科技,区块链,245,2023-08-20
601138,工业富联,区块链,245,2023-08-20
2808,ST恒久,区块链,245,2023-08-20
603106,恒银科技,区块链,245,2023-08-20
300638,广和通,区块链,245,2023-08-20
300531,优博讯,区块链,245,2023-08-20
300634,彩讯股份,区块链,245,2023-08-20
300532,今天国际,区块链,245,2023-08-20
300253,卫宁健康,区块链,245,2023-08-20
2044,美年健康,区块链,245,2023-08-20
2049,紫光国微,区块链,245,2023-08-20
603390,通达电气,区块链,245,2023-08-20
300561,汇金科技,区块链,245,2023-08-20
300562,乐心医疗,区块链,245,2023-08-20
600763,通策医疗,区块链,245,2023-08-20
300075,数字政通,区块链,245,2023-08-20
600633,浙数文化,区块链,245,2023-08-20
300180,华峰超纤,区块链,245,2023-08-20
300386,飞天诚信,区块链,245,2023-08-20
603716,塞力医疗,区块链,245,2023-08-20
300077,国民技术,区块链,245,2023-08-20
300078,思创医惠,区块链,245,2023-08-20
300079,数码视讯,区块链,245,2023-08-20
300383,光环新网,区块链,245,2023-08-20
600208,新湖中宝,区块链,245,2023-08-20
